,name,story,translation,agency,power
0,Tereus,tereus_philomena,More_translation,0.6666666666666666,0.2
1,Procne,tereus_philomena,More_translation,0.6666666666666666,0.4074074074074074
2,Philomela,tereus_philomena,More_translation,0.46938775510204084,-0.03125
3,Pandion,tereus_philomena,More_translation,0.5833333333333334,0.2857142857142857
4,Itys,tereus_philomena,More_translation,0.625,-0.2857142857142857
5,Ceres,dis_proserpina_cyane,More_translation,0.2894736842105263,0.09523809523809523
6,Pluto,dis_proserpina_cyane,More_translation,0.75,0.0
7,Proserpina,dis_proserpina_cyane,More_translation,0.6666666666666666,0.13636363636363635
8,Cyane,dis_proserpina_cyane,More_translation,0.6363636363636364,0.16666666666666666
9,Venus,dis_proserpina_cyane,More_translation,0.3333333333333333,0.0
10,Cupid,dis_proserpina_cyane,More_translation,1.0,0.5
11,Jupiter,dis_proserpina_cyane,More_translation,0.875,0.1
