,verb,agency,power
0,abandon,agency_pos,power_agent
1,abide,agency_equal,power_equal
2,abolish,agency_pos,power_agent
3,absorb,agency_pos,power_agent
4,abuse,agency_pos,power_agent
5,accelerate,agency_pos,power_agent
6,accept,agency_neg,power_agent
7,access,agency_equal,power_agent
8,accommodate,agency_pos,power_equal
9,accompany,agency_equal,power_theme
10,accomplish,agency_pos,power_equal
11,accord,agency_pos,power_agent
12,account,agency_equal,power_agent
13,accumulate,agency_equal,power_agent
14,accuse,agency_pos,power_agent
15,ache,agency_neg,
16,achieve,agency_pos,power_theme
17,acknowledge,agency_neg,power_agent
18,acquaint,agency_pos,power_agent
19,acquire,agency_pos,power_agent
20,acquit,agency_pos,power_agent
21,act,agency_pos,
22,activate,agency_pos,power_agent
23,adapt,agency_pos,power_agent
24,add,agency_pos,power_agent
25,address,agency_neg,power_equal
26,adjoin,agency_pos,power_agent
27,adjust,agency_pos,power_agent
28,administer,agency_pos,power_agent
29,admire,agency_equal,power_theme
30,admit,agency_pos,power_theme
31,adopt,agency_pos,power_agent
32,adore,agency_equal,power_theme
33,adorn,agency_pos,power_theme
34,advance,agency_pos,power_agent
35,advertise,agency_equal,power_agent
36,advise,agency_pos,power_agent
37,advocate,agency_pos,power_equal
38,affect,agency_pos,power_agent
39,affirm,agency_pos,power_agent
40,affix,agency_pos,power_agent
41,afford,agency_equal,power_agent
42,age,agency_neg,
43,aggravate,agency_pos,power_theme
44,agonize,agency_neg,
45,agonizes over,agency_equal,power_theme
46,agree,agency_equal,
47,agrees on,agency_pos,power_equal
48,aid,agency_pos,power_agent
49,aim,agency_pos,power_equal
50,alarm,agency_pos,power_agent
51,alert,agency_pos,power_agent
52,allege,agency_pos,power_agent
53,allow,agency_pos,power_agent
54,alter,agency_pos,power_agent
55,amble,agency_pos,
56,amend,agency_pos,power_agent
57,amuse,agency_pos,power_theme
58,analyze,agency_neg,power_equal
59,anchor,agency_pos,power_agent
60,anger,agency_equal,power_equal
61,angle,agency_equal,
62,animate,agency_equal,power_equal
63,announce,agency_pos,power_theme
64,annoy,agency_pos,power_agent
65,answer,agency_equal,power_theme
66,anticipate,agency_pos,power_equal
67,apologize,agency_pos,power_theme
68,apologizes to,agency_pos,power_theme
69,appal,agency_equal,power_agent
70,appeal,agency_neg,power_theme
71,appeals to,agency_pos,power_theme
72,appear,agency_pos,
73,applaud,agency_pos,power_theme
74,applies to,agency_neg,power_equal
75,apply,agency_pos,power_agent
76,appoint,agency_pos,power_agent
77,appraise,agency_pos,power_agent
78,appreciate,agency_neg,power_equal
79,approach,agency_pos,power_equal
80,approve,agency_pos,power_agent
81,arc,agency_pos,power_agent
82,arch,agency_pos,power_agent
83,argue,agency_pos,power_equal
84,arise,agency_pos,
85,arm,agency_pos,power_agent
86,arouse,agency_pos,power_agent
87,arrange,agency_pos,power_agent
88,array,agency_pos,power_agent
89,arrest,agency_pos,power_agent
90,arrive,agency_equal,
91,ascend,agency_pos,power_theme
92,ask,agency_pos,power_theme
93,assail,agency_pos,power_agent
94,assault,agency_pos,power_agent
95,assemble,agency_pos,power_equal
96,assert,agency_pos,power_agent
97,assess,agency_pos,power_equal
98,assign,agency_pos,power_agent
99,assist,agency_pos,power_theme
100,associate,agency_pos,power_equal
101,assume,agency_neg,power_agent
102,assure,agency_pos,power_agent
103,astonish,agency_pos,power_agent
104,attach,agency_pos,power_agent
105,attaches to,agency_pos,power_agent
106,attack,agency_pos,power_agent
107,attempt,agency_pos,power_equal
108,attend,agency_equal,power_theme
109,attract,agency_equal,power_equal
110,attribute,agency_neg,power_agent
111,authorize,agency_pos,power_agent
112,avert,agency_pos,power_agent
113,avoid,agency_pos,power_agent
114,await,agency_neg,power_theme
115,awake,agency_pos,
116,awaken,agency_pos,power_agent
117,award,agency_pos,power_agent
118,babble,agency_pos,power_equal
119,back,agency_pos,power_equal
120,backhand,agency_pos,power_agent
121,baffle,agency_pos,power_agent
122,bag,agency_pos,power_agent
123,bail,agency_pos,power_agent
124,bake,agency_pos,power_agent
125,balance,agency_pos,power_equal
126,bald,agency_neg,
127,ball,agency_pos,power_agent
128,ban,agency_pos,power_agent
129,bandage,agency_pos,power_agent
130,bang,agency_pos,power_agent
131,bank,agency_pos,
132,bar,agency_pos,power_agent
133,bark,agency_equal,power_equal
134,barrel,agency_pos,power_agent
135,base,agency_pos,power_equal
136,bash,agency_pos,power_agent
137,bat,agency_pos,power_agent
138,bath,agency_pos,power_agent
139,batter,agency_pos,power_agent
140,battle,agency_pos,power_agent
141,bawl,agency_equal,
142,beam,agency_pos,
143,bear,agency_pos,power_equal
144,beat,agency_pos,power_agent
145,beckon,agency_pos,power_agent
146,become,agency_pos,power_theme
147,beep,agency_pos,power_equal
148,befoul,agency_pos,power_agent
149,beg,agency_pos,power_theme
150,begin,agency_pos,power_equal
151,behave,agency_equal,
152,behold,agency_equal,power_theme
153,belch,agency_pos,
154,believe,agency_neg,power_theme
155,bellow,agency_pos,power_agent
156,belongs to,agency_neg,power_theme
157,belt,agency_pos,power_agent
158,bend,agency_pos,power_agent
159,benefit,agency_neg,power_theme
160,beseech,agency_pos,power_theme
161,besiege,agency_pos,power_agent
162,bet,agency_pos,power_equal
163,betray,agency_pos,power_agent
164,better,agency_pos,power_agent
165,bewilder,agency_equal,power_agent
166,bid,agency_equal,power_agent
167,billow,agency_pos,
168,bind,agency_pos,power_agent
169,bite,agency_pos,power_agent
170,blacken,agency_pos,power_agent
171,blackmail,agency_pos,power_agent
172,blame,agency_pos,power_agent
173,blanch,agency_pos,
174,blare,agency_equal,power_equal
175,blast,agency_pos,power_agent
176,blaze,agency_equal,
177,bleach,agency_pos,power_agent
178,bleed,agency_neg,
179,blend,agency_pos,power_agent
180,bless,agency_pos,power_equal
181,blind,agency_pos,power_agent
182,blink,agency_equal,
183,block,agency_pos,power_agent
184,bloody,agency_pos,power_agent
185,blot,agency_pos,power_agent
186,blow,agency_pos,
187,blur,agency_pos,power_agent
188,blurt,agency_pos,power_equal
189,blush,agency_neg,
190,board,agency_pos,power_agent
191,boast,agency_pos,power_agent
