English Word	Valence	Arousal	Dominance	Albanian Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	i befasuar
abacus	0.510	0.276	0.485	numëratore
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	braktis
abandoned	0.046	0.481	0.130	i braktisur
abandonment	0.128	0.430	0.202	braktisje
abashed	0.177	0.644	0.307	i turpëruar
abate	0.255	0.696	0.604	pakësoj
abatement	0.388	0.338	0.336	pakësim
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abaci
abbot	0.427	0.321	0.483	igumeni
abbreviate	0.531	0.375	0.330	shkurtuar
abbreviation	0.469	0.306	0.345	shkurtim
abdomen	0.469	0.462	0.471	barku
abdominal	0.490	0.456	0.445	barkut
abduct	0.173	0.720	0.615	rrëmben
abduction	0.062	0.990	0.673	rrëmbimi
aberrant	0.146	0.765	0.431	i zhdrejtë
aberration	0.125	0.816	0.417	lajthitje
abeyance	0.330	0.510	0.292	pezullim
abhor	0.125	0.602	0.349	urrej
abhorrence	0.167	0.684	0.420	neveri
abhorrent	0.229	0.750	0.474	i urryer
abide	0.635	0.354	0.705	qëndrojnë
abiding	0.796	0.327	0.750	duke qëndruar
ability	0.875	0.510	0.816	aftësia
abject	0.354	0.590	0.417	i poshtër
ablation	0.418	0.500	0.500	ablacioni
ablaze	0.240	0.847	0.525	flakë
able	0.786	0.500	0.810	në gjendje
abnormal	0.137	0.604	0.309	jonormal
abnormality	0.092	0.655	0.383	anomali
aboard	0.698	0.284	0.481	në bord
abode	0.620	0.302	0.500	vendbanimi
abolish	0.448	0.615	0.529	shfuqizojnë
abolition	0.323	0.690	0.529	shfuqizimi
abominable	0.120	0.731	0.482	e neveritshme
abominate	0.198	0.788	0.366	i neveritshëm
abomination	0.078	0.755	0.518	neveri
aboriginal	0.448	0.427	0.542	aborigjene
abort	0.153	0.686	0.429	abort
abortion	0.082	0.770	0.283	aborti
abortive	0.090	0.776	0.280	dështuar
abound	0.704	0.490	0.681	bollëk
abovementioned	0.541	0.298	0.509	permendur me larte
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	gërryerje
abrasive	0.392	0.610	0.593	gërryes
abreast	0.635	0.380	0.519	krah për krah
abroad	0.677	0.596	0.561	jashtë vendit
abrogate	0.327	0.510	0.594	shfuqizoj
abrupt	0.271	0.819	0.545	i papritur
abruptly	0.250	0.808	0.556	befas
abscess	0.154	0.451	0.349	abscesi
absence	0.153	0.235	0.266	mungesa
absent	0.177	0.221	0.116	mungon
absentee	0.235	0.330	0.279	i munguar
absenteeism	0.404	0.273	0.357	mungesa në punë
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	absolute
absolution	0.715	0.500	0.664	shfajësim
absolve	0.684	0.449	0.660	shfajësoj
absorb	0.469	0.558	0.670	thithin
absorbed	0.490	0.471	0.519	absorbohet
absorbent	0.552	0.394	0.718	absorbues
absorbing	0.490	0.490	0.578	thithëse
absorption	0.609	0.422	0.446	thithjen
abstain	0.385	0.385	0.427	abstenojnë
abstention	0.271	0.264	0.509	abstenim
abstinence	0.260	0.392	0.429	abstinencë
abstract	0.438	0.292	0.444	abstrakte
abstraction	0.469	0.439	0.525	abstraksioni
absurd	0.188	0.656	0.284	absurde
absurdity	0.115	0.528	0.227	absurditet
abundance	0.812	0.690	0.852	bollëk
abundant	0.958	0.590	0.760	të bollshme
abuse	0.071	0.873	0.469	abuzimi
abused	0.021	0.874	0.235	i abuzuar
abusive	0.125	0.903	0.567	abuzive
abutment	0.500	0.265	0.616	mbështetëse
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	i rrënuar
abyss	0.353	0.725	0.296	humnerë
academic	0.781	0.420	0.812	akademik
academy	0.704	0.473	0.792	akademi
accede	0.698	0.510	0.537	aderojnë
accelerant	0.643	0.844	0.802	përshpejtues
accelerate	0.615	0.902	0.759	përshpejtojnë
accelerated	0.610	0.812	0.682	i përshpejtuar
acceleration	0.704	0.905	0.843	nxitimi
accelerator	0.593	0.830	0.812	përshpejtues
accent	0.598	0.357	0.509	theks
accentuate	0.673	0.556	0.667	nxjerr në pah
accept	0.847	0.286	0.565	pranoj
acceptable	0.812	0.286	0.583	e pranueshme
acceptance	0.833	0.287	0.755	pranimi
acceptances	0.847	0.413	0.648	pranimet
access	0.714	0.472	0.567	akses
accessible	0.796	0.410	0.645	të arritshme
accession	0.612	0.383	0.636	aderimi
accessory	0.562	0.292	0.445	aksesor
accident	0.125	0.908	0.336	aksident
accidental	0.319	0.784	0.307	aksidentale
accidentally	0.333	0.741	0.333	rastësisht
acclaim	0.562	0.809	0.718	brohoritje
accolade	0.688	0.591	0.775	vlerësim
accommodate	0.844	0.375	0.566	akomoduar
accommodation	0.817	0.415	0.587	akomodimi
accompaniment	0.740	0.479	0.695	shoqërim
accompany	0.833	0.406	0.585	shoqërojnë
accompanying	0.787	0.460	0.582	shoqëruese
accomplice	0.408	0.580	0.510	bashkëpunëtor
accomplish	0.929	0.673	0.816	realizoj
accomplished	0.870	0.520	0.798	i realizuar
accomplishment	0.917	0.694	0.888	arritje
accord	0.898	0.264	0.382	marrëveshje
accordance	0.659	0.349	0.600	përputhje
accordion	0.604	0.490	0.361	fizarmonikë
account	0.531	0.347	0.472	llogari
accountability	0.755	0.537	0.833	llogaridhënies
accountable	0.709	0.282	0.777	të përgjegjshëm
accountant	0.625	0.450	0.639	kontabilist
accounting	0.552	0.390	0.677	Kontabiliteti
accounts	0.592	0.340	0.471	llogaritë
accredited	0.669	0.479	0.768	i akredituar
accretion	0.448	0.519	0.672	shtim
accrue	0.520	0.481	0.602	grumbullohen
accueil	0.450	0.451	0.470	pranoj
accumulate	0.573	0.536	0.607	grumbullohen
accumulation	0.479	0.527	0.600	akumulimi
accuracy	0.604	0.481	0.802	saktësi
accurate	0.743	0.360	0.737	të sakta
accursed	0.135	0.745	0.345	i mallkuar
accusation	0.073	0.718	0.564	akuzë
accusative	0.198	0.755	0.482	kallëzore
accuse	0.133	0.752	0.500	akuzim
accused	0.130	0.670	0.420	i akuzuar
accuser	0.122	0.779	0.615	akuzues
accusing	0.156	0.745	0.324	duke akuzuar
accustomed	0.542	0.365	0.441	i mësuar
ace	0.643	0.481	0.546	asi
acetic	0.333	0.420	0.519	acetik
acetylene	0.306	0.469	0.509	acetilen
ache	0.146	0.760	0.312	dhimbje
achieve	0.816	0.545	0.843	arritur
achieved	0.896	0.519	0.775	arritur
achievement	0.896	0.808	0.759	arritje
aching	0.053	0.880	0.348	me dhimbje
achy	0.167	0.840	0.373	dhimbje
acid	0.265	0.642	0.566	acid
acidity	0.156	0.663	0.360	aciditeti
