English Word	Valence	Arousal	Dominance	Amharic Word
aaaaaaah	0.479	0.606	0.291	አአአአአአ
aaaah	0.520	0.636	0.282	አአአአአአ
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	መገረም
abacus	0.510	0.276	0.485	አባከስ
abalone	0.500	0.480	0.412	አባሎን
abandon	0.052	0.519	0.245	መተው
abandoned	0.046	0.481	0.130	የተተወ
abandonment	0.128	0.430	0.202	መተው
abashed	0.177	0.644	0.307	አፈረ
abate	0.255	0.696	0.604	ቀንስ
abatement	0.388	0.338	0.336	መቀነስ
abba	0.562	0.500	0.480	አባ
abbey	0.580	0.367	0.444	አቢይ
abbot	0.427	0.321	0.483	አባቴ
abbreviate	0.531	0.375	0.330	ምህጻረ ቃል
abbreviation	0.469	0.306	0.345	ምህጻረ ቃል
abdomen	0.469	0.462	0.471	ሆዱ
abdominal	0.490	0.456	0.445	ሆድ
abduct	0.173	0.720	0.615	ጠለፈ
abduction	0.062	0.990	0.673	ጠለፋ
aberrant	0.146	0.765	0.431	የተዛባ
aberration	0.125	0.816	0.417	ማስፈራራት
abeyance	0.330	0.510	0.292	መራቅ
abhor	0.125	0.602	0.349	ተጸየፉ
abhorrence	0.167	0.684	0.420	መጸየፍ
abhorrent	0.229	0.750	0.474	አስጸያፊ
abide	0.635	0.354	0.705	ተገዛ
abiding	0.796	0.327	0.750	የሚገዛ
ability	0.875	0.510	0.816	ችሎታ
abject	0.354	0.590	0.417	አስጸያፊ
ablation	0.418	0.500	0.500	ማጥፋት
ablaze	0.240	0.847	0.525	ማቃጠል
able	0.786	0.500	0.810	የሚችል
abnormal	0.137	0.604	0.309	ያልተለመደ
abnormality	0.092	0.655	0.383	ያልተለመደ
aboard	0.698	0.284	0.481	ተሳፍረው
abode	0.620	0.302	0.500	መኖሪያ
abolish	0.448	0.615	0.529	ማጥፋት
abolition	0.323	0.690	0.529	ማስወገድ
abominable	0.120	0.731	0.482	አስጸያፊ
abominate	0.198	0.788	0.366	አስጸያፊ
abomination	0.078	0.755	0.518	አስጸያፊ
aboriginal	0.448	0.427	0.542	ተወላጆች
abort	0.153	0.686	0.429	ማስወረድ
abortion	0.082	0.770	0.283	ፅንስ ማስወረድ
abortive	0.090	0.776	0.280	ማስወረድ
abound	0.704	0.490	0.681	ይበዛል።
