English Word	Valence	Arousal	Dominance	Armenian Word
aaaaaaah	0.479	0.606	0.291	աաաաաաահ
aaaah	0.520	0.636	0.282	աաաահ
aardvark	0.427	0.490	0.437	աարդվարք
aback	0.385	0.407	0.288	ապշած
abacus	0.510	0.276	0.485	աբակուս
abalone	0.500	0.480	0.412	աբալոն
abandon	0.052	0.519	0.245	հրաժարվել
abandoned	0.046	0.481	0.130	լքված
abandonment	0.128	0.430	0.202	լքվածություն
abashed	0.177	0.644	0.307	խայտառակված
abate	0.255	0.696	0.604	նվազեցնել
abatement	0.388	0.338	0.336	նվազեցում
abba	0.562	0.500	0.480	աբբա
abbey	0.580	0.367	0.444	աբբայություն
abbot	0.427	0.321	0.483	վանահայր
abbreviate	0.531	0.375	0.330	կրճատել
abbreviation	0.469	0.306	0.345	հապավումը
abdomen	0.469	0.462	0.471	որովայնը
abdominal	0.490	0.456	0.445	որովայնային
abduct	0.173	0.720	0.615	առեւանգել
abduction	0.062	0.990	0.673	առեւանգում
aberrant	0.146	0.765	0.431	շեղված
aberration	0.125	0.816	0.417	շեղում
abeyance	0.330	0.510	0.292	հանդարտություն
abhor	0.125	0.602	0.349	զզվել
abhorrence	0.167	0.684	0.420	զզվանք
abhorrent	0.229	0.750	0.474	զզվելի
abide	0.635	0.354	0.705	պահպանիր
abiding	0.796	0.327	0.750	մնայուն
ability	0.875	0.510	0.816	կարողություն
abject	0.354	0.590	0.417	ստոր
ablation	0.418	0.500	0.500	աբլացիա
ablaze	0.240	0.847	0.525	վառվել
able	0.786	0.500	0.810	կարող
abnormal	0.137	0.604	0.309	աննորմալ
abnormality	0.092	0.655	0.383	աննորմալություն
aboard	0.698	0.284	0.481	նավի վրա
abode	0.620	0.302	0.500	բնակություն
abolish	0.448	0.615	0.529	վերացնել
abolition	0.323	0.690	0.529	վերացումը
abominable	0.120	0.731	0.482	զզվելի
abominate	0.198	0.788	0.366	զզվելի
abomination	0.078	0.755	0.518	զզվելիություն
aboriginal	0.448	0.427	0.542	աբորիգեն
abort	0.153	0.686	0.429	ընդհատել
abortion	0.082	0.770	0.283	աբորտ
abortive	0.090	0.776	0.280	վիժող
abound	0.704	0.490	0.681	առատ
abovementioned	0.541	0.298	0.509	վերը նշված
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	քայքայում
abrasive	0.392	0.610	0.593	հղկող
abreast	0.635	0.380	0.519	համընթաց
abroad	0.677	0.596	0.561	արտասահմանում
abrogate	0.327	0.510	0.594	չեղյալ համարել
abrupt	0.271	0.819	0.545	կտրուկ
abruptly	0.250	0.808	0.556	կտրուկ
abscess	0.154	0.451	0.349	թարախակույտ
absence	0.153	0.235	0.266	բացակայությունը
absent	0.177	0.221	0.116	բացակայում է
absentee	0.235	0.330	0.279	բացակայող
absenteeism	0.404	0.273	0.357	բացակայություն
absinthe	0.481	0.510	0.462	աբսենթ
absolute	0.526	0.510	0.827	բացարձակ
absolution	0.715	0.500	0.664	ներումը
absolve	0.684	0.449	0.660	ազատել
absorb	0.469	0.558	0.670	կլանել
absorbed	0.490	0.471	0.519	կլանված
absorbent	0.552	0.394	0.718	ներծծող
absorbing	0.490	0.490	0.578	կլանող
absorption	0.609	0.422	0.446	կլանում
abstain	0.385	0.385	0.427	ձեռնպահ մնալ
abstention	0.271	0.264	0.509	ձեռնպահ
abstinence	0.260	0.392	0.429	ժուժկալություն
abstract	0.438	0.292	0.444	վերացական
abstraction	0.469	0.439	0.525	աբստրակցիա
absurd	0.188	0.656	0.284	անհեթեթ
absurdity	0.115	0.528	0.227	անհեթեթություն
abundance	0.812	0.690	0.852	առատություն
abundant	0.958	0.590	0.760	առատ
abuse	0.071	0.873	0.469	չարաշահում
abused	0.021	0.874	0.235	չարաշահել
abusive	0.125	0.903	0.567	վիրավորական
abutment	0.500	0.265	0.616	հենակետ
aby	0.385	0.452	0.368	աբի
abysmal	0.250	0.710	0.598	անդունդային
abyss	0.353	0.725	0.296	անդունդ
academic	0.781	0.420	0.812	ակադեմիական
academy	0.704	0.473	0.792	ակադեմիան
accede	0.698	0.510	0.537	միանալ
accelerant	0.643	0.844	0.802	արագացուցիչ
accelerate	0.615	0.902	0.759	արագացնել
accelerated	0.610	0.812	0.682	արագացված
acceleration	0.704	0.905	0.843	արագացում
accelerator	0.593	0.830	0.812	արագացուցիչ
accent	0.598	0.357	0.509	առոգանություն
accentuate	0.673	0.556	0.667	ընդգծել
accept	0.847	0.286	0.565	ընդունել
acceptable	0.812	0.286	0.583	ընդունելի
acceptance	0.833	0.287	0.755	ընդունումը
acceptances	0.847	0.413	0.648	ընդունումներ
access	0.714	0.472	0.567	մուտք
accessible	0.796	0.410	0.645	հասանելի
accession	0.612	0.383	0.636	միանալը
accessory	0.562	0.292	0.445	աքսեսուար
accident	0.125	0.908	0.336	վթար
accidental	0.319	0.784	0.307	պատահական
accidentally	0.333	0.741	0.333	պատահաբար
acclaim	0.562	0.809	0.718	գովաբանություն
accolade	0.688	0.591	0.775	գովաբանություն
accommodate	0.844	0.375	0.566	տեղավորել
accommodation	0.817	0.415	0.587	կացարան
accompaniment	0.740	0.479	0.695	ուղեկցում
accompany	0.833	0.406	0.585	ուղեկցել
accompanying	0.787	0.460	0.582	ուղեկցող
accomplice	0.408	0.580	0.510	հանցակից
accomplish	0.929	0.673	0.816	իրականացնել
accomplished	0.870	0.520	0.798	իրականացված
accomplishment	0.917	0.694	0.888	ավարտելը
accord	0.898	0.264	0.382	համաձայնություն
accordance	0.659	0.349	0.600	համապատասխանությունը
accordion	0.604	0.490	0.361	ակորդեոն
account	0.531	0.347	0.472	հաշիվ
accountability	0.755	0.537	0.833	պատասխանատվություն
accountable	0.709	0.282	0.777	հաշվետու
accountant	0.625	0.450	0.639	հաշվապահ
accounting	0.552	0.390	0.677	հաշվառում
accounts	0.592	0.340	0.471	հաշիվներ
accredited	0.669	0.479	0.768	հավատարմագրված
accretion	0.448	0.519	0.672	կուտակում
accrue	0.520	0.481	0.602	կուտակվել
accueil	0.450	0.451	0.470	ընդունել
accumulate	0.573	0.536	0.607	կուտակել
accumulation	0.479	0.527	0.600	կուտակում
accuracy	0.604	0.481	0.802	ճշգրտություն
accurate	0.743	0.360	0.737	ճշգրիտ
accursed	0.135	0.745	0.345	անիծված
accusation	0.073	0.718	0.564	մեղադրանք
accusative	0.198	0.755	0.482	մեղադրական
accuse	0.133	0.752	0.500	մեղադրել
accused	0.130	0.670	0.420	մեղադրյալ
accuser	0.122	0.779	0.615	մեղադրող
accusing	0.156	0.745	0.324	մեղադրող
accustomed	0.542	0.365	0.441	սովոր
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	քացախային
acetylene	0.306	0.469	0.509	ացետիլեն
ache	0.146	0.760	0.312	ցավ
achieve	0.816	0.545	0.843	հասնել
achieved	0.896	0.519	0.775	հասել է
achievement	0.896	0.808	0.759	ձեռքբերում
aching	0.053	0.880	0.348	ցավող
achy	0.167	0.840	0.373	ցավալի
acid	0.265	0.642	0.566	թթու
acidity	0.156	0.663	0.360	թթվայնությունը
acknowledge	0.786	0.370	0.661	ճանաչել
acknowledged	0.714	0.443	0.765	ճանաչեց
acknowledgement	0.819	0.539	0.830	ճանաչում
acknowledgment	0.796	0.528	0.777	ճանաչում
acme	0.408	0.435	0.375	ակմե
acne	0.167	0.474	0.308	պզուկներ
acorn	0.448	0.198	0.192	կաղին
acoustic	0.542	0.462	0.536	ակուստիկ
acoustics	0.611	0.330	0.509	ակուստիկա
acquaint	0.646	0.491	0.639	ծանոթանալ
acquaintance	0.656	0.290	0.670	ծանոթություն
acquainted	0.906	0.358	0.632	ծանոթ
acquiescence	0.542	0.480	0.554	համաձայնություն
acquire	0.833	0.468	0.700	ձեռք բերել
acquiring	0.735	0.510	0.817	ձեռք բերելով
acquisition	0.698	0.509	0.736	ձեռքբերում
acquisitions	0.773	0.660	0.790	ձեռքբերումներ
acquit	0.583	0.571	0.611	արդարացնել
acquittal	0.760	0.497	0.700	արդարացում
acre	0.583	0.387	0.423	ակր
acreage	0.741	0.450	0.528	ակր
acres	0.510	0.363	0.500	ակր
acrobat	0.708	0.828	0.602	ակրոբատ
acrylic	0.582	0.279	0.420	ակրիլ
act	0.656	0.704	0.735	գործել
acting	0.698	0.643	0.500	դերասանական խաղ
action	0.760	0.898	0.802	գործողություն
action figure	0.615	0.774	0.611	գործողության գործիչ
actionable	0.673	0.702	0.613	գործող
activate	0.764	0.650	0.806	ակտիվացնել
activation	0.781	0.800	0.754	ակտիվացում
active	0.847	0.730	0.731	ակտիվ
activist	0.531	0.653	0.877	ակտիվիստ
activity	0.701	0.660	0.807	գործունեություն
actor	0.653	0.561	0.629	դերասան
actress	0.633	0.556	0.596	դերասանուհի
actual	0.729	0.400	0.716	փաստացի
actuality	0.750	0.464	0.600	արդիականություն
actuary	0.510	0.404	0.491	ակտուար
acuity	0.469	0.378	0.741	սրություն
acumen	0.564	0.660	0.679	խորաթափանցություն
acupuncture	0.531	0.324	0.549	ասեղնաբուժություն
acute	0.427	0.652	0.534	սուր
acutely	0.417	0.543	0.491	սուր
ad	0.521	0.705	0.558	Հայտարարություն
adage	0.517	0.415	0.566	ասացվածք
adamant	0.344	0.529	0.575	անդրդվելի
adapt	0.740	0.355	0.551	հարմարեցնել
adaptable	0.735	0.423	0.641	հարմարվողական
adaptation	0.663	0.365	0.609	հարմարվողականություն
add	0.728	0.490	0.554	ավելացնել
added	0.562	0.405	0.509	ավելացրել է
addendum	0.392	0.370	0.418	լրացում
adder	0.388	0.461	0.588	ավելացնող
addict	0.075	0.696	0.327	թմրամոլ
addicted	0.156	0.712	0.483	կախվածություն
addiction	0.180	0.806	0.420	կախվածություն
addictive	0.302	0.683	0.472	կախվածություն
addition	0.562	0.373	0.471	հավելում
additional	0.673	0.462	0.526	լրացուցիչ
additive	0.561	0.633	0.691	հավելում
address	0.650	0.327	0.567	հասցեն
addressee	0.622	0.382	0.538	հասցեատեր
addresses	0.510	0.354	0.450	հասցեները
adept	0.594	0.539	0.789	հմուտ
adequacy	0.615	0.435	0.702	համարժեքություն
adequate	0.854	0.264	0.705	համարժեք
adhere	0.633	0.339	0.554	հավատարիմ մնալ
adherence	0.760	0.307	0.630	հավատարմություն
adherent	0.561	0.385	0.555	հավատարիմ
adhering	0.612	0.561	0.537	հավատարիմ մնալը
adhesion	0.521	0.445	0.586	կպչունություն
adhesive	0.604	0.350	0.413	սոսինձ
adieu	0.250	0.471	0.342	ցտեսություն
adipose	0.333	0.350	0.391	ճարպային
adjacency	0.365	0.417	0.375	հարակիցություն
adjacent	0.645	0.276	0.536	կից
adjective	0.570	0.316	0.569	ածական
adjoining	0.520	0.400	0.393	կից
adjourn	0.385	0.456	0.475	հետաձգել
adjournment	0.438	0.510	0.370	հետաձգում
adjudicate	0.559	0.520	0.683	դատել
adjudication	0.551	0.462	0.691	դատավճիռ
adjunct	0.459	0.440	0.426	կից
adjust	0.647	0.327	0.638	հարմարեցնել
adjuster	0.510	0.540	0.760	կարգավորիչ
adjustment	0.590	0.520	0.661	ճշգրտում
adjuvant	0.510	0.500	0.456	ադյուվանտ
admin	0.688	0.420	0.854	ադմին
administer	0.635	0.425	0.860	տնօրինել
administration	0.625	0.404	0.786	վարչակազմ
administrative	0.542	0.415	0.579	վարչական
administrator	0.538	0.480	0.902	ադմինիստրատոր
admirable	0.929	0.600	0.870	հիացական
admiral	0.844	0.490	0.847	ծովակալ
admiralty	0.594	0.547	0.733	ծովակալություն
admiration	0.969	0.583	0.726	հիացմունք
admire	0.867	0.692	0.704	հիանալ
admired	0.917	0.560	0.815	հիացած
admirer	0.796	0.720	0.650	երկրպագու
admiring	0.867	0.578	0.629	հիացած
admissibility	0.802	0.580	0.602	թույլատրելիությունը
admissible	0.780	0.528	0.642	թույլատրելի
admission	0.802	0.415	0.732	ընդունելություն
admit	0.538	0.423	0.667	խոստովանել
admittance	0.690	0.451	0.598	ընդունելություն
admitted	0.720	0.490	0.767	խոստովանել է
admitting	0.620	0.500	0.546	ընդունելով
admixture	0.450	0.375	0.438	խառնուրդ
admonition	0.357	0.606	0.455	խրատ
ado	0.520	0.423	0.385	ադո
adobe	0.500	0.319	0.328	ավիշ
adolescence	0.487	0.694	0.444	պատանեկություն
adolescent	0.781	0.680	0.509	դեռահաս
adopt	0.694	0.612	0.701	ընդունել
adoption	0.625	0.566	0.589	ընդունումը
adoptive	0.531	0.469	0.520	որդեգրող
adorable	0.969	0.519	0.457	պաշտելի
adoration	0.885	0.699	0.708	երկրպագություն
adore	0.854	0.438	0.657	պաշտել
adoring	0.885	0.620	0.717	պաշտող
adorn	0.910	0.424	0.482	զարդարել
adornment	0.918	0.373	0.377	զարդարանք
adrenalin	0.865	0.920	0.786	ադրենալին
adrenaline	0.765	0.965	0.825	ադրենալին
adrift	0.398	0.486	0.230	շեղվել
adult	0.815	0.491	0.787	չափահաս
adulterated	0.188	0.865	0.370	կեղծված
adulterer	0.229	0.814	0.407	շնացող
adultery	0.120	0.922	0.510	շնություն
adulthood	0.541	0.454	0.652	չափահասություն
