English Word	Valence	Arousal	Dominance	Catalan Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	descoratjat
abacus	0.510	0.276	0.485	àbac
abalone	0.500	0.480	0.412	abaló
abandon	0.052	0.519	0.245	abandonar
abandoned	0.046	0.481	0.130	abandonat
abandonment	0.128	0.430	0.202	abandonament
abashed	0.177	0.644	0.307	avergonyit
abate	0.255	0.696	0.604	disminuir
abatement	0.388	0.338	0.336	reducció
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abadia
abbot	0.427	0.321	0.483	abat
abbreviate	0.531	0.375	0.330	abreujar
abbreviation	0.469	0.306	0.345	abreviatura
abdomen	0.469	0.462	0.471	abdomen
abdominal	0.490	0.456	0.445	abdominal
abduct	0.173	0.720	0.615	abduir
abduction	0.062	0.990	0.673	abducció
aberrant	0.146	0.765	0.431	aberrant
aberration	0.125	0.816	0.417	aberració
abeyance	0.330	0.510	0.292	suspensió
abhor	0.125	0.602	0.349	aborrecer
abhorrence	0.167	0.684	0.420	abominació
abhorrent	0.229	0.750	0.474	repugnant
abide	0.635	0.354	0.705	acatar
abiding	0.796	0.327	0.750	perdurant
ability	0.875	0.510	0.816	capacitat
abject	0.354	0.590	0.417	abjecte
ablation	0.418	0.500	0.500	ablació
ablaze	0.240	0.847	0.525	ardent
able	0.786	0.500	0.810	capaç
abnormal	0.137	0.604	0.309	anormal
abnormality	0.092	0.655	0.383	anormalitat
aboard	0.698	0.284	0.481	a bord
abode	0.620	0.302	0.500	residència
abolish	0.448	0.615	0.529	abolir
abolition	0.323	0.690	0.529	abolició
abominable	0.120	0.731	0.482	abominable
abominate	0.198	0.788	0.366	abominar
abomination	0.078	0.755	0.518	abominació
aboriginal	0.448	0.427	0.542	aborigen
abort	0.153	0.686	0.429	avortar
abortion	0.082	0.770	0.283	l'avortament
abortive	0.090	0.776	0.280	avortat
abound	0.704	0.490	0.681	abunden
abovementioned	0.541	0.298	0.509	esmentat abans
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasió
abrasive	0.392	0.610	0.593	abrasiu
abreast	0.635	0.380	0.519	al corrent
abroad	0.677	0.596	0.561	a l'estranger
abrogate	0.327	0.510	0.594	abrogar
abrupt	0.271	0.819	0.545	abrupte
abruptly	0.250	0.808	0.556	bruscament
abscess	0.154	0.451	0.349	abscés
absence	0.153	0.235	0.266	absència
absent	0.177	0.221	0.116	absent
absentee	0.235	0.330	0.279	absent
absenteeism	0.404	0.273	0.357	absentisme
absinthe	0.481	0.510	0.462	absenta
absolute	0.526	0.510	0.827	absolut
absolution	0.715	0.500	0.664	l'absolució
absolve	0.684	0.449	0.660	absoldre
absorb	0.469	0.558	0.670	absorbir
absorbed	0.490	0.471	0.519	absorbit
absorbent	0.552	0.394	0.718	absorbent
absorbing	0.490	0.490	0.578	absorbent
absorption	0.609	0.422	0.446	absorció
abstain	0.385	0.385	0.427	abstenir-se
abstention	0.271	0.264	0.509	abstenció
abstinence	0.260	0.392	0.429	abstinència
abstract	0.438	0.292	0.444	abstracte
abstraction	0.469	0.439	0.525	abstracció
absurd	0.188	0.656	0.284	absurd
absurdity	0.115	0.528	0.227	absurditat
abundance	0.812	0.690	0.852	abundància
abundant	0.958	0.590	0.760	abundants
abuse	0.071	0.873	0.469	abús
abused	0.021	0.874	0.235	maltractat
abusive	0.125	0.903	0.567	abusiu
abutment	0.500	0.265	0.616	contrafort
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abismal
abyss	0.353	0.725	0.296	avenc
academic	0.781	0.420	0.812	acadèmica
academy	0.704	0.473	0.792	acadèmia
accede	0.698	0.510	0.537	accedir
accelerant	0.643	0.844	0.802	accelerant
accelerate	0.615	0.902	0.759	accelerar
accelerated	0.610	0.812	0.682	accelerat
acceleration	0.704	0.905	0.843	acceleració
accelerator	0.593	0.830	0.812	accelerador
accent	0.598	0.357	0.509	accent
accentuate	0.673	0.556	0.667	accentuar
accept	0.847	0.286	0.565	acceptar
acceptable	0.812	0.286	0.583	acceptable
acceptance	0.833	0.287	0.755	acceptació
acceptances	0.847	0.413	0.648	acceptacions
access	0.714	0.472	0.567	accés
accessible	0.796	0.410	0.645	accessible
accession	0.612	0.383	0.636	adhesió
accessory	0.562	0.292	0.445	accessori
accident	0.125	0.908	0.336	accident
accidental	0.319	0.784	0.307	accidental
accidentally	0.333	0.741	0.333	accidentalment
acclaim	0.562	0.809	0.718	aclamació
accolade	0.688	0.591	0.775	elogi
accommodate	0.844	0.375	0.566	acomodar
accommodation	0.817	0.415	0.587	allotjament
accompaniment	0.740	0.479	0.695	acompanyament
accompany	0.833	0.406	0.585	acompanyar
accompanying	0.787	0.460	0.582	acompanyant
accomplice	0.408	0.580	0.510	còmplice
accomplish	0.929	0.673	0.816	aconseguir
accomplished	0.870	0.520	0.798	complert
accomplishment	0.917	0.694	0.888	assoliment
accord	0.898	0.264	0.382	acord
accordance	0.659	0.349	0.600	acord
accordion	0.604	0.490	0.361	acordió
account	0.531	0.347	0.472	compte
accountability	0.755	0.537	0.833	responsabilitat
accountable	0.709	0.282	0.777	responsable
accountant	0.625	0.450	0.639	comptable
accounting	0.552	0.390	0.677	comptabilitat
accounts	0.592	0.340	0.471	comptes
accredited	0.669	0.479	0.768	acreditat
accretion	0.448	0.519	0.672	acreció
accrue	0.520	0.481	0.602	acumular
accueil	0.450	0.451	0.470	acollida
accumulate	0.573	0.536	0.607	acumular
accumulation	0.479	0.527	0.600	acumulació
accuracy	0.604	0.481	0.802	precisió
accurate	0.743	0.360	0.737	precís
accursed	0.135	0.745	0.345	maleït
accusation	0.073	0.718	0.564	acusació
accusative	0.198	0.755	0.482	acusatiu
accuse	0.133	0.752	0.500	acusar
accused	0.130	0.670	0.420	acusat
accuser	0.122	0.779	0.615	acusador
accusing	0.156	0.745	0.324	acusant
accustomed	0.542	0.365	0.441	acostumat
ace	0.643	0.481	0.546	as
acetic	0.333	0.420	0.519	acètic
acetylene	0.306	0.469	0.509	acetilè
ache	0.146	0.760	0.312	dolor
achieve	0.816	0.545	0.843	aconseguir
achieved	0.896	0.519	0.775	aconseguit
achievement	0.896	0.808	0.759	assoliment
aching	0.053	0.880	0.348	dolor
achy	0.167	0.840	0.373	dolorós
acid	0.265	0.642	0.566	àcid
acidity	0.156	0.663	0.360	acidesa
acknowledge	0.786	0.370	0.661	reconèixer
acknowledged	0.714	0.443	0.765	reconegut
acknowledgement	0.819	0.539	0.830	reconeixement
acknowledgment	0.796	0.528	0.777	reconeixement
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	acne
acorn	0.448	0.198	0.192	gla
acoustic	0.542	0.462	0.536	acústica
