English Word	Valence	Arousal	Dominance	Chichewa Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	aback
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	kusiya
abandoned	0.046	0.481	0.130	kusiyidwa
abandonment	0.128	0.430	0.202	kusiyidwa
abashed	0.177	0.644	0.307	manyazi
abate	0.255	0.696	0.604	chepetsa
abatement	0.388	0.338	0.336	kuchepetsa
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abambo
abbreviate	0.531	0.375	0.330	chidule
abbreviation	0.469	0.306	0.345	chidule
abdomen	0.469	0.462	0.471	pamimba
abdominal	0.490	0.456	0.445	m'mimba
abduct	0.173	0.720	0.615	kulanda
abduction	0.062	0.990	0.673	kulanda
aberrant	0.146	0.765	0.431	wosokoneza
aberration	0.125	0.816	0.417	kusokonekera
abeyance	0.330	0.510	0.292	kusiya
abhor	0.125	0.602	0.349	kunyansidwa
abhorrence	0.167	0.684	0.420	kunyansidwa
abhorrent	0.229	0.750	0.474	zonyansa
abide	0.635	0.354	0.705	khalani
abiding	0.796	0.327	0.750	kukhala
ability	0.875	0.510	0.816	luso
abject	0.354	0.590	0.417	woipa
ablation	0.418	0.500	0.500	kuchotsa
ablaze	0.240	0.847	0.525	kuyaka
able	0.786	0.500	0.810	wokhoza
abnormal	0.137	0.604	0.309	zachilendo
abnormality	0.092	0.655	0.383	zachilendo
aboard	0.698	0.284	0.481	kukwera
abode	0.620	0.302	0.500	kukhala
abolish	0.448	0.615	0.529	kuthetsa
abolition	0.323	0.690	0.529	kuthetsedwa
abominable	0.120	0.731	0.482	zonyansa
abominate	0.198	0.788	0.366	wonyansa
abomination	0.078	0.755	0.518	chonyansa
aboriginal	0.448	0.427	0.542	wachiaborijini
abort	0.153	0.686	0.429	kuchotsa mimba
abortion	0.082	0.770	0.283	kuchotsa mimba
abortive	0.090	0.776	0.280	wochotsa mimba
abound	0.704	0.490	0.681	kuchuluka
abovementioned	0.541	0.298	0.509	zotchulidwa pamwambapa
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasion
abrasive	0.392	0.610	0.593	zopweteka
abreast	0.635	0.380	0.519	mogwirizana
abroad	0.677	0.596	0.561	kunja
abrogate	0.327	0.510	0.594	kufufuta
abrupt	0.271	0.819	0.545	mwadzidzidzi
abruptly	0.250	0.808	0.556	mwadzidzidzi
abscess	0.154	0.451	0.349	abscess
