English Word	Valence	Arousal	Dominance	Czech Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	zaražený
abacus	0.510	0.276	0.485	počitadlo
abalone	0.500	0.480	0.412	ušeň
abandon	0.052	0.519	0.245	opustit
abandoned	0.046	0.481	0.130	opuštěný
abandonment	0.128	0.430	0.202	opuštění
abashed	0.177	0.644	0.307	v rozpacích
abate	0.255	0.696	0.604	polevit
abatement	0.388	0.338	0.336	snížení
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	opatství
abbot	0.427	0.321	0.483	opat
abbreviate	0.531	0.375	0.330	zkrátit
abbreviation	0.469	0.306	0.345	zkratka
abdomen	0.469	0.462	0.471	břicho
abdominal	0.490	0.456	0.445	břišní
abduct	0.173	0.720	0.615	unést
abduction	0.062	0.990	0.673	únos
aberrant	0.146	0.765	0.431	odchylný
aberration	0.125	0.816	0.417	aberace
abeyance	0.330	0.510	0.292	suspenze
abhor	0.125	0.602	0.349	hnusit si
abhorrence	0.167	0.684	0.420	ohavnost
abhorrent	0.229	0.750	0.474	odporný
abide	0.635	0.354	0.705	dodržet
abiding	0.796	0.327	0.750	trvalý
ability	0.875	0.510	0.816	schopnost
abject	0.354	0.590	0.417	ubohý
ablation	0.418	0.500	0.500	ablace
ablaze	0.240	0.847	0.525	hořet
able	0.786	0.500	0.810	schopný
abnormal	0.137	0.604	0.309	abnormální
abnormality	0.092	0.655	0.383	abnormalita
aboard	0.698	0.284	0.481	na palubě
abode	0.620	0.302	0.500	příbytek
abolish	0.448	0.615	0.529	zrušit
abolition	0.323	0.690	0.529	zrušení
abominable	0.120	0.731	0.482	odporný
abominate	0.198	0.788	0.366	hnusit si
abomination	0.078	0.755	0.518	ohavnost
aboriginal	0.448	0.427	0.542	domorodý
abort	0.153	0.686	0.429	přerušit
abortion	0.082	0.770	0.283	potrat
abortive	0.090	0.776	0.280	neúspěšný
abound	0.704	0.490	0.681	oplývat
abovementioned	0.541	0.298	0.509	výše zmíněné
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	oděru
abrasive	0.392	0.610	0.593	abrazivní
abreast	0.635	0.380	0.519	vedle sebe
abroad	0.677	0.596	0.561	v cizině
abrogate	0.327	0.510	0.594	zrušit
abrupt	0.271	0.819	0.545	náhlý
abruptly	0.250	0.808	0.556	náhle
abscess	0.154	0.451	0.349	absces
absence	0.153	0.235	0.266	absence
absent	0.177	0.221	0.116	nepřítomný
absentee	0.235	0.330	0.279	nepřítomný
absenteeism	0.404	0.273	0.357	absentérství
absinthe	0.481	0.510	0.462	absint
absolute	0.526	0.510	0.827	absolutní
absolution	0.715	0.500	0.664	rozhřešení
absolve	0.684	0.449	0.660	rozhřešit
absorb	0.469	0.558	0.670	absorbovat
absorbed	0.490	0.471	0.519	absorbován
absorbent	0.552	0.394	0.718	savý
absorbing	0.490	0.490	0.578	pohlcující
absorption	0.609	0.422	0.446	vstřebávání
abstain	0.385	0.385	0.427	zdržet se hlasování
abstention	0.271	0.264	0.509	zdržení se hlasování
abstinence	0.260	0.392	0.429	abstinence
abstract	0.438	0.292	0.444	abstraktní
abstraction	0.469	0.439	0.525	abstrakce
absurd	0.188	0.656	0.284	absurdní
absurdity	0.115	0.528	0.227	nesmyslnost
abundance	0.812	0.690	0.852	hojnost
abundant	0.958	0.590	0.760	hojný
abuse	0.071	0.873	0.469	zneužívání
abused	0.021	0.874	0.235	zneužíván
abusive	0.125	0.903	0.567	zneužívající
abutment	0.500	0.265	0.616	opěra
aby	0.385	0.452	0.368	propast
abysmal	0.250	0.710	0.598	propastný
abyss	0.353	0.725	0.296	propast
academic	0.781	0.420	0.812	akademický
academy	0.704	0.473	0.792	akademie
accede	0.698	0.510	0.537	přistoupit
accelerant	0.643	0.844	0.802	akcelerátor
accelerate	0.615	0.902	0.759	urychlit
accelerated	0.610	0.812	0.682	zrychlený
acceleration	0.704	0.905	0.843	akcelerace
accelerator	0.593	0.830	0.812	plynový pedál
accent	0.598	0.357	0.509	přízvuk
accentuate	0.673	0.556	0.667	zdůraznit
accept	0.847	0.286	0.565	akceptovat
acceptable	0.812	0.286	0.583	přijatelný
acceptance	0.833	0.287	0.755	přijetí
acceptances	0.847	0.413	0.648	přijetí
access	0.714	0.472	0.567	přístup
accessible	0.796	0.410	0.645	přístupný
accession	0.612	0.383	0.636	přistoupení
accessory	0.562	0.292	0.445	příslušenství
accident	0.125	0.908	0.336	nehoda
accidental	0.319	0.784	0.307	náhodné
accidentally	0.333	0.741	0.333	náhodou
acclaim	0.562	0.809	0.718	pozdravovat
accolade	0.688	0.591	0.775	vyznamenání
accommodate	0.844	0.375	0.566	ubytovat
accommodation	0.817	0.415	0.587	ubytování
accompaniment	0.740	0.479	0.695	doprovod
accompany	0.833	0.406	0.585	doprovázet
accompanying	0.787	0.460	0.582	doprovázející
accomplice	0.408	0.580	0.510	spolupachatel
accomplish	0.929	0.673	0.816	splnit
accomplished	0.870	0.520	0.798	dokonalý
accomplishment	0.917	0.694	0.888	dosažení
accord	0.898	0.264	0.382	souhlas
accordance	0.659	0.349	0.600	soulad
accordion	0.604	0.490	0.361	akordeon
account	0.531	0.347	0.472	účet
accountability	0.755	0.537	0.833	odpovědnost
accountable	0.709	0.282	0.777	odpovědný
accountant	0.625	0.450	0.639	účetní
accounting	0.552	0.390	0.677	účetnictví
accounts	0.592	0.340	0.471	účty
accredited	0.669	0.479	0.768	akreditovat, pověřit, zplnomocnit
accretion	0.448	0.519	0.672	navýšení
accrue	0.520	0.481	0.602	narůstat
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	akumulovat
accumulation	0.479	0.527	0.600	nashromáždění
accuracy	0.604	0.481	0.802	přesnost
accurate	0.743	0.360	0.737	přesný
accursed	0.135	0.745	0.345	prokletý
accusation	0.073	0.718	0.564	obvinění
accusative	0.198	0.755	0.482	akuzativ
accuse	0.133	0.752	0.500	obvinit
accused	0.130	0.670	0.420	obžalovaný
accuser	0.122	0.779	0.615	žalobce
accusing	0.156	0.745	0.324	obviňující
accustomed	0.542	0.365	0.441	zvyklý
ace	0.643	0.481	0.546	eso
acetic	0.333	0.420	0.519	octový
acetylene	0.306	0.469	0.509	acetylén
ache	0.146	0.760	0.312	bolest
achieve	0.816	0.545	0.843	dosáhnout
achieved	0.896	0.519	0.775	dosaženo
achievement	0.896	0.808	0.759	úspěch
aching	0.053	0.880	0.348	bolavý
achy	0.167	0.840	0.373	bolavý
acid	0.265	0.642	0.566	kyselina
acidity	0.156	0.663	0.360	kyselost
acknowledge	0.786	0.370	0.661	potvrdit
acknowledged	0.714	0.443	0.765	uznal
acknowledgement	0.819	0.539	0.830	potvrzení
