English Word	Valence	Arousal	Dominance	Hausa Word
aaaaaaah	0.479	0.606	0.291	aaaaaaa
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	ardvark
aback	0.385	0.407	0.288	abin mamaki
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	watsi
abandoned	0.046	0.481	0.130	watsi
abandonment	0.128	0.430	0.202	watsi
abashed	0.177	0.644	0.307	kunya
abate	0.255	0.696	0.604	aba
abatement	0.388	0.338	0.336	ragewa
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abbot
abbreviate	0.531	0.375	0.330	takaice
abbreviation	0.469	0.306	0.345	ragewa
abdomen	0.469	0.462	0.471	ciki
abdominal	0.490	0.456	0.445	ciki
abduct	0.173	0.720	0.615	sace
abduction	0.062	0.990	0.673	sace
aberrant	0.146	0.765	0.431	ban tsoro
aberration	0.125	0.816	0.417	aberration
abeyance	0.330	0.510	0.292	abeyance
abhor	0.125	0.602	0.349	kyama
abhorrence	0.167	0.684	0.420	kyama
abhorrent	0.229	0.750	0.474	abin ƙyama
abide	0.635	0.354	0.705	bi
abiding	0.796	0.327	0.750	madawwama
ability	0.875	0.510	0.816	iyawa
abject	0.354	0.590	0.417	zance
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	wuta
able	0.786	0.500	0.810	iyawa
abnormal	0.137	0.604	0.309	na al'ada
abnormality	0.092	0.655	0.383	rashin daidaituwa
aboard	0.698	0.284	0.481	a cikin jirgi
abode	0.620	0.302	0.500	mazauni
abolish	0.448	0.615	0.529	soke
abolition	0.323	0.690	0.529	shafewa
abominable	0.120	0.731	0.482	abin ƙyama
abominate	0.198	0.788	0.366	ƙazanta
abomination	0.078	0.755	0.518	abin ƙyama
aboriginal	0.448	0.427	0.542	na asali
abort	0.153	0.686	0.429	zubar da ciki
abortion	0.082	0.770	0.283	zubar da ciki
abortive	0.090	0.776	0.280	zubar da ciki
abound	0.704	0.490	0.681	yawa
abovementioned	0.541	0.298	0.509	an ambata a sama
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasion
abrasive	0.392	0.610	0.593	m
abreast	0.635	0.380	0.519	gaba daya
abroad	0.677	0.596	0.561	kasashen waje
abrogate	0.327	0.510	0.594	shafe
abrupt	0.271	0.819	0.545	kwatsam
abruptly	0.250	0.808	0.556	ba zato ba tsammani
abscess	0.154	0.451	0.349	kumburin ciki
absence	0.153	0.235	0.266	rashi
absent	0.177	0.221	0.116	ba ya nan
absentee	0.235	0.330	0.279	ba ya nan
absenteeism	0.404	0.273	0.357	rashin zuwa
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	cikakke
absolution	0.715	0.500	0.664	kawar da kai
absolve	0.684	0.449	0.660	warware
absorb	0.469	0.558	0.670	sha
absorbed	0.490	0.471	0.519	tsoma baki
absorbent	0.552	0.394	0.718	abin sha
absorbing	0.490	0.490	0.578	sha
absorption	0.609	0.422	0.446	sha
abstain	0.385	0.385	0.427	kauracewa
abstention	0.271	0.264	0.509	kaurace wa
abstinence	0.260	0.392	0.429	abstinence
abstract	0.438	0.292	0.444	zayyana
abstraction	0.469	0.439	0.525	abstraction
absurd	0.188	0.656	0.284	m
absurdity	0.115	0.528	0.227	rashin hankali
abundance	0.812	0.690	0.852	yawa
abundant	0.958	0.590	0.760	mai yawa
abuse	0.071	0.873	0.469	zagi
abused	0.021	0.874	0.235	zagi
abusive	0.125	0.903	0.567	m
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	abi
abysmal	0.250	0.710	0.598	m
abyss	0.353	0.725	0.296	abyss
academic	0.781	0.420	0.812	ilimi
academy	0.704	0.473	0.792	makarantar kimiyya
accede	0.698	0.510	0.537	yarda
accelerant	0.643	0.844	0.802	hanzari
accelerate	0.615	0.902	0.759	hanzarta
accelerated	0.610	0.812	0.682	hanzarta
acceleration	0.704	0.905	0.843	hanzari
accelerator	0.593	0.830	0.812	hanzari
accent	0.598	0.357	0.509	lafazi
accentuate	0.673	0.556	0.667	jaddada
accept	0.847	0.286	0.565	karba
acceptable	0.812	0.286	0.583	m
acceptance	0.833	0.287	0.755	yarda
acceptances	0.847	0.413	0.648	karbuwa
