English Word	Valence	Arousal	Dominance	Igbo Word
aaaaaaah	0.479	0.606	0.291	aaaaaaa
aaaah	0.520	0.636	0.282	aaaaa
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	egwu
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abali
abandon	0.052	0.519	0.245	hapụ
abandoned	0.046	0.481	0.130	gbahapụrụ
abandonment	0.128	0.430	0.202	agbahapụ
abashed	0.177	0.644	0.307	ihe juru
abate	0.255	0.696	0.604	abat
abatement	0.388	0.338	0.336	mbelata
abba	0.562	0.500	0.480	agba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abbot
abbreviate	0.531	0.375	0.330	ndebiri
abbreviation	0.469	0.306	0.345	ndebiri
abdomen	0.469	0.462	0.471	afo
abdominal	0.490	0.456	0.445	afọ
abduct	0.173	0.720	0.615	tọọrọ
abduction	0.062	0.990	0.673	ịtọrọ
aberrant	0.146	0.765	0.431	aberrant
aberration	0.125	0.816	0.417	aberration
abeyance	0.330	0.510	0.292	abeyance
abhor	0.125	0.602	0.349	ịkpọ asị
abhorrence	0.167	0.684	0.420	ịkpọasị
abhorrent	0.229	0.750	0.474	na-asọ oyi
abide	0.635	0.354	0.705	rube isi
abiding	0.796	0.327	0.750	na-erube isi
ability	0.875	0.510	0.816	ike
abject	0.354	0.590	0.417	abihe
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	ire ọkụ
able	0.786	0.500	0.810	ike
abnormal	0.137	0.604	0.309	ndiiche
abnormality	0.092	0.655	0.383	abnormality
aboard	0.698	0.284	0.481	n'ime
abode	0.620	0.302	0.500	ebe obibi
abolish	0.448	0.615	0.529	kpochapu
abolition	0.323	0.690	0.529	mkpochapu
abominable	0.120	0.731	0.482	ihe arụ
abominate	0.198	0.788	0.366	na-asọ oyi
abomination	0.078	0.755	0.518	ihe arụ
aboriginal	0.448	0.427	0.542	ndi bekee
abort	0.153	0.686	0.429	ime
abortion	0.082	0.770	0.283	ime ime
abortive	0.090	0.776	0.280	ime ime
abound	0.704	0.490	0.681	juputara
abovementioned	0.541	0.298	0.509	kwuru n'elu
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasion
abrasive	0.392	0.610	0.593	abrasive
abreast	0.635	0.380	0.519	ngwa ngwa
abroad	0.677	0.596	0.561	ná mba ọzọ
abrogate	0.327	0.510	0.594	kpochapuru
abrupt	0.271	0.819	0.545	mberede
abruptly	0.250	0.808	0.556	na mberede
abscess	0.154	0.451	0.349	ọzịza
absence	0.153	0.235	0.266	enweghị
absent	0.177	0.221	0.116	anọghị
absentee	0.235	0.330	0.279	anọghị ya
absenteeism	0.404	0.273	0.357	absenteeism
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	zuru oke
absolution	0.715	0.500	0.664	mgbaghara
absolve	0.684	0.449	0.660	kpochapu
absorb	0.469	0.558	0.670	banye
absorbed	0.490	0.471	0.519	etinye obi gị dum
absorbent	0.552	0.394	0.718	absorbent
absorbing	0.490	0.490	0.578	na-adọrọ adọrọ
absorption	0.609	0.422	0.446	absorption
abstain	0.385	0.385	0.427	zere
abstention	0.271	0.264	0.509	abhapụ
abstinence	0.260	0.392	0.429	abstinence
abstract	0.438	0.292	0.444	abtract
abstraction	0.469	0.439	0.525	abstraction
absurd	0.188	0.656	0.284	ihe nzuzu
absurdity	0.115	0.528	0.227	absurdity
abundance	0.812	0.690	0.852	ụbara
abundant	0.958	0.590	0.760	ukwuu
abuse	0.071	0.873	0.469	mmegbu
abused	0.021	0.874	0.235	emegbu
abusive	0.125	0.903	0.567	mkparị
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	ebe
abysmal	0.250	0.710	0.598	ihe jọgburu onwe ya
abyss	0.353	0.725	0.296	abis
academic	0.781	0.420	0.812	agụmakwụkwọ
academy	0.704	0.473	0.792	ulo akwukwo
accede	0.698	0.510	0.537	nweta
accelerant	0.643	0.844	0.802	ngwangwa
accelerate	0.615	0.902	0.759	mee ngwa ngwa
accelerated	0.610	0.812	0.682	mee ngwa ngwa
acceleration	0.704	0.905	0.843	osooso
accelerator	0.593	0.830	0.812	osooso
accent	0.598	0.357	0.509	ụda olu
accentuate	0.673	0.556	0.667	mesie ike
accept	0.847	0.286	0.565	nabata
acceptable	0.812	0.286	0.583	dị mma
acceptance	0.833	0.287	0.755	nnabata
acceptances	0.847	0.413	0.648	nnabata
access	0.714	0.472	0.567	ohere
accessible	0.796	0.410	0.645	enwere ike inweta
accession	0.612	0.383	0.636	ntinye
accessory	0.562	0.292	0.445	ngwa
accident	0.125	0.908	0.336	ihe mberede
accidental	0.319	0.784	0.307	mberede
accidentally	0.333	0.741	0.333	na mberede
acclaim	0.562	0.809	0.718	otuto
accolade	0.688	0.591	0.775	otuto
accommodate	0.844	0.375	0.566	nabata
accommodation	0.817	0.415	0.587	ulo
accompaniment	0.740	0.479	0.695	nsoro
accompany	0.833	0.406	0.585	soro
accompanying	0.787	0.460	0.582	so
accomplice	0.408	0.580	0.510	onye so
accomplish	0.929	0.673	0.816	mezuo
accomplished	0.870	0.520	0.798	mezuru
accomplishment	0.917	0.694	0.888	mmezu
accord	0.898	0.264	0.382	kwadoro
accordance	0.659	0.349	0.600	dabere
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	akaụntụ
accountability	0.755	0.537	0.833	aza ajụjụ
accountable	0.709	0.282	0.777	aza ajụjụ
accountant	0.625	0.450	0.639	onye nkwuputa ego
accounting	0.552	0.390	0.677	aza ajụjụ
accounts	0.592	0.340	0.471	akaụntụ
accredited	0.669	0.479	0.768	kwadoro
accretion	0.448	0.519	0.672	accretion
accrue	0.520	0.481	0.602	nweta
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	ikpokọta
accumulation	0.479	0.527	0.600	mkpokọta
accuracy	0.604	0.481	0.802	izi ezi
accurate	0.743	0.360	0.737	ziri ezi
accursed	0.135	0.745	0.345	bụrụ ọnụ
accusation	0.073	0.718	0.564	ebubo
accusative	0.198	0.755	0.482	ebubo
accuse	0.133	0.752	0.500	ebubo
accused	0.130	0.670	0.420	ebubo
accuser	0.122	0.779	0.615	onye nkwubo
accusing	0.156	0.745	0.324	na-ebo ebubo
accustomed	0.542	0.365	0.441	agba nkịtị
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	mgbu
achieve	0.816	0.545	0.843	nweta
achieved	0.896	0.519	0.775	enwetara
achievement	0.896	0.808	0.759	mmezu
aching	0.053	0.880	0.348	na-egbu mgbu
achy	0.167	0.840	0.373	achi
acid	0.265	0.642	0.566	acid
acidity	0.156	0.663	0.360	acidity
acknowledge	0.786	0.370	0.661	kweta
acknowledged	0.714	0.443	0.765	kwetara
acknowledgement	0.819	0.539	0.830	nkwenye
acknowledgment	0.796	0.528	0.777	nkwenye
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	ihe otutu
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	egwu
acoustics	0.611	0.330	0.509	egwu egwu
acquaint	0.646	0.491	0.639	imata
acquaintance	0.656	0.290	0.670	imata
acquainted	0.906	0.358	0.632	maara
acquiescence	0.542	0.480	0.554	nnabata
acquire	0.833	0.468	0.700	nweta
acquiring	0.735	0.510	0.817	inweta
acquisition	0.698	0.509	0.736	nnweta
acquisitions	0.773	0.660	0.790	nnweta
acquit	0.583	0.571	0.611	tọhapụrụ
acquittal	0.760	0.497	0.700	ntọhapụ
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	acreage
acres	0.510	0.363	0.500	acres
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	ime ihe
acting	0.698	0.643	0.500	eme ihe
action	0.760	0.898	0.802	ime ihe
action figure	0.615	0.774	0.611	ọnụ ọgụgụ omume
actionable	0.673	0.702	0.613	eme ihe
activate	0.764	0.650	0.806	rụọ ọrụ
activation	0.781	0.800	0.754	ịgbalite
active	0.847	0.730	0.731	arụ ọrụ
activist	0.531	0.653	0.877	onye na-eme ihe
activity	0.701	0.660	0.807	ọrụ
actor	0.653	0.561	0.629	omee
actress	0.633	0.556	0.596	omee
actual	0.729	0.400	0.716	n'ezie
actuality	0.750	0.464	0.600	eziokwu
actuary	0.510	0.404	0.491	actuary
acuity	0.469	0.378	0.741	acuity
acumen	0.564	0.660	0.679	ikike
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	nnukwu
acutely	0.417	0.543	0.491	nke ọma
ad	0.521	0.705	0.558	mgbasa ozi
adage	0.517	0.415	0.566	okwu
adamant	0.344	0.529	0.575	ekwe ekwe
adapt	0.740	0.355	0.551	imeghari
adaptable	0.735	0.423	0.641	emeghari
adaptation	0.663	0.365	0.609	mmegharị
add	0.728	0.490	0.554	tinye
added	0.562	0.405	0.509	agbakwunyere
addendum	0.392	0.370	0.418	mgbakwunye
adder	0.388	0.461	0.588	mgbakwunye
addict	0.075	0.696	0.327	riri ahụ
addicted	0.156	0.712	0.483	riri ahụ
addiction	0.180	0.806	0.420	riri ahụ
addictive	0.302	0.683	0.472	na-eri ahụ
addition	0.562	0.373	0.471	mgbakwunye
additional	0.673	0.462	0.526	mgbakwunye
additive	0.561	0.633	0.691	mgbakwunye
address	0.650	0.327	0.567	adreesị
addressee	0.622	0.382	0.538	adreesị
addresses	0.510	0.354	0.450	adreesị
adept	0.594	0.539	0.789	mara mma
adequacy	0.615	0.435	0.702	ezuru oke
adequate	0.854	0.264	0.705	zuru oke
adhere	0.633	0.339	0.554	jidesie ike
adherence	0.760	0.307	0.630	nrubeisi
adherent	0.561	0.385	0.555	na-akwado
adhering	0.612	0.561	0.537	na-erube isi
adhesion	0.521	0.445	0.586	adhesion
adhesive	0.604	0.350	0.413	nrapado
adieu	0.250	0.471	0.342	adiyu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	nsoro
adjacent	0.645	0.276	0.536	n'akụkụ
adjective	0.570	0.316	0.569	adjective
adjoining	0.520	0.400	0.393	n'akụkụ
adjourn	0.385	0.456	0.475	kwụsịchaa
adjournment	0.438	0.510	0.370	nkwughachi
adjudicate	0.559	0.520	0.683	kpee ikpe
adjudication	0.551	0.462	0.691	ikpe
adjunct	0.459	0.440	0.426	mgbakwunye
adjust	0.647	0.327	0.638	dozie
adjuster	0.510	0.540	0.760	nhazi
adjustment	0.590	0.520	0.661	mmezi
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	inye
administration	0.625	0.404	0.786	nchịkwa
administrative	0.542	0.415	0.579	nhazi
administrator	0.538	0.480	0.902	onye nchịkwa
admirable	0.929	0.600	0.870	kemmasi
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	admiralty
admiration	0.969	0.583	0.726	mmasi
admire	0.867	0.692	0.704	nwee mmasị
admired	0.917	0.560	0.815	masịrị ya
admirer	0.796	0.720	0.650	mmasị
admiring	0.867	0.578	0.629	na-enwe mmasị
admissibility	0.802	0.580	0.602	nnabata
admissible	0.780	0.528	0.642	nnabata
admission	0.802	0.415	0.732	nnabata
admit	0.538	0.423	0.667	kweta
admittance	0.690	0.451	0.598	nnabata
admitted	0.720	0.490	0.767	kwetara
admitting	0.620	0.500	0.546	na-ekweta
admixture	0.450	0.375	0.438	admixture
admonition	0.357	0.606	0.455	ndụmọdụ
ado	0.520	0.423	0.385	ido
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	oge uto
adolescent	0.781	0.680	0.509	ntorobia
adopt	0.694	0.612	0.701	ịmụta
adoption	0.625	0.566	0.589	nkuchi
