English Word	Valence	Arousal	Dominance	Latin Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	perculsus
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	relinquere
abandoned	0.046	0.481	0.130	relicta
abandonment	0.128	0.430	0.202	desertio
abashed	0.177	0.644	0.307	obstipuit
abate	0.255	0.696	0.604	mitesceret
abatement	0.388	0.338	0.336	peremptio
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbatia
abbot	0.427	0.321	0.483	abbas
abbreviate	0.531	0.375	0.330	abbreviate
abbreviation	0.469	0.306	0.345	abbreviationem
abdomen	0.469	0.462	0.471	abdominis
abdominal	0.490	0.456	0.445	abdominis
abduct	0.173	0.720	0.615	abducere
abduction	0.062	0.990	0.673	raptum
aberrant	0.146	0.765	0.431	aberrant
aberration	0.125	0.816	0.417	aberratio
abeyance	0.330	0.510	0.292	abstinentia
abhor	0.125	0.602	0.349	abominari
abhorrence	0.167	0.684	0.420	abominatio
abhorrent	0.229	0.750	0.474	abominabilis
abide	0.635	0.354	0.705	manere
abiding	0.796	0.327	0.750	manens
ability	0.875	0.510	0.816	facultatem
abject	0.354	0.590	0.417	abiectio
ablation	0.418	0.500	0.500	ablatio
ablaze	0.240	0.847	0.525	ardere
able	0.786	0.500	0.810	potest
abnormal	0.137	0.604	0.309	alius
abnormality	0.092	0.655	0.383	deprauationem
aboard	0.698	0.284	0.481	navigavimus
abode	0.620	0.302	0.500	habitatio
abolish	0.448	0.615	0.529	abolere
abolition	0.323	0.690	0.529	abolitio
abominable	0.120	0.731	0.482	abominabilis
abominate	0.198	0.788	0.366	abominatus
abomination	0.078	0.755	0.518	abominatio
aboriginal	0.448	0.427	0.542	archetypus
abort	0.153	0.686	0.429	abort
abortion	0.082	0.770	0.283	abortum
abortive	0.090	0.776	0.280	abortivum
abound	0.704	0.490	0.681	abundare
abovementioned	0.541	0.298	0.509	de quibus supra
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasione
abrasive	0.392	0.610	0.593	laesura
abreast	0.635	0.380	0.519	pariter
abroad	0.677	0.596	0.561	foris
abrogate	0.327	0.510	0.594	abrogare
abrupt	0.271	0.819	0.545	abruptum
abruptly	0.250	0.808	0.556	repente
abscess	0.154	0.451	0.349	apostema
absence	0.153	0.235	0.266	absentia
absent	0.177	0.221	0.116	absens
absentee	0.235	0.330	0.279	absentium
absenteeism	0.404	0.273	0.357	absenteeism
absinthe	0.481	0.510	0.462	absinthium
absolute	0.526	0.510	0.827	absolutum
absolution	0.715	0.500	0.664	absolutio
absolve	0.684	0.449	0.660	absolvo
absorb	0.469	0.558	0.670	absorbet
absorbed	0.490	0.471	0.519	absorptus
absorbent	0.552	0.394	0.718	BIBULUS
absorbing	0.490	0.490	0.578	absorbens
absorption	0.609	0.422	0.446	effusio
abstain	0.385	0.385	0.427	abstinere
abstention	0.271	0.264	0.509	abstinentia
abstinence	0.260	0.392	0.429	abstinentia
abstract	0.438	0.292	0.444	abstractum
abstraction	0.469	0.439	0.525	abstractio
absurd	0.188	0.656	0.284	absurdum
absurdity	0.115	0.528	0.227	absurditas
abundance	0.812	0.690	0.852	abundantia
abundant	0.958	0.590	0.760	abundat
abuse	0.071	0.873	0.469	abusu
abused	0.021	0.874	0.235	abusi
abusive	0.125	0.903	0.567	iniuria
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby-
abysmal	0.250	0.710	0.598	abyssus
abyss	0.353	0.725	0.296	abyssus
academic	0.781	0.420	0.812	academica
academy	0.704	0.473	0.792	academiae
accede	0.698	0.510	0.537	accede
accelerant	0.643	0.844	0.802	accelerans
accelerate	0.615	0.902	0.759	accelerate
accelerated	0.610	0.812	0.682	accelerato
acceleration	0.704	0.905	0.843	acceleratio
accelerator	0.593	0.830	0.812	accelerator
accent	0.598	0.357	0.509	accentu
accentuate	0.673	0.556	0.667	PREMO
accept	0.847	0.286	0.565	accipere
acceptable	0.812	0.286	0.583	gratum
acceptance	0.833	0.287	0.755	acceptatio
acceptances	0.847	0.413	0.648	acceptiones
access	0.714	0.472	0.567	accessum
accessible	0.796	0.410	0.645	accessible
accession	0.612	0.383	0.636	accessio
accessory	0.562	0.292	0.445	accessorium
accident	0.125	0.908	0.336	casus
accidental	0.319	0.784	0.307	accidens
accidentally	0.333	0.741	0.333	accidens
acclaim	0.562	0.809	0.718	acclamare
accolade	0.688	0.591	0.775	accolade
accommodate	0.844	0.375	0.566	accommodare
accommodation	0.817	0.415	0.587	accommodatio
accompaniment	0.740	0.479	0.695	comitante
accompany	0.833	0.406	0.585	comitantur
accompanying	0.787	0.460	0.582	comitante
accomplice	0.408	0.580	0.510	conscius
accomplish	0.929	0.673	0.816	efficere
accomplished	0.870	0.520	0.798	peracta
accomplishment	0.917	0.694	0.888	effectus
accord	0.898	0.264	0.382	secundum
accordance	0.659	0.349	0.600	secundum
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	propter
accountability	0.755	0.537	0.833	accountability
accountable	0.709	0.282	0.777	accountable
accountant	0.625	0.450	0.639	Computantis
accounting	0.552	0.390	0.677	ratio
accounts	0.592	0.340	0.471	rationibus
accredited	0.669	0.479	0.768	adprobatum
accretion	0.448	0.519	0.672	accretio
accrue	0.520	0.481	0.602	accrescere
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	cumulare
accumulation	0.479	0.527	0.600	cumulus
accuracy	0.604	0.481	0.802	accurate
accurate	0.743	0.360	0.737	accurate
accursed	0.135	0.745	0.345	maledictus
accusation	0.073	0.718	0.564	accusatio
accusative	0.198	0.755	0.482	accusativus
accuse	0.133	0.752	0.500	accusare
accused	0.130	0.670	0.420	accusatus
accuser	0.122	0.779	0.615	accusator
accusing	0.156	0.745	0.324	accus
accustomed	0.542	0.365	0.441	adsuetum
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	dolori
achieve	0.816	0.545	0.843	consequi
achieved	0.896	0.519	0.775	effectum
achievement	0.896	0.808	0.759	factum
aching	0.053	0.880	0.348	traiecto
achy	0.167	0.840	0.373	achy *
acid	0.265	0.642	0.566	acidum
acidity	0.156	0.663	0.360	acorem
acknowledge	0.786	0.370	0.661	confiteri
acknowledged	0.714	0.443	0.765	recognovit
acknowledgement	0.819	0.539	0.830	agnitio
acknowledgment	0.796	0.528	0.777	agnitio
acme	0.408	0.435	0.375	nimiae
acne	0.167	0.474	0.308	acne
acorn	0.448	0.198	0.192	glandem
acoustic	0.542	0.462	0.536	porus acusticus
