English Word	Valence	Arousal	Dominance	Lithuanian Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvarkas
aback	0.385	0.407	0.288	apstulbęs
abacus	0.510	0.276	0.485	abakas
abalone	0.500	0.480	0.412	abalas
abandon	0.052	0.519	0.245	palikti
abandoned	0.046	0.481	0.130	apleistas
abandonment	0.128	0.430	0.202	apleidimas
abashed	0.177	0.644	0.307	sugniuždytas
abate	0.255	0.696	0.604	susilpnėti
abatement	0.388	0.338	0.336	sumažinimas
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abatija
abbot	0.427	0.321	0.483	abatas
abbreviate	0.531	0.375	0.330	sutrumpinti
abbreviation	0.469	0.306	0.345	santrumpa
abdomen	0.469	0.462	0.471	pilvas
abdominal	0.490	0.456	0.445	pilvo
abduct	0.173	0.720	0.615	pagrobti
abduction	0.062	0.990	0.673	pagrobimas
aberrant	0.146	0.765	0.431	nenormalus
aberration	0.125	0.816	0.417	aberacija
abeyance	0.330	0.510	0.292	atidėjimas
abhor	0.125	0.602	0.349	bjaurėtis
abhorrence	0.167	0.684	0.420	pasibjaurėjimas
abhorrent	0.229	0.750	0.474	pasibjaurėtina
abide	0.635	0.354	0.705	laikytis
abiding	0.796	0.327	0.750	besilaikantis
ability	0.875	0.510	0.816	gebėjimas
abject	0.354	0.590	0.417	apgailėtinas
ablation	0.418	0.500	0.500	abliacija
ablaze	0.240	0.847	0.525	liepsnoti
able	0.786	0.500	0.810	galintis
abnormal	0.137	0.604	0.309	nenormalus
abnormality	0.092	0.655	0.383	anomalija
aboard	0.698	0.284	0.481	laive
abode	0.620	0.302	0.500	buveinė
abolish	0.448	0.615	0.529	panaikinti
abolition	0.323	0.690	0.529	panaikinimas
abominable	0.120	0.731	0.482	šlykštus
abominate	0.198	0.788	0.366	šlykštus
abomination	0.078	0.755	0.518	bjaurybė
aboriginal	0.448	0.427	0.542	aborigenai
abort	0.153	0.686	0.429	nutraukti
abortion	0.082	0.770	0.283	abortas
abortive	0.090	0.776	0.280	abortinis
abound	0.704	0.490	0.681	gausu
abovementioned	0.541	0.298	0.509	anksčiau paminėtas
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	dilimas
abrasive	0.392	0.610	0.593	abrazyvinis
abreast	0.635	0.380	0.519	greta
abroad	0.677	0.596	0.561	užsienyje
abrogate	0.327	0.510	0.594	panaikinti
abrupt	0.271	0.819	0.545	staigus
abruptly	0.250	0.808	0.556	staigiai
abscess	0.154	0.451	0.349	abscesas
absence	0.153	0.235	0.266	nebuvimas
absent	0.177	0.221	0.116	nėra
absentee	0.235	0.330	0.279	pravaikštas
absenteeism	0.404	0.273	0.357	pravaikštos
absinthe	0.481	0.510	0.462	absentas
absolute	0.526	0.510	0.827	absoliutus
absolution	0.715	0.500	0.664	atleidimas
absolve	0.684	0.449	0.660	atleisti
absorb	0.469	0.558	0.670	sugerti
absorbed	0.490	0.471	0.519	absorbuojamas
absorbent	0.552	0.394	0.718	sugeriantis
absorbing	0.490	0.490	0.578	sugeriantis
absorption	0.609	0.422	0.446	absorbcija
abstain	0.385	0.385	0.427	susilaikyti
abstention	0.271	0.264	0.509	susilaikymas
abstinence	0.260	0.392	0.429	abstinencija
abstract	0.438	0.292	0.444	abstrakčiai
abstraction	0.469	0.439	0.525	abstrakcija
absurd	0.188	0.656	0.284	absurdas
absurdity	0.115	0.528	0.227	absurdas
abundance	0.812	0.690	0.852	gausa
abundant	0.958	0.590	0.760	gausu
abuse	0.071	0.873	0.469	piktnaudžiavimas
abused	0.021	0.874	0.235	piktnaudžiaujama
abusive	0.125	0.903	0.567	užgaulus
abutment	0.500	0.265	0.616	atrama
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	bedugnė
abyss	0.353	0.725	0.296	bedugnė
academic	0.781	0.420	0.812	akademinis
academy	0.704	0.473	0.792	akademija
accede	0.698	0.510	0.537	prisijungti
accelerant	0.643	0.844	0.802	greitintuvas
accelerate	0.615	0.902	0.759	paspartinti
accelerated	0.610	0.812	0.682	pagreitintas
acceleration	0.704	0.905	0.843	pagreitis
accelerator	0.593	0.830	0.812	akceleratorius
accent	0.598	0.357	0.509	akcentas
accentuate	0.673	0.556	0.667	akcentuoti
accept	0.847	0.286	0.565	priimti
acceptable	0.812	0.286	0.583	priimtina
acceptance	0.833	0.287	0.755	priėmimas
acceptances	0.847	0.413	0.648	priėmimus
access	0.714	0.472	0.567	prieiga
accessible	0.796	0.410	0.645	prieinama
accession	0.612	0.383	0.636	prisijungimas
accessory	0.562	0.292	0.445	priedas
accident	0.125	0.908	0.336	avarija
accidental	0.319	0.784	0.307	atsitiktinis
accidentally	0.333	0.741	0.333	netyčia
acclaim	0.562	0.809	0.718	pripažinimas
accolade	0.688	0.591	0.775	pagyrimas
accommodate	0.844	0.375	0.566	apgyvendinti
accommodation	0.817	0.415	0.587	apgyvendinimas
accompaniment	0.740	0.479	0.695	akompanimentas
accompany	0.833	0.406	0.585	lydėti
accompanying	0.787	0.460	0.582	palyda
accomplice	0.408	0.580	0.510	bendrininkas
accomplish	0.929	0.673	0.816	įvykdyti
accomplished	0.870	0.520	0.798	įvykdytas
accomplishment	0.917	0.694	0.888	pasiekimas
accord	0.898	0.264	0.382	susitarimas
accordance	0.659	0.349	0.600	atitikimą
accordion	0.604	0.490	0.361	akordeonas
account	0.531	0.347	0.472	sąskaitą
accountability	0.755	0.537	0.833	atskaitomybė
accountable	0.709	0.282	0.777	atskaitingas
accountant	0.625	0.450	0.639	buhalteris
accounting	0.552	0.390	0.677	buhalterinė apskaita
accounts	0.592	0.340	0.471	sąskaitas
accredited	0.669	0.479	0.768	akredituota
accretion	0.448	0.519	0.672	priaugimas
accrue	0.520	0.481	0.602	kaupti
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	kaupti
accumulation	0.479	0.527	0.600	kaupimas
accuracy	0.604	0.481	0.802	tikslumu
accurate	0.743	0.360	0.737	tikslūs
accursed	0.135	0.745	0.345	prakeiktas
accusation	0.073	0.718	0.564	kaltinimas
accusative	0.198	0.755	0.482	kaltinamasis
accuse	0.133	0.752	0.500	apkaltinti
accused	0.130	0.670	0.420	apkaltintas
accuser	0.122	0.779	0.615	kaltintojo
accusing	0.156	0.745	0.324	kaltinantis
accustomed	0.542	0.365	0.441	pripratę
ace	0.643	0.481	0.546	tūzas
acetic	0.333	0.420	0.519	acto
acetylene	0.306	0.469	0.509	acetilenas
ache	0.146	0.760	0.312	skaudėti
achieve	0.816	0.545	0.843	pasiekti
achieved	0.896	0.519	0.775	pasiekti
achievement	0.896	0.808	0.759	pasiekimas
aching	0.053	0.880	0.348	skauda
