English Word	Valence	Arousal	Dominance	Maltese Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	mistħarrġa
abacus	0.510	0.276	0.485	abaku
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	jabbandunaw
abandoned	0.046	0.481	0.130	abbandunat
abandonment	0.128	0.430	0.202	abbandun
abashed	0.177	0.644	0.307	imbegħdin
abate	0.255	0.696	0.604	jonqos
abatement	0.388	0.338	0.336	tnaqqis
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abbati
abbreviate	0.531	0.375	0.330	abbrevja
abbreviation	0.469	0.306	0.345	abbrevjazzjoni
abdomen	0.469	0.462	0.471	żaqq
abdominal	0.490	0.456	0.445	addominali
abduct	0.173	0.720	0.615	ħataf
abduction	0.062	0.990	0.673	ħtif
aberrant	0.146	0.765	0.431	aberranti
aberration	0.125	0.816	0.417	aberrazzjoni
abeyance	0.330	0.510	0.292	sospensjoni
abhor	0.125	0.602	0.349	jistmerr
abhorrence	0.167	0.684	0.420	stmerrija
abhorrent	0.229	0.750	0.474	mistkerr
abide	0.635	0.354	0.705	toqgħod
abiding	0.796	0.327	0.750	jobdu
ability	0.875	0.510	0.816	kapaċità
abject	0.354	0.590	0.417	abject
ablation	0.418	0.500	0.500	ablazzjoni
ablaze	0.240	0.847	0.525	jaħraq
able	0.786	0.500	0.810	kapaċi
abnormal	0.137	0.604	0.309	anormali
abnormality	0.092	0.655	0.383	anormalità
aboard	0.698	0.284	0.481	abbord
abode	0.620	0.302	0.500	residenza
abolish	0.448	0.615	0.529	jabolixxi
abolition	0.323	0.690	0.529	abolizzjoni
abominable	0.120	0.731	0.482	abominabbli
abominate	0.198	0.788	0.366	abomina
abomination	0.078	0.755	0.518	abominazzjoni
aboriginal	0.448	0.427	0.542	aboriġinali
abort	0.153	0.686	0.429	abort
abortion	0.082	0.770	0.283	abort
abortive	0.090	0.776	0.280	abortiva
abound	0.704	0.490	0.681	naraw
abovementioned	0.541	0.298	0.509	hawn fuq imsemmija
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	brix
abrasive	0.392	0.610	0.593	joborxu
abreast	0.635	0.380	0.519	aġġornat
abroad	0.677	0.596	0.561	barra
abrogate	0.327	0.510	0.594	iħassar
abrupt	0.271	0.819	0.545	f'daqqa
abruptly	0.250	0.808	0.556	f'daqqa
abscess	0.154	0.451	0.349	axxess
absence	0.153	0.235	0.266	nuqqas
absent	0.177	0.221	0.116	assenti
absentee	0.235	0.330	0.279	assenti
absenteeism	0.404	0.273	0.357	assenteiżmu
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	assoluta
absolution	0.715	0.500	0.664	l-assoluzzjoni
absolve	0.684	0.449	0.660	jeħles
absorb	0.469	0.558	0.670	jassorbi
absorbed	0.490	0.471	0.519	assorbit
absorbent	0.552	0.394	0.718	assorbenti
absorbing	0.490	0.490	0.578	jassorbi
absorption	0.609	0.422	0.446	assorbiment
abstain	0.385	0.385	0.427	jastjeni
abstention	0.271	0.264	0.509	astensjoni
abstinence	0.260	0.392	0.429	astinenza
abstract	0.438	0.292	0.444	astratt
abstraction	0.469	0.439	0.525	estrazzjoni
absurd	0.188	0.656	0.284	assurda
absurdity	0.115	0.528	0.227	assurdità
abundance	0.812	0.690	0.852	abbundanza
abundant	0.958	0.590	0.760	abbundanti
abuse	0.071	0.873	0.469	abbuż
abused	0.021	0.874	0.235	abbużat
abusive	0.125	0.903	0.567	abbużiv
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abysmal
abyss	0.353	0.725	0.296	abbiss
academic	0.781	0.420	0.812	akkademiku
academy	0.704	0.473	0.792	akkademja
accede	0.698	0.510	0.537	jaċċettaw
accelerant	0.643	0.844	0.802	aċċellerant
accelerate	0.615	0.902	0.759	taċċellera
accelerated	0.610	0.812	0.682	aċċellerat
acceleration	0.704	0.905	0.843	aċċelerazzjoni
accelerator	0.593	0.830	0.812	aċċeleratur
accent	0.598	0.357	0.509	aċċent
accentuate	0.673	0.556	0.667	jaċċentwa
accept	0.847	0.286	0.565	aċċetta
acceptable	0.812	0.286	0.583	aċċettabbli
acceptance	0.833	0.287	0.755	aċċettazzjoni
acceptances	0.847	0.413	0.648	aċċettazzjonijiet
access	0.714	0.472	0.567	aċċess
accessible	0.796	0.410	0.645	aċċessibbli
accession	0.612	0.383	0.636	adeżjoni
accessory	0.562	0.292	0.445	aċċessorju
accident	0.125	0.908	0.336	aċċident
accidental	0.319	0.784	0.307	aċċidentali
accidentally	0.333	0.741	0.333	aċċidentalment
acclaim	0.562	0.809	0.718	akklamazzjoni
accolade	0.688	0.591	0.775	rikonoxxenza
accommodate	0.844	0.375	0.566	jakkomoda
accommodation	0.817	0.415	0.587	akkomodazzjoni
accompaniment	0.740	0.479	0.695	akkumpanjament
accompany	0.833	0.406	0.585	jakkumpanja
accompanying	0.787	0.460	0.582	li jakkumpanjaw
accomplice	0.408	0.580	0.510	kompliċi
accomplish	0.929	0.673	0.816	twettaq
accomplished	0.870	0.520	0.798	mwettqa
accomplishment	0.917	0.694	0.888	tlestija
accord	0.898	0.264	0.382	qbil
accordance	0.659	0.349	0.600	skond
accordion	0.604	0.490	0.361	akkordju
account	0.531	0.347	0.472	kont
accountability	0.755	0.537	0.833	responsabbiltà
accountable	0.709	0.282	0.777	responsabbli
accountant	0.625	0.450	0.639	accountant
accounting	0.552	0.390	0.677	kontabilità
accounts	0.592	0.340	0.471	kontijiet
accredited	0.669	0.479	0.768	akkreditat
accretion	0.448	0.519	0.672	akkrezzjoni
accrue	0.520	0.481	0.602	jakkumula
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	jakkumulaw
accumulation	0.479	0.527	0.600	akkumulazzjoni
accuracy	0.604	0.481	0.802	preċiżjoni
accurate	0.743	0.360	0.737	preċiża
accursed	0.135	0.745	0.345	misħuta
accusation	0.073	0.718	0.564	akkuża
accusative	0.198	0.755	0.482	akku]attiv
accuse	0.133	0.752	0.500	jakkuża
accused	0.130	0.670	0.420	akkużat
accuser	0.122	0.779	0.615	akkużatur
accusing	0.156	0.745	0.324	akkuża
accustomed	0.542	0.365	0.441	imdorri
ace	0.643	0.481	0.546	ass
acetic	0.333	0.420	0.519	aċetiku
acetylene	0.306	0.469	0.509	aċetilena
ache	0.146	0.760	0.312	uġigħ
achieve	0.816	0.545	0.843	tikseb
achieved	0.896	0.519	0.775	miksub
achievement	0.896	0.808	0.759	kisba
aching	0.053	0.880	0.348	uġigħ
achy	0.167	0.840	0.373	achy
