English Word	Valence	Arousal	Dominance	Marathi Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	आआह
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	थक्क
abacus	0.510	0.276	0.485	अॅबॅकस
abalone	0.500	0.480	0.412	अबालोन
abandon	0.052	0.519	0.245	सोडून देणे
abandoned	0.046	0.481	0.130	सोडून दिले
abandonment	0.128	0.430	0.202	त्याग
abashed	0.177	0.644	0.307	अभद्र
abate	0.255	0.696	0.604	कमी करणे
abatement	0.388	0.338	0.336	कमी करणे
abba	0.562	0.500	0.480	अब्बा
abbey	0.580	0.367	0.444	मठ
abbot	0.427	0.321	0.483	मठाधिपती
abbreviate	0.531	0.375	0.330	संक्षिप्त
abbreviation	0.469	0.306	0.345	संक्षेप
abdomen	0.469	0.462	0.471	उदर
abdominal	0.490	0.456	0.445	उदर
abduct	0.173	0.720	0.615	अपहरण
abduction	0.062	0.990	0.673	अपहरण
aberrant	0.146	0.765	0.431	विसंगत
aberration	0.125	0.816	0.417	विकृती
abeyance	0.330	0.510	0.292	स्थगिती
abhor	0.125	0.602	0.349	तिरस्कार
abhorrence	0.167	0.684	0.420	तिरस्कार
abhorrent	0.229	0.750	0.474	घृणास्पद
abide	0.635	0.354	0.705	पालन
abiding	0.796	0.327	0.750	कायम
ability	0.875	0.510	0.816	क्षमता
abject	0.354	0.590	0.417	निंदनीय
ablation	0.418	0.500	0.500	पृथक्करण
ablaze	0.240	0.847	0.525	आग लावणे
able	0.786	0.500	0.810	सक्षम
abnormal	0.137	0.604	0.309	असामान्य
abnormality	0.092	0.655	0.383	असामान्यता
aboard	0.698	0.284	0.481	जहाजात
abode	0.620	0.302	0.500	निवासस्थान
abolish	0.448	0.615	0.529	रद्द
abolition	0.323	0.690	0.529	निर्मूलन
abominable	0.120	0.731	0.482	घृणास्पद
abominate	0.198	0.788	0.366	घृणास्पद
abomination	0.078	0.755	0.518	घृणास्पद
aboriginal	0.448	0.427	0.542	आदिवासी
abort	0.153	0.686	0.429	गर्भपात
abortion	0.082	0.770	0.283	गर्भपात
abortive	0.090	0.776	0.280	गर्भपात
abound	0.704	0.490	0.681	भरपूर
abovementioned	0.541	0.298	0.509	वर दिल्याप्रमाणे
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	घर्षण
