English Word	Valence	Arousal	Dominance	Mongolian Word
aaaaaaah	0.479	0.606	0.291	аааааа
aaaah	0.520	0.636	0.282	аааа
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	гайхсан
abacus	0.510	0.276	0.485	абакус
abalone	0.500	0.480	0.412	далайн амьтан
abandon	0.052	0.519	0.245	орхих
abandoned	0.046	0.481	0.130	хаягдсан
abandonment	0.128	0.430	0.202	орхих
abashed	0.177	0.644	0.307	ичсэн
abate	0.255	0.696	0.604	бууруулах
abatement	0.388	0.338	0.336	бууруулах
abba	0.562	0.500	0.480	авба
abbey	0.580	0.367	0.444	сүм хийд
abbot	0.427	0.321	0.483	хамба лам
abbreviate	0.531	0.375	0.330	товчилно
abbreviation	0.469	0.306	0.345	товчлол
abdomen	0.469	0.462	0.471	хэвлий
abdominal	0.490	0.456	0.445	хэвлийн
abduct	0.173	0.720	0.615	хулгайлах
abduction	0.062	0.990	0.673	хулгайлах
aberrant	0.146	0.765	0.431	гажуудал
aberration	0.125	0.816	0.417	гажуудал
abeyance	0.330	0.510	0.292	завсарлага
abhor	0.125	0.602	0.349	жигших
abhorrence	0.167	0.684	0.420	жигшил
abhorrent	0.229	0.750	0.474	жигшүүртэй
abide	0.635	0.354	0.705	дагах
abiding	0.796	0.327	0.750	дагах
ability	0.875	0.510	0.816	чадвар
abject	0.354	0.590	0.417	адгийн
ablation	0.418	0.500	0.500	аблаци
ablaze	0.240	0.847	0.525	дүрэлзэнэ
able	0.786	0.500	0.810	боломжтой
abnormal	0.137	0.604	0.309	хэвийн бус
abnormality	0.092	0.655	0.383	хэвийн бус байдал
aboard	0.698	0.284	0.481	онгоцонд
abode	0.620	0.302	0.500	оршин суух
abolish	0.448	0.615	0.529	цуцлах
abolition	0.323	0.690	0.529	цуцлах
abominable	0.120	0.731	0.482	жигшүүрт
abominate	0.198	0.788	0.366	жигшүүрт
abomination	0.078	0.755	0.518	жигшүүрт зүйл
aboriginal	0.448	0.427	0.542	уугуул
abort	0.153	0.686	0.429	цуцлах
abortion	0.082	0.770	0.283	үр хөндөлт
abortive	0.090	0.776	0.280	үр дүнгүй
abound	0.704	0.490	0.681	элбэг
abovementioned	0.541	0.298	0.509	дээр дурдагдсан
abracadabra	0.673	0.632	0.434	абракадабра
abrasion	0.406	0.592	0.441	элэгдэл
abrasive	0.392	0.610	0.593	зүлгүүр
abreast	0.635	0.380	0.519	дагаж мөрдөх
abroad	0.677	0.596	0.561	гадаадад
abrogate	0.327	0.510	0.594	хүчингүй болгох
abrupt	0.271	0.819	0.545	огцом
abruptly	0.250	0.808	0.556	гэнэт
abscess	0.154	0.451	0.349	буглаа
absence	0.153	0.235	0.266	байхгүй
absent	0.177	0.221	0.116	байхгүй
absentee	0.235	0.330	0.279	эзгүй хүн
absenteeism	0.404	0.273	0.357	ажил таслалт
absinthe	0.481	0.510	0.462	абсинт
absolute	0.526	0.510	0.827	үнэмлэхүй
absolution	0.715	0.500	0.664	өршөөл
absolve	0.684	0.449	0.660	чөлөөлөх
absorb	0.469	0.558	0.670	шингээх
absorbed	0.490	0.471	0.519	шингэсэн
absorbent	0.552	0.394	0.718	шингээгч
absorbing	0.490	0.490	0.578	шингээх
absorption	0.609	0.422	0.446	шингээлт
abstain	0.385	0.385	0.427	татгалзах
abstention	0.271	0.264	0.509	түдгэлзсэн
abstinence	0.260	0.392	0.429	цээрлэх
abstract	0.438	0.292	0.444	хийсвэр
abstraction	0.469	0.439	0.525	хийсвэрлэл
absurd	0.188	0.656	0.284	утгагүй
absurdity	0.115	0.528	0.227	утгагүй байдал
abundance	0.812	0.690	0.852	элбэг дэлбэг байдал
abundant	0.958	0.590	0.760	элбэг дэлбэг
abuse	0.071	0.873	0.469	хүчирхийлэл
abused	0.021	0.874	0.235	хүчирхийлэлд өртсөн
abusive	0.125	0.903	0.567	хүчирхийлэгч
abutment	0.500	0.265	0.616	тулгуур
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	гашуун
abyss	0.353	0.725	0.296	ангал
academic	0.781	0.420	0.812	академик
academy	0.704	0.473	0.792	академи
accede	0.698	0.510	0.537	нэгдэх
accelerant	0.643	0.844	0.802	хурдасгагч
accelerate	0.615	0.902	0.759	хурдасгах
accelerated	0.610	0.812	0.682	хурдасгасан
acceleration	0.704	0.905	0.843	хурдатгал
accelerator	0.593	0.830	0.812	хурдасгуур
accent	0.598	0.357	0.509	өргөлт
accentuate	0.673	0.556	0.667	онцлох
accept	0.847	0.286	0.565	хүлээн зөвшөөрөх
acceptable	0.812	0.286	0.583	хүлээн зөвшөөрөх боломжтой
acceptance	0.833	0.287	0.755	хүлээн зөвшөөрөх
acceptances	0.847	0.413	0.648	хүлээн авалт
access	0.714	0.472	0.567	хандалт
accessible	0.796	0.410	0.645	хүртээмжтэй
accession	0.612	0.383	0.636	элсэлт
accessory	0.562	0.292	0.445	дагалдах хэрэгсэл
accident	0.125	0.908	0.336	осол
accidental	0.319	0.784	0.307	санамсаргүй
accidentally	0.333	0.741	0.333	санамсаргүйгээр
acclaim	0.562	0.809	0.718	сайшаал
accolade	0.688	0.591	0.775	магтаал
accommodate	0.844	0.375	0.566	байрлуулах
accommodation	0.817	0.415	0.587	байр
accompaniment	0.740	0.479	0.695	дагалдан
accompany	0.833	0.406	0.585	дагалдан явах
accompanying	0.787	0.460	0.582	дагалдан яваа
accomplice	0.408	0.580	0.510	хамсаатан
accomplish	0.929	0.673	0.816	гүйцэлдүүлэх
accomplished	0.870	0.520	0.798	биелсэн
accomplishment	0.917	0.694	0.888	амжилт
accord	0.898	0.264	0.382	тохиролцоо
accordance	0.659	0.349	0.600	дагуу
accordion	0.604	0.490	0.361	баян хуур
account	0.531	0.347	0.472	данс
accountability	0.755	0.537	0.833	хариуцлага
accountable	0.709	0.282	0.777	хариуцлагатай
accountant	0.625	0.450	0.639	нягтлан бодогч
accounting	0.552	0.390	0.677	нягтлан бодох бүртгэл
accounts	0.592	0.340	0.471	дансууд
accredited	0.669	0.479	0.768	итгэмжлэгдсэн
accretion	0.448	0.519	0.672	хуримтлагдах
accrue	0.520	0.481	0.602	хуримтлагдах
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	хуримтлуулах
accumulation	0.479	0.527	0.600	хуримтлал
accuracy	0.604	0.481	0.802	нарийвчлал
accurate	0.743	0.360	0.737	үнэн зөв
accursed	0.135	0.745	0.345	хараагдсан
accusation	0.073	0.718	0.564	буруутгах
accusative	0.198	0.755	0.482	буруутгагч
accuse	0.133	0.752	0.500	буруутгах
accused	0.130	0.670	0.420	яллагдагч
accuser	0.122	0.779	0.615	буруутгагч
accusing	0.156	0.745	0.324	буруутгаж байна
accustomed	0.542	0.365	0.441	дассан
ace	0.643	0.481	0.546	хөзрийн тамга
acetic	0.333	0.420	0.519	цууны
acetylene	0.306	0.469	0.509	ацетилен
ache	0.146	0.760	0.312	өвдөх
achieve	0.816	0.545	0.843	хүрэх
achieved	0.896	0.519	0.775	хүрсэн
achievement	0.896	0.808	0.759	ололт амжилт
aching	0.053	0.880	0.348	өвдөж байна
achy	0.167	0.840	0.373	өвдөж байна
acid	0.265	0.642	0.566	хүчил
acidity	0.156	0.663	0.360	хүчиллэг
acknowledge	0.786	0.370	0.661	хүлээн зөвшөөрөх
acknowledged	0.714	0.443	0.765	хүлээн зөвшөөрсөн
acknowledgement	0.819	0.539	0.830	хүлээн зөвшөөрөх
acknowledgment	0.796	0.528	0.777	хүлээн зөвшөөрөх
acme	0.408	0.435	0.375	акме
acne	0.167	0.474	0.308	батга
acorn	0.448	0.198	0.192	царсны боргоцой
acoustic	0.542	0.462	0.536	акустик
acoustics	0.611	0.330	0.509	акустик
acquaint	0.646	0.491	0.639	танил
acquaintance	0.656	0.290	0.670	танил
acquainted	0.906	0.358	0.632	танилцсан
acquiescence	0.542	0.480	0.554	хүлцэнгүй байдал
acquire	0.833	0.468	0.700	олж авах
acquiring	0.735	0.510	0.817	олж авах
acquisition	0.698	0.509	0.736	олж авах
acquisitions	0.773	0.660	0.790	худалдан авалт
acquit	0.583	0.571	0.611	цагаатгах
acquittal	0.760	0.497	0.700	цагаатгах
acre	0.583	0.387	0.423	акр
acreage	0.741	0.450	0.528	га талбай
acres	0.510	0.363	0.500	акр
acrobat	0.708	0.828	0.602	акробат
acrylic	0.582	0.279	0.420	нийлэг
act	0.656	0.704	0.735	үйлдэл хийх
acting	0.698	0.643	0.500	жүжиглэх
action	0.760	0.898	0.802	үйлдэл
action figure	0.615	0.774	0.611	үйл ажиллагааны дүр
actionable	0.673	0.702	0.613	үйлдэл хийх боломжтой
activate	0.764	0.650	0.806	идэвхжүүлэх
activation	0.781	0.800	0.754	идэвхжүүлэлт
active	0.847	0.730	0.731	идэвхтэй
activist	0.531	0.653	0.877	идэвхтэн
activity	0.701	0.660	0.807	үйл ажиллагаа
actor	0.653	0.561	0.629	жүжигчин
actress	0.633	0.556	0.596	жүжигчин
actual	0.729	0.400	0.716	бодит
actuality	0.750	0.464	0.600	бодит байдал
actuary	0.510	0.404	0.491	актуари
acuity	0.469	0.378	0.741	хурц тод байдал
acumen	0.564	0.660	0.679	хурц ухаан
acupuncture	0.531	0.324	0.549	зүүний эмчилгээ
acute	0.427	0.652	0.534	цочмог
acutely	0.417	0.543	0.491	хурцаар
ad	0.521	0.705	0.558	зар
adage	0.517	0.415	0.566	зүйр үг
adamant	0.344	0.529	0.575	хатуу
adapt	0.740	0.355	0.551	дасан зохицох
adaptable	0.735	0.423	0.641	дасан зохицох чадвартай
adaptation	0.663	0.365	0.609	дасан зохицох
add	0.728	0.490	0.554	нэмэх
added	0.562	0.405	0.509	нэмсэн
addendum	0.392	0.370	0.418	нэмэлт
adder	0.388	0.461	0.588	нэмэгч
addict	0.075	0.696	0.327	донтогч
addicted	0.156	0.712	0.483	донтсон
addiction	0.180	0.806	0.420	донтолт
addictive	0.302	0.683	0.472	донтуулдаг
addition	0.562	0.373	0.471	нэмэлт
additional	0.673	0.462	0.526	нэмэлт
additive	0.561	0.633	0.691	нэмэлт
address	0.650	0.327	0.567	хаяг
addressee	0.622	0.382	0.538	хаяг хүлээн авагч
addresses	0.510	0.354	0.450	хаягууд
adept	0.594	0.539	0.789	чадварлаг
adequacy	0.615	0.435	0.702	хангалттай байдал
adequate	0.854	0.264	0.705	хангалттай
adhere	0.633	0.339	0.554	дагаж мөрдөх
adherence	0.760	0.307	0.630	дагаж мөрдөх
