English Word	Valence	Arousal	Dominance	Myanmar-Burmese Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	အံသြ
abacus	0.510	0.276	0.485	ပေသီး
abalone	0.500	0.480	0.412	ပဲပြား
abandon	0.052	0.519	0.245	စွန့်လွှတ်
abandoned	0.046	0.481	0.130	စွန့်ပစ်ခဲ့သည်။
abandonment	0.128	0.430	0.202	စွန့်ပစ်ခြင်း။
abashed	0.177	0.644	0.307	ရှက်ရွံ့
abate	0.255	0.696	0.604	သက်သာတယ်။
abatement	0.388	0.338	0.336	သက်သာသွားသည်။
abba	0.562	0.500	0.480	အဗ္ဗ
abbey	0.580	0.367	0.444	ဆရာတော်
abbot	0.427	0.321	0.483	ဆရာတော်
abbreviate	0.531	0.375	0.330	အတိုကောက်
abbreviation	0.469	0.306	0.345	အတိုကောက်
abdomen	0.469	0.462	0.471	ဝမ်းဗိုက်
abdominal	0.490	0.456	0.445	ဝမ်းဗိုက်
abduct	0.173	0.720	0.615	ခိုးယူမှု
abduction	0.062	0.990	0.673	ပြန်ပေးဆွဲခြင်း
aberrant	0.146	0.765	0.431	မမှန်
aberration	0.125	0.816	0.417	ကွဲလွဲမှု
abeyance	0.330	0.510	0.292	မလိုက်နာခြင်း။
abhor	0.125	0.602	0.349	ရွံရှာသည်။
abhorrence	0.167	0.684	0.420	ရွံရှာခြင်း။
abhorrent	0.229	0.750	0.474	ရွံရှာဖွယ်
abide	0.635	0.354	0.705	နေပါ။
abiding	0.796	0.327	0.750	တည်နေ
ability	0.875	0.510	0.816	စွမ်းရည်
abject	0.354	0.590	0.417	ရွံရှာဖွယ်
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	တောက်
able	0.786	0.500	0.810	နိုင်
abnormal	0.137	0.604	0.309	မူမမှန်
abnormality	0.092	0.655	0.383	မူမမှန်ခြင်း။
aboard	0.698	0.284	0.481	တစ်စီး
abode	0.620	0.302	0.500	နေထိုင်သည်။
abolish	0.448	0.615	0.529	လုပ်မယ်။
abolition	0.323	0.690	0.529	ဖျက်သိမ်းရေး
abominable	0.120	0.731	0.482	ရွံရှာဘွယ်သော
abominate	0.198	0.788	0.366	စက်ဆုပ်ရွံရှာသည်။
abomination	0.078	0.755	0.518	စက်ဆုပ်ရွံရှာခြင်း။
aboriginal	0.448	0.427	0.542	မူရင်းလူမျိုး
abort	0.153	0.686	0.429	သားလျှော
abortion	0.082	0.770	0.283	ကိုယ်ဝန်ဖျက်ချခြင်း။
abortive	0.090	0.776	0.280	မအောင်မြင်သော
abound	0.704	0.490	0.681	ပေါများ၏။
abovementioned	0.541	0.298	0.509	အထက်ဖော်ပြပါ
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	ပွန်းပဲ့ခြင်း။
abrasive	0.392	0.610	0.593	အနု
abreast	0.635	0.380	0.519	ရင်ဘောင်တန်းပါ။
abroad	0.677	0.596	0.561	နိုင်ငံခြားမှာ
abrogate	0.327	0.510	0.594	ပယ်ချသည်။
abrupt	0.271	0.819	0.545	ရုတ်ခြည်း
abruptly	0.250	0.808	0.556	ဆတ်ခနဲ
abscess	0.154	0.451	0.349	ပြည်တည်နာ
absence	0.153	0.235	0.266	မရှိခြင်း။
absent	0.177	0.221	0.116	ပျက်ကွက်
absentee	0.235	0.330	0.279	ဝင်ပြီး
absenteeism	0.404	0.273	0.357	ပျက်ကွက်ခြင်း။
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	ပကတိ
absolution	0.715	0.500	0.664	ဖျက်သိမ်းရေး
absolve	0.684	0.449	0.660	absolve
absorb	0.469	0.558	0.670	စုပ်ယူ
absorbed	0.490	0.471	0.519	စုပ်ယူသည်။
absorbent	0.552	0.394	0.718	စုပ်သည်။
absorbing	0.490	0.490	0.578	စုပ်သည်။
absorption	0.609	0.422	0.446	စုပ်ယူမှု
abstain	0.385	0.385	0.427	ရှောင်ပါ။
abstention	0.271	0.264	0.509	ရှောင်ကြဉ်ခြင်း။
abstinence	0.260	0.392	0.429	နေကြပြီး၊
abstract	0.438	0.292	0.444	စိတ္တဇ
abstraction	0.469	0.439	0.525	abstraction
absurd	0.188	0.656	0.284	အဓိပ္ပါယ်မဲ့
absurdity	0.115	0.528	0.227	အဓိပ္ပာယ်မဲ့
abundance	0.812	0.690	0.852	စည်းစိမ်ဥစ္စာ
abundant	0.958	0.590	0.760	ပေါများသည်။
abuse	0.071	0.873	0.469	အလွဲသုံးစားလုပ်
abused	0.021	0.874	0.235	မတော်မတရား
abusive	0.125	0.903	0.567	ရိုင်းစိုင်းသော
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	Aby
abysmal	0.250	0.710	0.598	ချောက်ချားစရာ
abyss	0.353	0.725	0.296	အနက်ဆုံးသောတွင်း
academic	0.781	0.420	0.812	ပညာရေး
academy	0.704	0.473	0.792	အကယ်ဒမီ
accede	0.698	0.510	0.537	အခွင့်ပေးပါ။
accelerant	0.643	0.844	0.802	အရှိန်မြှင့်သည်။
accelerate	0.615	0.902	0.759	အရှိန်မြှင့်
accelerated	0.610	0.812	0.682	အရှိန်မြှင့်
acceleration	0.704	0.905	0.843	အရှိန်
accelerator	0.593	0.830	0.812	အရှိန်မြှင့်စက်
accent	0.598	0.357	0.509	လေယူလေသိမ်း
accentuate	0.673	0.556	0.667	ပေါ်လွင်စေပါသည်။
accept	0.847	0.286	0.565	လက်ခံ
acceptable	0.812	0.286	0.583	လက်ခံနိုင်သော
acceptance	0.833	0.287	0.755	လက်ခံမှု
acceptances	0.847	0.413	0.648	လက်ခံမှုများ
access	0.714	0.472	0.567	ဝင်ရောက်ခွင့်
accessible	0.796	0.410	0.645	ဝင်ရောက်နိုင်သည်။
accession	0.612	0.383	0.636	ဝင်ခွင့်
accessory	0.562	0.292	0.445	ဆက်စပ်ပစ္စည်း
accident	0.125	0.908	0.336	မတော်တဆ
accidental	0.319	0.784	0.307	မတော်တဆ
accidentally	0.333	0.741	0.333	မတော်တဆ
acclaim	0.562	0.809	0.718	ဩဘာ
accolade	0.688	0.591	0.775	ချီးကျူးဂုဏ်ပြုခြင်း။
accommodate	0.844	0.375	0.566	လိုက်လျောပါ။
accommodation	0.817	0.415	0.587	နေရာထိုင်ခင်း
accompaniment	0.740	0.479	0.695	ပါကင်
accompany	0.833	0.406	0.585	အတူလိုက်ပါ
accompanying	0.787	0.460	0.582	နှင့်အတူလိုက်ပါသည်
accomplice	0.408	0.580	0.510	ကြံရာမရ
accomplish	0.929	0.673	0.816	ပြီးမြောက်
accomplished	0.870	0.520	0.798	ပြီးမြောက်သည်။
accomplishment	0.917	0.694	0.888	အောင်မြင်မှု
