English Word	Valence	Arousal	Dominance	Norwegian Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	jordsvin
aback	0.385	0.407	0.288	overrasket
abacus	0.510	0.276	0.485	kuleramme
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	forlate
abandoned	0.046	0.481	0.130	forlatt
abandonment	0.128	0.430	0.202	forlatelse
abashed	0.177	0.644	0.307	skjemmet
abate	0.255	0.696	0.604	avta
abatement	0.388	0.338	0.336	reduksjon
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	klosteret
abbot	0.427	0.321	0.483	abbed
abbreviate	0.531	0.375	0.330	forkorte
abbreviation	0.469	0.306	0.345	forkortelse
abdomen	0.469	0.462	0.471	mageregionen
abdominal	0.490	0.456	0.445	abdominal
abduct	0.173	0.720	0.615	bortføre
abduction	0.062	0.990	0.673	bortføring
aberrant	0.146	0.765	0.431	avvikende
aberration	0.125	0.816	0.417	aberrasjon
abeyance	0.330	0.510	0.292	avstand
abhor	0.125	0.602	0.349	avsky
abhorrence	0.167	0.684	0.420	avsky
abhorrent	0.229	0.750	0.474	avskyelig
abide	0.635	0.354	0.705	overholde
abiding	0.796	0.327	0.750	varig
ability	0.875	0.510	0.816	evnen
abject	0.354	0.590	0.417	uhyggelig
ablation	0.418	0.500	0.500	ablasjon
ablaze	0.240	0.847	0.525	brenne
able	0.786	0.500	0.810	i stand
abnormal	0.137	0.604	0.309	unormal
abnormality	0.092	0.655	0.383	abnormitet
aboard	0.698	0.284	0.481	ombord
abode	0.620	0.302	0.500	bolig
abolish	0.448	0.615	0.529	avskaffe
abolition	0.323	0.690	0.529	avskaffelse
abominable	0.120	0.731	0.482	avskyelig
abominate	0.198	0.788	0.366	avskyelig
abomination	0.078	0.755	0.518	vederstyggelighet
aboriginal	0.448	0.427	0.542	aboriginal
abort	0.153	0.686	0.429	avbryte
abortion	0.082	0.770	0.283	abort
abortive	0.090	0.776	0.280	mislykket
abound	0.704	0.490	0.681	florerer
abovementioned	0.541	0.298	0.509	ovenfor
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	slitasje
abrasive	0.392	0.610	0.593	slipende
abreast	0.635	0.380	0.519	på høyden
abroad	0.677	0.596	0.561	i utlandet
abrogate	0.327	0.510	0.594	oppheve
abrupt	0.271	0.819	0.545	brå
abruptly	0.250	0.808	0.556	brått
abscess	0.154	0.451	0.349	abscess
absence	0.153	0.235	0.266	fravær
absent	0.177	0.221	0.116	fraværende
absentee	0.235	0.330	0.279	fraværende
absenteeism	0.404	0.273	0.357	fravær
absinthe	0.481	0.510	0.462	absint
absolute	0.526	0.510	0.827	absolutt
absolution	0.715	0.500	0.664	absolusjon
absolve	0.684	0.449	0.660	frita
absorb	0.469	0.558	0.670	absorbere
absorbed	0.490	0.471	0.519	absorbert
absorbent	0.552	0.394	0.718	absorberende
absorbing	0.490	0.490	0.578	absorberende
absorption	0.609	0.422	0.446	absorpsjon
abstain	0.385	0.385	0.427	avstå
abstention	0.271	0.264	0.509	avholdenhet
abstinence	0.260	0.392	0.429	avholdenhet
abstract	0.438	0.292	0.444	abstrakt
abstraction	0.469	0.439	0.525	abstraksjon
absurd	0.188	0.656	0.284	absurd
absurdity	0.115	0.528	0.227	absurditet
abundance	0.812	0.690	0.852	overflod
abundant	0.958	0.590	0.760	rikelig
abuse	0.071	0.873	0.469	misbruke
abused	0.021	0.874	0.235	misbrukt
abusive	0.125	0.903	0.567	misbrukende
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	bunnløs
abyss	0.353	0.725	0.296	avgrunn
academic	0.781	0.420	0.812	akademisk
academy	0.704	0.473	0.792	akademi
accede	0.698	0.510	0.537	gå med
accelerant	0.643	0.844	0.802	akselererende
accelerate	0.615	0.902	0.759	akselerere
accelerated	0.610	0.812	0.682	akselerert
acceleration	0.704	0.905	0.843	akselerasjon
accelerator	0.593	0.830	0.812	akselerator
accent	0.598	0.357	0.509	aksent
accentuate	0.673	0.556	0.667	fremheve
accept	0.847	0.286	0.565	aksepterer
acceptable	0.812	0.286	0.583	akseptabel
acceptance	0.833	0.287	0.755	godkjennelse
acceptances	0.847	0.413	0.648	aksepter
access	0.714	0.472	0.567	adgang
accessible	0.796	0.410	0.645	tilgjengelig
accession	0.612	0.383	0.636	tiltredelse
accessory	0.562	0.292	0.445	tilbehør
accident	0.125	0.908	0.336	ulykke
accidental	0.319	0.784	0.307	tilfeldig
accidentally	0.333	0.741	0.333	ved et uhell
acclaim	0.562	0.809	0.718	anerkjennelse
accolade	0.688	0.591	0.775	utmerkelse
accommodate	0.844	0.375	0.566	imøtekomme
accommodation	0.817	0.415	0.587	overnatting
accompaniment	0.740	0.479	0.695	akkompagnement
accompany	0.833	0.406	0.585	ledsage
accompanying	0.787	0.460	0.582	medfølgende
accomplice	0.408	0.580	0.510	medskyldig
accomplish	0.929	0.673	0.816	utrette
accomplished	0.870	0.520	0.798	oppnådd
accomplishment	0.917	0.694	0.888	gjennomføring
accord	0.898	0.264	0.382	avtale
accordance	0.659	0.349	0.600	samsvar
accordion	0.604	0.490	0.361	trekkspill
account	0.531	0.347	0.472	regnskap
accountability	0.755	0.537	0.833	ansvarlighet
accountable	0.709	0.282	0.777	ansvarlig
accountant	0.625	0.450	0.639	regnskapsfører
accounting	0.552	0.390	0.677	regnskap
accounts	0.592	0.340	0.471	kontoer
accredited	0.669	0.479	0.768	akkreditert
accretion	0.448	0.519	0.672	akkresjon
accrue	0.520	0.481	0.602	påløpe
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	akkumulere
accumulation	0.479	0.527	0.600	akkumulering
accuracy	0.604	0.481	0.802	nøyaktighet
accurate	0.743	0.360	0.737	korrekt
accursed	0.135	0.745	0.345	forbannet
accusation	0.073	0.718	0.564	anklage
accusative	0.198	0.755	0.482	akkusativ
accuse	0.133	0.752	0.500	beskylde
accused	0.130	0.670	0.420	tiltalte
accuser	0.122	0.779	0.615	anklager
accusing	0.156	0.745	0.324	anklagende
accustomed	0.542	0.365	0.441	vant
ace	0.643	0.481	0.546	ess
acetic	0.333	0.420	0.519	eddiksyre
acetylene	0.306	0.469	0.509	acetylen
ache	0.146	0.760	0.312	smerte
achieve	0.816	0.545	0.843	oppnå
achieved	0.896	0.519	0.775	oppnådd
achievement	0.896	0.808	0.759	oppnåelse
aching	0.053	0.880	0.348	verkende
achy	0.167	0.840	0.373	vondt
acid	0.265	0.642	0.566	syre
acidity	0.156	0.663	0.360	surhet
acknowledge	0.786	0.370	0.661	anerkjenne
acknowledged	0.714	0.443	0.765	anerkjente
acknowledgement	0.819	0.539	0.830	bekreftelse
