English Word	Valence	Arousal	Dominance	Polish Word
aaaaaaah	0.479	0.606	0.291	aaaaaaa
aaaah	0.520	0.636	0.282	aaaaa
aardvark	0.427	0.490	0.437	mrównik
aback	0.385	0.407	0.288	wstecz
abacus	0.510	0.276	0.485	liczydło
abalone	0.500	0.480	0.412	uchowiec
abandon	0.052	0.519	0.245	opuścić
abandoned	0.046	0.481	0.130	opuszczony
abandonment	0.128	0.430	0.202	porzucenie
abashed	0.177	0.644	0.307	speszony
abate	0.255	0.696	0.604	zmniejszać
abatement	0.388	0.338	0.336	obniżka
abba	0.562	0.500	0.480	Abba
abbey	0.580	0.367	0.444	opactwo
abbot	0.427	0.321	0.483	opat
abbreviate	0.531	0.375	0.330	skracać
abbreviation	0.469	0.306	0.345	skrót
abdomen	0.469	0.462	0.471	brzuch
abdominal	0.490	0.456	0.445	brzuszny
abduct	0.173	0.720	0.615	uprowadzać
abduction	0.062	0.990	0.673	uprowadzenie
aberrant	0.146	0.765	0.431	anormalny
aberration	0.125	0.816	0.417	aberracja
abeyance	0.330	0.510	0.292	stan zawieszenia
abhor	0.125	0.602	0.349	czuć wstręt
abhorrence	0.167	0.684	0.420	wstręt
abhorrent	0.229	0.750	0.474	odrażający
abide	0.635	0.354	0.705	przestrzegać
abiding	0.796	0.327	0.750	trwały
ability	0.875	0.510	0.816	umiejętność
abject	0.354	0.590	0.417	nikczemny
ablation	0.418	0.500	0.500	ablacja
ablaze	0.240	0.847	0.525	w ogniu
able	0.786	0.500	0.810	zdolny
abnormal	0.137	0.604	0.309	nieprawidłowy
abnormality	0.092	0.655	0.383	nieprawidłowość
aboard	0.698	0.284	0.481	na
abode	0.620	0.302	0.500	siedziba
abolish	0.448	0.615	0.529	znieść
abolition	0.323	0.690	0.529	zniesienie
abominable	0.120	0.731	0.482	wstrętny
abominate	0.198	0.788	0.366	nienawidzić
abomination	0.078	0.755	0.518	wstręt
aboriginal	0.448	0.427	0.542	rodowity
abort	0.153	0.686	0.429	anulować
abortion	0.082	0.770	0.283	poronienie
abortive	0.090	0.776	0.280	nieudany
abound	0.704	0.490	0.681	obfitować
abovementioned	0.541	0.298	0.509	wyżej wymienione
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	przetarcie
abrasive	0.392	0.610	0.593	ścierny
abreast	0.635	0.380	0.519	ramię przy ramieniu
abroad	0.677	0.596	0.561	za granicą
abrogate	0.327	0.510	0.594	unieważnić
abrupt	0.271	0.819	0.545	nagły
abruptly	0.250	0.808	0.556	nagle
abscess	0.154	0.451	0.349	ropień
absence	0.153	0.235	0.266	brak
absent	0.177	0.221	0.116	nieobecny
absentee	0.235	0.330	0.279	bumelant
absenteeism	0.404	0.273	0.357	absencja
absinthe	0.481	0.510	0.462	Absynt
absolute	0.526	0.510	0.827	absolutny
absolution	0.715	0.500	0.664	rozgrzeszenie
absolve	0.684	0.449	0.660	rozgrzeszać
absorb	0.469	0.558	0.670	absorbować
absorbed	0.490	0.471	0.519	zaabsorbowany
absorbent	0.552	0.394	0.718	absorbent
absorbing	0.490	0.490	0.578	absorbujący
absorption	0.609	0.422	0.446	wchłanianie
abstain	0.385	0.385	0.427	wstrzymać się
abstention	0.271	0.264	0.509	wstrzymanie się od głosu
abstinence	0.260	0.392	0.429	abstynencja
abstract	0.438	0.292	0.444	abstrakcyjny
abstraction	0.469	0.439	0.525	abstrakcja
absurd	0.188	0.656	0.284	absurdalny
absurdity	0.115	0.528	0.227	absurdalność
abundance	0.812	0.690	0.852	obfitość
abundant	0.958	0.590	0.760	obfity
abuse	0.071	0.873	0.469	nadużywać
abused	0.021	0.874	0.235	nadużywany
abusive	0.125	0.903	0.567	obraźliwy
abutment	0.500	0.265	0.616	przyczółek
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	bezdenny
abyss	0.353	0.725	0.296	przepaść
academic	0.781	0.420	0.812	akademicki
academy	0.704	0.473	0.792	akademia
accede	0.698	0.510	0.537	przystąpić
accelerant	0.643	0.844	0.802	przyśpieszacz
accelerate	0.615	0.902	0.759	przyśpieszyć
accelerated	0.610	0.812	0.682	przyśpieszony
acceleration	0.704	0.905	0.843	przyśpieszenie
accelerator	0.593	0.830	0.812	akcelerator
accent	0.598	0.357	0.509	akcent
accentuate	0.673	0.556	0.667	podkreślać
accept	0.847	0.286	0.565	zaakceptować
acceptable	0.812	0.286	0.583	do przyjęcia
acceptance	0.833	0.287	0.755	przyjęcie
acceptances	0.847	0.413	0.648	akceptacje
access	0.714	0.472	0.567	dostęp
accessible	0.796	0.410	0.645	dostępny
accession	0.612	0.383	0.636	przystąpienie
accessory	0.562	0.292	0.445	akcesorium
accident	0.125	0.908	0.336	wypadek
accidental	0.319	0.784	0.307	przypadkowy
accidentally	0.333	0.741	0.333	przypadkowo
acclaim	0.562	0.809	0.718	oklaskiwać
accolade	0.688	0.591	0.775	uznanie
accommodate	0.844	0.375	0.566	pomieścić
accommodation	0.817	0.415	0.587	zakwaterowanie
accompaniment	0.740	0.479	0.695	akompaniament
accompany	0.833	0.406	0.585	towarzyszyć
accompanying	0.787	0.460	0.582	towarzyszący
accomplice	0.408	0.580	0.510	wspólnik
accomplish	0.929	0.673	0.816	ukończyć
accomplished	0.870	0.520	0.798	znakomity
accomplishment	0.917	0.694	0.888	osiągnięcie
accord	0.898	0.264	0.382	porozumienie
accordance	0.659	0.349	0.600	zgodność
accordion	0.604	0.490	0.361	akordeon
account	0.531	0.347	0.472	rachunek
accountability	0.755	0.537	0.833	odpowiedzialność
accountable	0.709	0.282	0.777	odpowiedzialny
accountant	0.625	0.450	0.639	księgowa
accounting	0.552	0.390	0.677	księgowość
accounts	0.592	0.340	0.471	rachunki
accredited	0.669	0.479	0.768	akredytowany
accretion	0.448	0.519	0.672	przyrost
accrue	0.520	0.481	0.602	płynąć
accueil	0.450	0.451	0.470	liczyć
accumulate	0.573	0.536	0.607	gromadzić
accumulation	0.479	0.527	0.600	akumulacja
accuracy	0.604	0.481	0.802	precyzja
accurate	0.743	0.360	0.737	dokładny
accursed	0.135	0.745	0.345	przeklęty
accusation	0.073	0.718	0.564	oskarżenie
accusative	0.198	0.755	0.482	biernik
accuse	0.133	0.752	0.500	oskarżać
accused	0.130	0.670	0.420	oskarżony
accuser	0.122	0.779	0.615	oskarżyciel
accusing	0.156	0.745	0.324	oskarżać
accustomed	0.542	0.365	0.441	przyzwyczajony
ace	0.643	0.481	0.546	as
acetic	0.333	0.420	0.519	octowy
acetylene	0.306	0.469	0.509	acetylen
ache	0.146	0.760	0.312	boleć
achieve	0.816	0.545	0.843	osiągnąć
achieved	0.896	0.519	0.775	osiągnięty
achievement	0.896	0.808	0.759	osiągnięcie
aching	0.053	0.880	0.348	zbolały
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	kwas
acidity	0.156	0.663	0.360	kwasowość
acknowledge	0.786	0.370	0.661	uznawać
acknowledged	0.714	0.443	0.765	uznany
acknowledgement	0.819	0.539	0.830	potwierdzenie
acknowledgment	0.796	0.528	0.777	potwierdzenie
acme	0.408	0.435	0.375	kulminacja
acne	0.167	0.474	0.308	trądzik
acorn	0.448	0.198	0.192	żołądź
acoustic	0.542	0.462	0.536	akustyczny
acoustics	0.611	0.330	0.509	akustyka
acquaint	0.646	0.491	0.639	zapoznać
acquaintance	0.656	0.290	0.670	znajomy
acquainted	0.906	0.358	0.632	obeznany
acquiescence	0.542	0.480	0.554	przyzwolenie
acquire	0.833	0.468	0.700	nabywać
acquiring	0.735	0.510	0.817	nabywanie
acquisition	0.698	0.509	0.736	nabytek
acquisitions	0.773	0.660	0.790	przejęcia
acquit	0.583	0.571	0.611	uniewinnić
acquittal	0.760	0.497	0.700	uniewinnienie
acre	0.583	0.387	0.423	akr
acreage	0.741	0.450	0.528	areał
acres	0.510	0.363	0.500	włości
acrobat	0.708	0.828	0.602	akrobata
acrylic	0.582	0.279	0.420	akryl
act	0.656	0.704	0.735	akt
acting	0.698	0.643	0.500	gra aktorska
action	0.760	0.898	0.802	akcja
action figure	0.615	0.774	0.611	Figurka
actionable	0.673	0.702	0.613	zaskarżalny
activate	0.764	0.650	0.806	Aktywuj
activation	0.781	0.800	0.754	aktywacja
active	0.847	0.730	0.731	aktywny
activist	0.531	0.653	0.877	aktywista
activity	0.701	0.660	0.807	działalność
actor	0.653	0.561	0.629	aktor
actress	0.633	0.556	0.596	aktorka
actual	0.729	0.400	0.716	rzeczywisty
actuality	0.750	0.464	0.600	rzeczywistość
actuary	0.510	0.404	0.491	specjalista od ubezpieczeń
acuity	0.469	0.378	0.741	ostrość
acumen	0.564	0.660	0.679	bystrość
acupuncture	0.531	0.324	0.549	akupunktura
acute	0.427	0.652	0.534	ostry
acutely	0.417	0.543	0.491	przenikliwie
ad	0.521	0.705	0.558	ogłoszenie
adage	0.517	0.415	0.566	powiedzenie
adamant	0.344	0.529	0.575	nieugięty
adapt	0.740	0.355	0.551	przystosować się
adaptable	0.735	0.423	0.641	dający się przystosować
adaptation	0.663	0.365	0.609	dostosowanie
add	0.728	0.490	0.554	Dodaj
added	0.562	0.405	0.509	dodany
addendum	0.392	0.370	0.418	uzupełnienie
adder	0.388	0.461	0.588	sumator
addict	0.075	0.696	0.327	nałogowiec
addicted	0.156	0.712	0.483	uzależniony
addiction	0.180	0.806	0.420	nałóg
addictive	0.302	0.683	0.472	wciągający
addition	0.562	0.373	0.471	dodatek
additional	0.673	0.462	0.526	dodatkowy
additive	0.561	0.633	0.691	przyłączeniowy
address	0.650	0.327	0.567	adres zamieszkania
addressee	0.622	0.382	0.538	adresat
addresses	0.510	0.354	0.450	adresy
adept	0.594	0.539	0.789	adept
adequacy	0.615	0.435	0.702	adekwatność
adequate	0.854	0.264	0.705	odpowiedni
adhere	0.633	0.339	0.554	przylegać
adherence	0.760	0.307	0.630	przyczepność
adherent	0.561	0.385	0.555	przylegający
adhering	0.612	0.561	0.537	przylegający
adhesion	0.521	0.445	0.586	przyczepność
adhesive	0.604	0.350	0.413	spoiwo
adieu	0.250	0.471	0.342	pożegnanie
adipose	0.333	0.350	0.391	tłuszczowy
adjacency	0.365	0.417	0.375	przyleganie
adjacent	0.645	0.276	0.536	przylegający
adjective	0.570	0.316	0.569	przymiotnik
adjoining	0.520	0.400	0.393	przylegający
adjourn	0.385	0.456	0.475	zawiesić
adjournment	0.438	0.510	0.370	odroczenie
adjudicate	0.559	0.520	0.683	orzec
adjudication	0.551	0.462	0.691	wyrok
adjunct	0.459	0.440	0.426	dodatek
adjust	0.647	0.327	0.638	dostosować
adjuster	0.510	0.540	0.760	nastawiacz
adjustment	0.590	0.520	0.661	dostosowanie
adjuvant	0.510	0.500	0.456	adiuwant
admin	0.688	0.420	0.854	Admin
administer	0.635	0.425	0.860	administrować
administration	0.625	0.404	0.786	administracja
administrative	0.542	0.415	0.579	Administracyjny
administrator	0.538	0.480	0.902	administrator
admirable	0.929	0.600	0.870	zachwycający
admiral	0.844	0.490	0.847	admirał
admiralty	0.594	0.547	0.733	admiralicja
admiration	0.969	0.583	0.726	podziw
admire	0.867	0.692	0.704	podziwiać
admired	0.917	0.560	0.815	podziwiany
admirer	0.796	0.720	0.650	wielbiciel
admiring	0.867	0.578	0.629	podziwianie
admissibility	0.802	0.580	0.602	dopuszczalność
admissible	0.780	0.528	0.642	dopuszczalny
admission	0.802	0.415	0.732	wstęp
admit	0.538	0.423	0.667	przyznawać
admittance	0.690	0.451	0.598	wstęp
admitted	0.720	0.490	0.767	przyznał
admitting	0.620	0.500	0.546	przyznać się
admixture	0.450	0.375	0.438	domieszka
admonition	0.357	0.606	0.455	napomnienie
ado	0.520	0.423	0.385	korowody
adobe	0.500	0.319	0.328	cegła suszona na słońcu
adolescence	0.487	0.694	0.444	adolescencja
adolescent	0.781	0.680	0.509	dorastający
adopt	0.694	0.612	0.701	przyjąć
adoption	0.625	0.566	0.589	przyjęcie
