English Word	Valence	Arousal	Dominance	Punjabi Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	ਹੈਰਾਨ
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	ਛੱਡ ਦੇਣਾ
abandoned	0.046	0.481	0.130	ਛੱਡ ਦਿੱਤਾ
abandonment	0.128	0.430	0.202	ਤਿਆਗ
abashed	0.177	0.644	0.307	ਸ਼ਰਮਿੰਦਾ
abate	0.255	0.696	0.604	ਘਟਾਓ
abatement	0.388	0.338	0.336	ਕਮੀ
abba	0.562	0.500	0.480	ਅੱਬਾ
abbey	0.580	0.367	0.444	ਅਬੇ
abbot	0.427	0.321	0.483	ਐਬੋਟ
abbreviate	0.531	0.375	0.330	ਸੰਖੇਪ
abbreviation	0.469	0.306	0.345	ਸੰਖੇਪ ਰੂਪ
abdomen	0.469	0.462	0.471	ਪੇਟ
abdominal	0.490	0.456	0.445	ਪੇਟ
abduct	0.173	0.720	0.615	ਅਗਵਾ
abduction	0.062	0.990	0.673	ਅਗਵਾ
aberrant	0.146	0.765	0.431	ਅਸਪਸ਼ਟ
aberration	0.125	0.816	0.417	ਵਿਗਾੜ
abeyance	0.330	0.510	0.292	ਮੁਅੱਤਲ
abhor	0.125	0.602	0.349	ਨਫ਼ਰਤ
abhorrence	0.167	0.684	0.420	ਨਫ਼ਰਤ
abhorrent	0.229	0.750	0.474	ਘਿਣਾਉਣੀ
abide	0.635	0.354	0.705	ਪਾਲਣਾ
abiding	0.796	0.327	0.750	ਪਾਲਣਾ
ability	0.875	0.510	0.816	ਯੋਗਤਾ
abject	0.354	0.590	0.417	ਅਪਮਾਨਜਨਕ
ablation	0.418	0.500	0.500	ਖਾਤਮਾ
ablaze	0.240	0.847	0.525	ਅੱਗ
able	0.786	0.500	0.810	ਯੋਗ
abnormal	0.137	0.604	0.309	ਅਸਧਾਰਨ
abnormality	0.092	0.655	0.383	ਅਸਧਾਰਨਤਾ
aboard	0.698	0.284	0.481	ਸਵਾਰ
abode	0.620	0.302	0.500	ਨਿਵਾਸ
abolish	0.448	0.615	0.529	ਖਤਮ
abolition	0.323	0.690	0.529	ਖ਼ਤਮ ਕਰਨਾ
abominable	0.120	0.731	0.482	ਘਿਣਾਉਣੀ
abominate	0.198	0.788	0.366	ਘਿਣਾਉਣਾ
abomination	0.078	0.755	0.518	ਘਿਣਾਉਣੀ
aboriginal	0.448	0.427	0.542	ਆਦਿਵਾਸੀ
abort	0.153	0.686	0.429	ਅਧੂਰਾ ਛੱਡੋ
abortion	0.082	0.770	0.283	ਗਰਭਪਾਤ
abortive	0.090	0.776	0.280	ਅਧੂਰਾ
abound	0.704	0.490	0.681	ਭਰਪੂਰ
abovementioned	0.541	0.298	0.509	ਉੱਪਰ ਜ਼ਿਕਰ ਕੀਤਾ
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	ਘਬਰਾਹਟ
abrasive	0.392	0.610	0.593	ਘਟੀਆ
abreast	0.635	0.380	0.519	ਨੇੜੇ
abroad	0.677	0.596	0.561	ਵਿਦੇਸ਼
abrogate	0.327	0.510	0.594	ਰੱਦ ਕਰੋ
abrupt	0.271	0.819	0.545	ਅਚਾਨਕ
abruptly	0.250	0.808	0.556	ਅਚਾਨਕ
abscess	0.154	0.451	0.349	ਫੋੜਾ
absence	0.153	0.235	0.266	ਗੈਰਹਾਜ਼ਰੀ
absent	0.177	0.221	0.116	ਗੈਰਹਾਜ਼ਰ
absentee	0.235	0.330	0.279	ਗੈਰਹਾਜ਼ਰ
absenteeism	0.404	0.273	0.357	ਗੈਰਹਾਜ਼ਰੀ
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	ਅਸੀਮ
absolution	0.715	0.500	0.664	ਮੁਕਤੀ
absolve	0.684	0.449	0.660	ਮੁਕਤ ਕਰਨਾ
absorb	0.469	0.558	0.670	ਸੋਖਣਾ
absorbed	0.490	0.471	0.519	ਲੀਨ
absorbent	0.552	0.394	0.718	ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ
absorbing	0.490	0.490	0.578	ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ
absorption	0.609	0.422	0.446	ਸਮਾਈ
abstain	0.385	0.385	0.427	ਪਰਹੇਜ਼
abstention	0.271	0.264	0.509	ਪਰਹੇਜ਼
abstinence	0.260	0.392	0.429	ਪਰਹੇਜ਼
abstract	0.438	0.292	0.444	ਸਾਰ
abstraction	0.469	0.439	0.525	ਐਬਸਟਰੈਕਸ਼ਨ
absurd	0.188	0.656	0.284	ਬੇਹੂਦਾ
absurdity	0.115	0.528	0.227	ਬੇਹੂਦਾ
abundance	0.812	0.690	0.852	ਭਰਪੂਰਤਾ
abundant	0.958	0.590	0.760	ਭਰਪੂਰ
abuse	0.071	0.873	0.469	ਦੁਰਵਿਵਹਾਰ
abused	0.021	0.874	0.235	ਦੁਰਵਿਵਹਾਰ ਕੀਤਾ
abusive	0.125	0.903	0.567	ਅਪਮਾਨਜਨਕ
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	ਅਬੀ
abysmal	0.250	0.710	0.598	ਅਥਾਹ
abyss	0.353	0.725	0.296	ਅਥਾਹ ਕੁੰਡ
academic	0.781	0.420	0.812	ਅਕਾਦਮਿਕ
academy	0.704	0.473	0.792	ਅਕੈਡਮੀ
accede	0.698	0.510	0.537	ਸਵੀਕਾਰ ਕਰੋ
accelerant	0.643	0.844	0.802	ਤੇਜ਼
accelerate	0.615	0.902	0.759	ਤੇਜ਼ ਕਰੋ
accelerated	0.610	0.812	0.682	ਤੇਜ਼ ਕੀਤਾ
acceleration	0.704	0.905	0.843	ਪ੍ਰਵੇਗ
accelerator	0.593	0.830	0.812	ਐਕਸਲੇਟਰ
accent	0.598	0.357	0.509	ਲਹਿਜ਼ਾ
accentuate	0.673	0.556	0.667	ਜ਼ੋਰ ਦੇਣਾ
accept	0.847	0.286	0.565	ਸਵੀਕਾਰ ਕਰੋ
acceptable	0.812	0.286	0.583	ਸਵੀਕਾਰਯੋਗ
acceptance	0.833	0.287	0.755	ਮਨਜ਼ੂਰ
acceptances	0.847	0.413	0.648	ਸਵੀਕ੍ਰਿਤੀਆਂ
access	0.714	0.472	0.567	ਪਹੁੰਚ
accessible	0.796	0.410	0.645	ਪਹੁੰਚਯੋਗ
accession	0.612	0.383	0.636	ਪਹੁੰਚ
accessory	0.562	0.292	0.445	ਸਹਾਇਕ
accident	0.125	0.908	0.336	ਦੁਰਘਟਨਾ
accidental	0.319	0.784	0.307	ਦੁਰਘਟਨਾ
accidentally	0.333	0.741	0.333	ਅਚਾਨਕ
