English Word	Valence	Arousal	Dominance	Russian Word
aaaaaaah	0.479	0.606	0.291	аааааааа
aaaah	0.520	0.636	0.282	аааа
aardvark	0.427	0.490	0.437	трубкозуб
aback	0.385	0.407	0.288	ошеломленный
abacus	0.510	0.276	0.485	счеты
abalone	0.500	0.480	0.412	морское ушко
abandon	0.052	0.519	0.245	покидать
abandoned	0.046	0.481	0.130	заброшенный
abandonment	0.128	0.430	0.202	оставление
abashed	0.177	0.644	0.307	пристыженный
abate	0.255	0.696	0.604	уменьшаться
abatement	0.388	0.338	0.336	сокращение
abba	0.562	0.500	0.480	абба
abbey	0.580	0.367	0.444	аббатство
abbot	0.427	0.321	0.483	аббат
abbreviate	0.531	0.375	0.330	сокращать
abbreviation	0.469	0.306	0.345	Сокращенное название
abdomen	0.469	0.462	0.471	живот
abdominal	0.490	0.456	0.445	брюшной
abduct	0.173	0.720	0.615	похищать
abduction	0.062	0.990	0.673	похищение
aberrant	0.146	0.765	0.431	аномальный
aberration	0.125	0.816	0.417	аберрация
abeyance	0.330	0.510	0.292	отсрочка
abhor	0.125	0.602	0.349	ненавидеть
abhorrence	0.167	0.684	0.420	отвращение
abhorrent	0.229	0.750	0.474	отвратительный
abide	0.635	0.354	0.705	соблюдать
abiding	0.796	0.327	0.750	постоянный
ability	0.875	0.510	0.816	способность
abject	0.354	0.590	0.417	презренный
ablation	0.418	0.500	0.500	абляция
ablaze	0.240	0.847	0.525	пылающий
able	0.786	0.500	0.810	способный
abnormal	0.137	0.604	0.309	аномальный
abnormality	0.092	0.655	0.383	нарушение
aboard	0.698	0.284	0.481	на борту
abode	0.620	0.302	0.500	обитель
abolish	0.448	0.615	0.529	отменять
abolition	0.323	0.690	0.529	отмена
abominable	0.120	0.731	0.482	отвратительный
abominate	0.198	0.788	0.366	ненавидеть
abomination	0.078	0.755	0.518	мерзость
aboriginal	0.448	0.427	0.542	абориген
abort	0.153	0.686	0.429	прервать
abortion	0.082	0.770	0.283	аборт
abortive	0.090	0.776	0.280	неудачный
abound	0.704	0.490	0.681	изобиловать
abovementioned	0.541	0.298	0.509	вышеупомянутый
abracadabra	0.673	0.632	0.434	абракадабра
abrasion	0.406	0.592	0.441	истирание
abrasive	0.392	0.610	0.593	абразивный
abreast	0.635	0.380	0.519	в ряд
abroad	0.677	0.596	0.561	за рубежом
abrogate	0.327	0.510	0.594	отменить
abrupt	0.271	0.819	0.545	резкий
abruptly	0.250	0.808	0.556	резко
abscess	0.154	0.451	0.349	абсцесс
absence	0.153	0.235	0.266	отсутствие
absent	0.177	0.221	0.116	отсутствующий
absentee	0.235	0.330	0.279	отсутствующий
absenteeism	0.404	0.273	0.357	невыход на работу
absinthe	0.481	0.510	0.462	абсент
absolute	0.526	0.510	0.827	абсолютный
absolution	0.715	0.500	0.664	отпущение грехов
absolve	0.684	0.449	0.660	освобождать
absorb	0.469	0.558	0.670	поглощать
absorbed	0.490	0.471	0.519	поглощен
absorbent	0.552	0.394	0.718	абсорбент
absorbing	0.490	0.490	0.578	поглощающий
absorption	0.609	0.422	0.446	поглощение
abstain	0.385	0.385	0.427	воздерживаться
abstention	0.271	0.264	0.509	воздержание
abstinence	0.260	0.392	0.429	воздержание
abstract	0.438	0.292	0.444	Аннотация
abstraction	0.469	0.439	0.525	абстракция
absurd	0.188	0.656	0.284	абсурдный
absurdity	0.115	0.528	0.227	абсурд
abundance	0.812	0.690	0.852	избыток
abundant	0.958	0.590	0.760	обильный
abuse	0.071	0.873	0.469	злоупотреблять
abused	0.021	0.874	0.235	оскорбленный
abusive	0.125	0.903	0.567	оскорбительный
abutment	0.500	0.265	0.616	абатмент
aby	0.385	0.452	0.368	абы
abysmal	0.250	0.710	0.598	бездонный
abyss	0.353	0.725	0.296	бездна
academic	0.781	0.420	0.812	академический
academy	0.704	0.473	0.792	академия
accede	0.698	0.510	0.537	присоединиться
accelerant	0.643	0.844	0.802	ускоритель
accelerate	0.615	0.902	0.759	ускорить
accelerated	0.610	0.812	0.682	ускоренный
acceleration	0.704	0.905	0.843	ускорение
accelerator	0.593	0.830	0.812	ускоритель
accent	0.598	0.357	0.509	акцент
accentuate	0.673	0.556	0.667	подчеркивать
accept	0.847	0.286	0.565	принимать
acceptable	0.812	0.286	0.583	приемлемый
acceptance	0.833	0.287	0.755	принятие
acceptances	0.847	0.413	0.648	акцепты
access	0.714	0.472	0.567	доступ
accessible	0.796	0.410	0.645	доступный
accession	0.612	0.383	0.636	присоединение
accessory	0.562	0.292	0.445	аксессуар
accident	0.125	0.908	0.336	несчастный случай
accidental	0.319	0.784	0.307	случайный
accidentally	0.333	0.741	0.333	случайно
acclaim	0.562	0.809	0.718	признание
accolade	0.688	0.591	0.775	похвалить
accommodate	0.844	0.375	0.566	разместить
accommodation	0.817	0.415	0.587	проживание
accompaniment	0.740	0.479	0.695	сопровождение
accompany	0.833	0.406	0.585	сопровождать
accompanying	0.787	0.460	0.582	сопровождающий
accomplice	0.408	0.580	0.510	сообщник
accomplish	0.929	0.673	0.816	выполнить
accomplished	0.870	0.520	0.798	удавшийся
accomplishment	0.917	0.694	0.888	достижение
accord	0.898	0.264	0.382	согласие
accordance	0.659	0.349	0.600	соответствие
accordion	0.604	0.490	0.361	аккордеон
account	0.531	0.347	0.472	учетная запись
accountability	0.755	0.537	0.833	подотчетность
accountable	0.709	0.282	0.777	ответственный
accountant	0.625	0.450	0.639	бухгалтер
accounting	0.552	0.390	0.677	бухгалтерский учет
accounts	0.592	0.340	0.471	учетные записи
accredited	0.669	0.479	0.768	аккредитованный
accretion	0.448	0.519	0.672	аккреция
accrue	0.520	0.481	0.602	накапливаться
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	накапливать
accumulation	0.479	0.527	0.600	накопление
accuracy	0.604	0.481	0.802	точность
accurate	0.743	0.360	0.737	точный
accursed	0.135	0.745	0.345	проклятый
accusation	0.073	0.718	0.564	обвинение
accusative	0.198	0.755	0.482	винительный
accuse	0.133	0.752	0.500	обвинять
accused	0.130	0.670	0.420	обвиняемый
accuser	0.122	0.779	0.615	обвинитель
accusing	0.156	0.745	0.324	обвинение
accustomed	0.542	0.365	0.441	привыкший
ace	0.643	0.481	0.546	туз
acetic	0.333	0.420	0.519	уксусный
acetylene	0.306	0.469	0.509	ацетилен
ache	0.146	0.760	0.312	боль
achieve	0.816	0.545	0.843	достигать
achieved	0.896	0.519	0.775	достигнуто
achievement	0.896	0.808	0.759	достижение
aching	0.053	0.880	0.348	ноющий
achy	0.167	0.840	0.373	болезненный
acid	0.265	0.642	0.566	кислота
acidity	0.156	0.663	0.360	кислотность
acknowledge	0.786	0.370	0.661	сознавать
acknowledged	0.714	0.443	0.765	признанный
acknowledgement	0.819	0.539	0.830	подтверждение
acknowledgment	0.796	0.528	0.777	подтверждение
acme	0.408	0.435	0.375	акме
acne	0.167	0.474	0.308	прыщи
acorn	0.448	0.198	0.192	желудь
acoustic	0.542	0.462	0.536	акустический
acoustics	0.611	0.330	0.509	акустика
acquaint	0.646	0.491	0.639	знакомить
acquaintance	0.656	0.290	0.670	знакомство
acquainted	0.906	0.358	0.632	знакомый
acquiescence	0.542	0.480	0.554	уступчивость
acquire	0.833	0.468	0.700	приобретать
acquiring	0.735	0.510	0.817	приобретение
acquisition	0.698	0.509	0.736	приобретение
acquisitions	0.773	0.660	0.790	приобретения
acquit	0.583	0.571	0.611	оправдать
acquittal	0.760	0.497	0.700	оправдательный приговор
acre	0.583	0.387	0.423	акр
acreage	0.741	0.450	0.528	площадь
acres	0.510	0.363	0.500	акры
acrobat	0.708	0.828	0.602	акробат
acrylic	0.582	0.279	0.420	акрил
act	0.656	0.704	0.735	действовать
acting	0.698	0.643	0.500	действующий
action	0.760	0.898	0.802	действие
action figure	0.615	0.774	0.611	фигурка
actionable	0.673	0.702	0.613	действенный
activate	0.764	0.650	0.806	активировать
activation	0.781	0.800	0.754	активация
active	0.847	0.730	0.731	активный
activist	0.531	0.653	0.877	активист
activity	0.701	0.660	0.807	Мероприятия
actor	0.653	0.561	0.629	актер
actress	0.633	0.556	0.596	актриса
actual	0.729	0.400	0.716	действительный
actuality	0.750	0.464	0.600	актуальность
actuary	0.510	0.404	0.491	актуарий
acuity	0.469	0.378	0.741	острота
acumen	0.564	0.660	0.679	проницательность
acupuncture	0.531	0.324	0.549	иглоукалывание
acute	0.427	0.652	0.534	острый
acutely	0.417	0.543	0.491	остро
ad	0.521	0.705	0.558	объявление
adage	0.517	0.415	0.566	поговорка
adamant	0.344	0.529	0.575	непреклонный
adapt	0.740	0.355	0.551	адаптировать
adaptable	0.735	0.423	0.641	адаптируемый
adaptation	0.663	0.365	0.609	приспособление
add	0.728	0.490	0.554	добавлять
added	0.562	0.405	0.509	добавлен
addendum	0.392	0.370	0.418	дополнение
adder	0.388	0.461	0.588	сумматор
addict	0.075	0.696	0.327	наркоман
addicted	0.156	0.712	0.483	с зависимостью
addiction	0.180	0.806	0.420	зависимость
addictive	0.302	0.683	0.472	привыкание
addition	0.562	0.373	0.471	добавление
additional	0.673	0.462	0.526	дополнительный
additive	0.561	0.633	0.691	добавка
address	0.650	0.327	0.567	адрес
addressee	0.622	0.382	0.538	адресат
addresses	0.510	0.354	0.450	адреса
adept	0.594	0.539	0.789	адепт
adequacy	0.615	0.435	0.702	достаточность
adequate	0.854	0.264	0.705	адекватный
adhere	0.633	0.339	0.554	придерживаться
adherence	0.760	0.307	0.630	приверженность
adherent	0.561	0.385	0.555	приверженец
adhering	0.612	0.561	0.537	придерживаясь
adhesion	0.521	0.445	0.586	адгезия
adhesive	0.604	0.350	0.413	клей
adieu	0.250	0.471	0.342	прощай
adipose	0.333	0.350	0.391	жировой
adjacency	0.365	0.417	0.375	соседство
adjacent	0.645	0.276	0.536	соседний
adjective	0.570	0.316	0.569	имя прилагательное
adjoining	0.520	0.400	0.393	примыкающий
adjourn	0.385	0.456	0.475	отложить
adjournment	0.438	0.510	0.370	отсрочка
adjudicate	0.559	0.520	0.683	судить
adjudication	0.551	0.462	0.691	судебное решение
adjunct	0.459	0.440	0.426	дополнение
adjust	0.647	0.327	0.638	регулировать
adjuster	0.510	0.540	0.760	регулировщик
adjustment	0.590	0.520	0.661	корректирование
adjuvant	0.510	0.500	0.456	адъювант
admin	0.688	0.420	0.854	администратор
administer	0.635	0.425	0.860	управлять
administration	0.625	0.404	0.786	администрация
administrative	0.542	0.415	0.579	административный
administrator	0.538	0.480	0.902	администратор
admirable	0.929	0.600	0.870	замечательный
admiral	0.844	0.490	0.847	адмирал
admiralty	0.594	0.547	0.733	адмиралтейство
admiration	0.969	0.583	0.726	восхищение
admire	0.867	0.692	0.704	восхищаться
admired	0.917	0.560	0.815	восхищался
admirer	0.796	0.720	0.650	поклонник
admiring	0.867	0.578	0.629	восхищение
admissibility	0.802	0.580	0.602	приемлемость
admissible	0.780	0.528	0.642	допустимый
admission	0.802	0.415	0.732	допуск
admit	0.538	0.423	0.667	признавать
admittance	0.690	0.451	0.598	допуск
admitted	0.720	0.490	0.767	допущенный
admitting	0.620	0.500	0.546	признавая
admixture	0.450	0.375	0.438	примесь
admonition	0.357	0.606	0.455	замечание
ado	0.520	0.423	0.385	суета
