English Word	Valence	Arousal	Dominance	Scots-Gaelic Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	dubhach
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	trèigsinn
abandoned	0.046	0.481	0.130	thrèigsinn
abandonment	0.128	0.430	0.202	trèigsinn
abashed	0.177	0.644	0.307	uchd
abate	0.255	0.696	0.604	lasadh
abatement	0.388	0.338	0.336	lasachadh
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abaid
abbot	0.427	0.321	0.483	aba
abbreviate	0.531	0.375	0.330	giorrachadh
abbreviation	0.469	0.306	0.345	giorrachadh
abdomen	0.469	0.462	0.471	bolg
abdominal	0.490	0.456	0.445	bhoilg
abduct	0.173	0.720	0.615	fuadach
abduction	0.062	0.990	0.673	fuadach
aberrant	0.146	0.765	0.431	neo-sheasmhach
aberration	0.125	0.816	0.417	casgradh
abeyance	0.330	0.510	0.292	seachnaidh
abhor	0.125	0.602	0.349	gràin
abhorrence	0.167	0.684	0.420	gràinealachd
abhorrent	0.229	0.750	0.474	gràineil
abide	0.635	0.354	0.705	fanaibh
abiding	0.796	0.327	0.750	a' cumail
ability	0.875	0.510	0.816	comas
abject	0.354	0.590	0.417	abaich
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	lasadh
able	0.786	0.500	0.810	comasach
abnormal	0.137	0.604	0.309	neo-àbhaisteach
abnormality	0.092	0.655	0.383	ana-cainnt
aboard	0.698	0.284	0.481	air bòrd
abode	0.620	0.302	0.500	còmhnuidh
abolish	0.448	0.615	0.529	cur às
abolition	0.323	0.690	0.529	cur às
abominable	0.120	0.731	0.482	gràineil
abominate	0.198	0.788	0.366	gràineil
abomination	0.078	0.755	0.518	gràineileachd
aboriginal	0.448	0.427	0.542	tùsanach
abort	0.153	0.686	0.429	casg-breith
abortion	0.082	0.770	0.283	casg-breith
abortive	0.090	0.776	0.280	eas-chruthach
abound	0.704	0.490	0.681	pailt
abovementioned	0.541	0.298	0.509	gu h-àrd
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	sgrìobadh
abrasive	0.392	0.610	0.593	sgrìobach
abreast	0.635	0.380	0.519	an-dràsda
abroad	0.677	0.596	0.561	thall thairis
abrogate	0.327	0.510	0.594	ais-ghairm
abrupt	0.271	0.819	0.545	gu h-obann
abruptly	0.250	0.808	0.556	gu h-obann
abscess	0.154	0.451	0.349	abscess
absence	0.153	0.235	0.266	neo-làthaireachd
