English Word	Valence	Arousal	Dominance	Sindhi Word
aaaaaaah	0.479	0.606	0.291	aaaaah
aaaah	0.520	0.636	0.282	آآآه
aardvark	0.427	0.490	0.437	آرڊورڪ
aback	0.385	0.407	0.288	حيران
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	ابالون
abandon	0.052	0.519	0.245	ڇڏي ڏيڻ
abandoned	0.046	0.481	0.130	ڇڏيل
abandonment	0.128	0.430	0.202	ڇڏڻ
abashed	0.177	0.644	0.307	شرمسار
abate	0.255	0.696	0.604	گھٽائڻ
abatement	0.388	0.338	0.336	گهٽتائي
abba	0.562	0.500	0.480	ابا
abbey	0.580	0.367	0.444	ابي
abbot	0.427	0.321	0.483	ايبٽ
abbreviate	0.531	0.375	0.330	اختصار
abbreviation	0.469	0.306	0.345	مخفف
abdomen	0.469	0.462	0.471	پيٽ
abdominal	0.490	0.456	0.445	پيٽ
abduct	0.173	0.720	0.615	اغوا ڪرڻ
abduction	0.062	0.990	0.673	اغوا
aberrant	0.146	0.765	0.431	بي ترتيب
aberration	0.125	0.816	0.417	خرابي
abeyance	0.330	0.510	0.292	بيهڻ
abhor	0.125	0.602	0.349	نفرت ڪرڻ
abhorrence	0.167	0.684	0.420	نفرت
abhorrent	0.229	0.750	0.474	نفرت ڪندڙ
abide	0.635	0.354	0.705	رهڻ
abiding	0.796	0.327	0.750	رهڻ وارو
ability	0.875	0.510	0.816	قابليت
abject	0.354	0.590	0.417	بي عزتي
ablation	0.418	0.500	0.500	خاتمي
ablaze	0.240	0.847	0.525	ٻرڻ
able	0.786	0.500	0.810	قابل
abnormal	0.137	0.604	0.309	غير معمولي
abnormality	0.092	0.655	0.383	غير معمولي
aboard	0.698	0.284	0.481	جهاز ۾
abode	0.620	0.302	0.500	رهائش
abolish	0.448	0.615	0.529	ختم ڪرڻ
abolition	0.323	0.690	0.529	خاتمو
abominable	0.120	0.731	0.482	قابل نفرت
abominate	0.198	0.788	0.366	نفرت ڪرڻ
abomination	0.078	0.755	0.518	نفرت
aboriginal	0.448	0.427	0.542	اصلي
abort	0.153	0.686	0.429	ختم ڪرڻ
abortion	0.082	0.770	0.283	اسقاط حمل
abortive	0.090	0.776	0.280	ختم ڪرڻ وارو
abound	0.704	0.490	0.681	گهڻائي
abovementioned	0.541	0.298	0.509	مٿي ڄاڻايل
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	ڇڪڻ
abrasive	0.392	0.610	0.593	ڇڪڻ وارو
abreast	0.635	0.380	0.519	برابر
abroad	0.677	0.596	0.561	ٻاهرين
abrogate	0.327	0.510	0.594	منسوخ ڪرڻ
abrupt	0.271	0.819	0.545	اوچتو
abruptly	0.250	0.808	0.556	اوچتو
abscess	0.154	0.451	0.349	ڦڙو
absence	0.153	0.235	0.266	غير موجودگي
absent	0.177	0.221	0.116	غير حاضر
absentee	0.235	0.330	0.279	غير حاضر
absenteeism	0.404	0.273	0.357	غير حاضري
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	مطلق
absolution	0.715	0.500	0.664	معافي
absolve	0.684	0.449	0.660	حل ڪرڻ
absorb	0.469	0.558	0.670	جذب ڪرڻ
absorbed	0.490	0.471	0.519	جذب ٿيل
absorbent	0.552	0.394	0.718	جذب ڪندڙ
