English Word	Valence	Arousal	Dominance	Spanish Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	cerdo hormiguero
aback	0.385	0.407	0.288	detrás
abacus	0.510	0.276	0.485	ábaco
abalone	0.500	0.480	0.412	abulón
abandon	0.052	0.519	0.245	abandonar
abandoned	0.046	0.481	0.130	abandonado
abandonment	0.128	0.430	0.202	abandono
abashed	0.177	0.644	0.307	avergonzado
abate	0.255	0.696	0.604	disminuir
abatement	0.388	0.338	0.336	disminución
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abadía
abbot	0.427	0.321	0.483	abad
abbreviate	0.531	0.375	0.330	abreviar
abbreviation	0.469	0.306	0.345	abreviatura
abdomen	0.469	0.462	0.471	abdomen
abdominal	0.490	0.456	0.445	abdominal
abduct	0.173	0.720	0.615	secuestrar
abduction	0.062	0.990	0.673	secuestro
aberrant	0.146	0.765	0.431	aberrante
aberration	0.125	0.816	0.417	aberración
abeyance	0.330	0.510	0.292	suspensión
abhor	0.125	0.602	0.349	aborrecer
abhorrence	0.167	0.684	0.420	aborrecimiento
abhorrent	0.229	0.750	0.474	aborrecible
abide	0.635	0.354	0.705	cumplir
abiding	0.796	0.327	0.750	permanencia
ability	0.875	0.510	0.816	capacidad
abject	0.354	0.590	0.417	abyecto
ablation	0.418	0.500	0.500	ablación
ablaze	0.240	0.847	0.525	ardiendo
able	0.786	0.500	0.810	poder
abnormal	0.137	0.604	0.309	anormal
abnormality	0.092	0.655	0.383	anomalía
aboard	0.698	0.284	0.481	a bordo
abode	0.620	0.302	0.500	morada
abolish	0.448	0.615	0.529	abolir
abolition	0.323	0.690	0.529	abolición
abominable	0.120	0.731	0.482	abominable
abominate	0.198	0.788	0.366	abominar
abomination	0.078	0.755	0.518	abominación
aboriginal	0.448	0.427	0.542	aborigen
abort	0.153	0.686	0.429	abortar
abortion	0.082	0.770	0.283	aborto
abortive	0.090	0.776	0.280	abortivo
abound	0.704	0.490	0.681	abundar
abovementioned	0.541	0.298	0.509	anteriormente mencionado
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasión
abrasive	0.392	0.610	0.593	abrasivo
abreast	0.635	0.380	0.519	de frente
abroad	0.677	0.596	0.561	extranjero
abrogate	0.327	0.510	0.594	abrogar
abrupt	0.271	0.819	0.545	abrupto
abruptly	0.250	0.808	0.556	abruptamente
abscess	0.154	0.451	0.349	absceso
absence	0.153	0.235	0.266	ausencia
absent	0.177	0.221	0.116	ausente
absentee	0.235	0.330	0.279	ausente
