English Word	Valence	Arousal	Dominance	Swahili Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	mshangao
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abaloni
abandon	0.052	0.519	0.245	kuacha
abandoned	0.046	0.481	0.130	kutelekezwa
abandonment	0.128	0.430	0.202	kuachwa
abashed	0.177	0.644	0.307	kufedheheshwa
abate	0.255	0.696	0.604	poa
abatement	0.388	0.338	0.336	kupungua
abba	0.562	0.500	0.480	aba
abbey	0.580	0.367	0.444	abasia
abbot	0.427	0.321	0.483	abati
abbreviate	0.531	0.375	0.330	fupisha
abbreviation	0.469	0.306	0.345	ufupisho
abdomen	0.469	0.462	0.471	tumbo
abdominal	0.490	0.456	0.445	tumbo
abduct	0.173	0.720	0.615	kuteka nyara
abduction	0.062	0.990	0.673	utekaji nyara
aberrant	0.146	0.765	0.431	kupotoka
aberration	0.125	0.816	0.417	kupotoka
abeyance	0.330	0.510	0.292	kuacha
abhor	0.125	0.602	0.349	chukia
abhorrence	0.167	0.684	0.420	chukizo
abhorrent	0.229	0.750	0.474	ya kuchukiza
abide	0.635	0.354	0.705	Fuata
abiding	0.796	0.327	0.750	kudumu
ability	0.875	0.510	0.816	uwezo
abject	0.354	0.590	0.417	dhalili
ablation	0.418	0.500	0.500	kuondolewa
ablaze	0.240	0.847	0.525	kuwaka moto
able	0.786	0.500	0.810	uwezo
abnormal	0.137	0.604	0.309	isiyo ya kawaida
abnormality	0.092	0.655	0.383	hali isiyo ya kawaida
aboard	0.698	0.284	0.481	ndani
abode	0.620	0.302	0.500	makao
abolish	0.448	0.615	0.529	kukomesha
abolition	0.323	0.690	0.529	kukomesha
abominable	0.120	0.731	0.482	ya kuchukiza
abominate	0.198	0.788	0.366	chukizo
abomination	0.078	0.755	0.518	chukizo
aboriginal	0.448	0.427	0.542	asili
abort	0.153	0.686	0.429	kutoa mimba
abortion	0.082	0.770	0.283	utoaji mimba
abortive	0.090	0.776	0.280	kutoa mimba
abound	0.704	0.490	0.681	tele
abovementioned	0.541	0.298	0.509	zilizotajwa hapo juu
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	mchubuko
abrasive	0.392	0.610	0.593	abrasive
abreast	0.635	0.380	0.519	kujiendeleza
abroad	0.677	0.596	0.561	nje ya nchi
abrogate	0.327	0.510	0.594	kufuta
abrupt	0.271	0.819	0.545	ghafla
abruptly	0.250	0.808	0.556	ghafla
abscess	0.154	0.451	0.349	jipu
absence	0.153	0.235	0.266	kutokuwepo
