English Word	Valence	Arousal	Dominance	Swedish Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	jordvark
aback	0.385	0.407	0.288	en rygg
abacus	0.510	0.276	0.485	kulram
abalone	0.500	0.480	0.412	havsöra
abandon	0.052	0.519	0.245	överge
abandoned	0.046	0.481	0.130	övergiven
abandonment	0.128	0.430	0.202	övergivenhet
abashed	0.177	0.644	0.307	förlägen
abate	0.255	0.696	0.604	avta
abatement	0.388	0.338	0.336	minskning
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	kloster
abbot	0.427	0.321	0.483	abbot
abbreviate	0.531	0.375	0.330	förkorta
abbreviation	0.469	0.306	0.345	förkortning
abdomen	0.469	0.462	0.471	buk
abdominal	0.490	0.456	0.445	abdominal
abduct	0.173	0.720	0.615	röva bort
abduction	0.062	0.990	0.673	bortförande
aberrant	0.146	0.765	0.431	abnorm
aberration	0.125	0.816	0.417	avvikelse
abeyance	0.330	0.510	0.292	uppehåll
abhor	0.125	0.602	0.349	avsky
abhorrence	0.167	0.684	0.420	avsky
abhorrent	0.229	0.750	0.474	motbjudande
abide	0.635	0.354	0.705	vistas
abiding	0.796	0.327	0.750	bestående
ability	0.875	0.510	0.816	förmåga
abject	0.354	0.590	0.417	absurt
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	i lågor
able	0.786	0.500	0.810	kunna
abnormal	0.137	0.604	0.309	onormal
abnormality	0.092	0.655	0.383	abnormitet
aboard	0.698	0.284	0.481	ombord
abode	0.620	0.302	0.500	boning
abolish	0.448	0.615	0.529	avskaffa
abolition	0.323	0.690	0.529	avskaffande
abominable	0.120	0.731	0.482	avskyvärd
abominate	0.198	0.788	0.366	hata
abomination	0.078	0.755	0.518	avsky
aboriginal	0.448	0.427	0.542	ursprunglig
abort	0.153	0.686	0.429	avbryta
abortion	0.082	0.770	0.283	abort
abortive	0.090	0.776	0.280	misslyckad
abound	0.704	0.490	0.681	finnas i överflöd
abovementioned	0.541	0.298	0.509	ovan nämnda
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	abrasion
abrasive	0.392	0.610	0.593	skrovlig
abreast	0.635	0.380	0.519	i bredd
abroad	0.677	0.596	0.561	utomlands
abrogate	0.327	0.510	0.594	avskaffa
abrupt	0.271	0.819	0.545	abrupt
abruptly	0.250	0.808	0.556	tvärt
abscess	0.154	0.451	0.349	böld
absence	0.153	0.235	0.266	frånvaro
absent	0.177	0.221	0.116	frånvarande
absentee	0.235	0.330	0.279	frånvarande
