English Word	Valence	Arousal	Dominance	Zulu Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaaah
aardvark	0.427	0.490	0.437	i-ardvark
aback	0.385	0.407	0.288	ngokumangala
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	lahla
abandoned	0.046	0.481	0.130	ilahliwe
abandonment	0.128	0.430	0.202	ukulahlwa
abashed	0.177	0.644	0.307	ejabhile
abate	0.255	0.696	0.604	yancipha
abatement	0.388	0.338	0.336	ukwehliswa
abba	0.562	0.500	0.480	aba
abbey	0.580	0.367	0.444	i-abbey
abbot	0.427	0.321	0.483	u-abbot
abbreviate	0.531	0.375	0.330	finyeza
abbreviation	0.469	0.306	0.345	isifinyezo
abdomen	0.469	0.462	0.471	isisu
abdominal	0.490	0.456	0.445	isisu
abduct	0.173	0.720	0.615	ukuthumba
abduction	0.062	0.990	0.673	ukuthunjwa
aberrant	0.146	0.765	0.431	ephambene
aberration	0.125	0.816	0.417	ukuhoxa
abeyance	0.330	0.510	0.292	ukuhamba
abhor	0.125	0.602	0.349	nyanya
abhorrence	0.167	0.684	0.420	ukwenyanya
abhorrent	0.229	0.750	0.474	enyanyekayo
abide	0.635	0.354	0.705	hlala
abiding	0.796	0.327	0.750	ehlala
ability	0.875	0.510	0.816	ikhono
abject	0.354	0.590	0.417	enyanyekayo
ablation	0.418	0.500	0.500	ukukhishwa
ablaze	0.240	0.847	0.525	kuvutha
able	0.786	0.500	0.810	uyakwazi
abnormal	0.137	0.604	0.309	okungajwayelekile
abnormality	0.092	0.655	0.383	ukungavamile
aboard	0.698	0.284	0.481	phakathi
abode	0.620	0.302	0.500	hlala
abolish	0.448	0.615	0.529	qeda
abolition	0.323	0.690	0.529	ukuqedwa
abominable	0.120	0.731	0.482	enengekayo
abominate	0.198	0.788	0.366	enyanyekayo
abomination	0.078	0.755	0.518	amanyala
aboriginal	0.448	0.427	0.542	owomdabu
abort	0.153	0.686	0.429	khipha isisu
abortion	0.082	0.770	0.283	ukukhipha isisu
abortive	0.090	0.776	0.280	okhipha isisu
abound	0.704	0.490	0.681	ningi
abovementioned	0.541	0.298	0.509	okukhulunywe ngenhla
abracadabra	0.673	0.632	0.434	i-abracadabra
abrasion	0.406	0.592	0.441	ukuhuzuka
abrasive	0.392	0.610	0.593	-abrasive
abreast	0.635	0.380	0.519	elinganisene
abroad	0.677	0.596	0.561	phesheya
abrogate	0.327	0.510	0.594	chitha
abrupt	0.271	0.819	0.545	kungazelelwe
abruptly	0.250	0.808	0.556	kungazelelwe
abscess	0.154	0.451	0.349	ithumba
absence	0.153	0.235	0.266	ukungabi khona
absent	0.177	0.221	0.116	ngingekho
absentee	0.235	0.330	0.279	ongekho
absenteeism	0.404	0.273	0.357	ukulova
absinthe	0.481	0.510	0.462	i-absinthe
absolute	0.526	0.510	0.827	ngokuphelele
absolution	0.715	0.500	0.664	ukukhululwa
absolve	0.684	0.449	0.660	khulula
absorb	0.469	0.558	0.670	amunca
absorbed	0.490	0.471	0.519	amuncwa
absorbent	0.552	0.394	0.718	amunca
absorbing	0.490	0.490	0.578	kuyamunca
absorption	0.609	0.422	0.446	ukumuncwa
abstain	0.385	0.385	0.427	deda
abstention	0.271	0.264	0.509	ukuzithiba
abstinence	0.260	0.392	0.429	ukuzithiba
abstract	0.438	0.292	0.444	abstract
abstraction	0.469	0.439	0.525	ukukhipha
absurd	0.188	0.656	0.284	okungenangqondo
absurdity	0.115	0.528	0.227	ubuwula
abundance	0.812	0.690	0.852	inala
abundant	0.958	0.590	0.760	kuningi
abuse	0.071	0.873	0.469	ukuhlukunyezwa
abused	0.021	0.874	0.235	kabi
abusive	0.125	0.903	0.567	ehlukumezayo
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	lapho
abysmal	0.250	0.710	0.598	okwabi
abyss	0.353	0.725	0.296	kwalasha
academic	0.781	0.420	0.812	zemfundo
academy	0.704	0.473	0.792	esikoleni
accede	0.698	0.510	0.537	vuma
accelerant	0.643	0.844	0.802	okusheshayo
accelerate	0.615	0.902	0.759	sheshisa
accelerated	0.610	0.812	0.682	usheshisiwe
acceleration	0.704	0.905	0.843	ukusheshisa
accelerator	0.593	0.830	0.812	i-accelerator
accent	0.598	0.357	0.509	isisho
accentuate	0.673	0.556	0.667	gcizelela
accept	0.847	0.286	0.565	vuma
acceptable	0.812	0.286	0.583	eyamukelekayo
acceptance	0.833	0.287	0.755	ukwamukelwa
acceptances	0.847	0.413	0.648	ukwamukelwa
access	0.714	0.472	0.567	ukufinyelela
accessible	0.796	0.410	0.645	kuyafinyeleleka
accession	0.612	0.383	0.636	ukungena
accessory	0.562	0.292	0.445	isesekeli
accident	0.125	0.908	0.336	ingozi
accidental	0.319	0.784	0.307	ngengozi
accidentally	0.333	0.741	0.333	ngengozi
acclaim	0.562	0.809	0.718	ncoma
accolade	0.688	0.591	0.775	ncoma
accommodate	0.844	0.375	0.566	ukuhlalisa
accommodation	0.817	0.415	0.587	indawo yokuhlala
accompaniment	0.740	0.479	0.695	ukuphelezela
accompany	0.833	0.406	0.585	phelezela
accompanying	0.787	0.460	0.582	ukuphelezela
accomplice	0.408	0.580	0.510	ukuhlanganyela
accomplish	0.929	0.673	0.816	fezekisa
accomplished	0.870	0.520	0.798	kufeziwe
accomplishment	0.917	0.694	0.888	impumelelo
accord	0.898	0.264	0.382	isivumelwano
accordance	0.659	0.349	0.600	ngokuvumelana
accordion	0.604	0.490	0.361	i-accordion
account	0.531	0.347	0.472	i-akhawunti
accountability	0.755	0.537	0.833	ukuziphendulela
accountable	0.709	0.282	0.777	onesibopho
accountant	0.625	0.450	0.639	umgcini mabhuku
accounting	0.552	0.390	0.677	ukubalwa kwezimali
accounts	0.592	0.340	0.471	ama-akhawunti
accredited	0.669	0.479	0.768	okugunyaziwe
accretion	0.448	0.519	0.672	ukwanda
accrue	0.520	0.481	0.602	qongelela
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	buthelela
accumulation	0.479	0.527	0.600	ukuqongelela
accuracy	0.604	0.481	0.802	ukunemba
accurate	0.743	0.360	0.737	olunembile
accursed	0.135	0.745	0.345	uqalekisiwe
accusation	0.073	0.718	0.564	icala
accusative	0.198	0.755	0.482	-solayo
accuse	0.133	0.752	0.500	beka icala
accused	0.130	0.670	0.420	umsolwa
accuser	0.122	0.779	0.615	ummangaleli
accusing	0.156	0.745	0.324	ebeka icala
accustomed	0.542	0.365	0.441	ejwayele
ace	0.643	0.481	0.546	i-ace
acetic	0.333	0.420	0.519	i-acetic
acetylene	0.306	0.469	0.509	i-acetylene
ache	0.146	0.760	0.312	ubuhlungu
achieve	0.816	0.545	0.843	zuza
achieved	0.896	0.519	0.775	okuzuziwe
achievement	0.896	0.808	0.759	impumelelo
aching	0.053	0.880	0.348	ubuhlungu
achy	0.167	0.840	0.373	akhi
acid	0.265	0.642	0.566	i-asidi
acidity	0.156	0.663	0.360	ubumuncu
acknowledge	0.786	0.370	0.661	vuma
acknowledged	0.714	0.443	0.765	kwavuma
acknowledgement	0.819	0.539	0.830	ukuvuma
acknowledgment	0.796	0.528	0.777	ukuvuma
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	induna
acorn	0.448	0.198	0.192	i-acorn
acoustic	0.542	0.462	0.536	i-acoustic
acoustics	0.611	0.330	0.509	ama-acoustics
acquaint	0.646	0.491	0.639	yazi
acquaintance	0.656	0.290	0.670	ukwazana
acquainted	0.906	0.358	0.632	ejwayelene
acquiescence	0.542	0.480	0.554	ukuvuma
acquire	0.833	0.468	0.700	zuza
acquiring	0.735	0.510	0.817	ukuzuza
acquisition	0.698	0.509	0.736	ukutholwa
acquisitions	0.773	0.660	0.790	ukutholwa
acquit	0.583	0.571	0.611	khulula
acquittal	0.760	0.497	0.700	ukukhululwa
acre	0.583	0.387	0.423	ihektare
acreage	0.741	0.450	0.528	i-acreage
acres	0.510	0.363	0.500	amahektha
acrobat	0.708	0.828	0.602	i-acrobat
acrylic	0.582	0.279	0.420	i-acrylic
act	0.656	0.704	0.735	isenzo
acting	0.698	0.643	0.500	ukudlala
action	0.760	0.898	0.802	isenzo
action figure	0.615	0.774	0.611	isibalo sesenzo
actionable	0.673	0.702	0.613	kungenzeka
activate	0.764	0.650	0.806	vula
activation	0.781	0.800	0.754	ukwenza kusebenze
active	0.847	0.730	0.731	esebenzayo
activist	0.531	0.653	0.877	isishoshovu
activity	0.701	0.660	0.807	umsebenzi
actor	0.653	0.561	0.629	umlingisi
actress	0.633	0.556	0.596	umlingisi
actual	0.729	0.400	0.716	okwangempela
actuality	0.750	0.464	0.600	iqiniso
actuary	0.510	0.404	0.491	i-actuary
acuity	0.469	0.378	0.741	ukukhalipha
acumen	0.564	0.660	0.679	ukukhalipha
acupuncture	0.531	0.324	0.549	ukutshopa
acute	0.427	0.652	0.534	acute
acutely	0.417	0.543	0.491	ngokushesha
ad	0.521	0.705	0.558	isikhangiso
adage	0.517	0.415	0.566	isisho
