,character,gender,power_score,agency_score,dom_score
0,0,he/him/his,24,140,50.63599999999998
1,5864,she/her,11,21,3.8079999999999985
2,499,he/him/his,11,19,5.858
3,605,he/him/his,3,18,5.936000000000001
4,1482,he/him/his,7,11,3.7079999999999997
5,1538,they/them/their,5,5,5.312000000000001
6,519,he/him/his,11,18,4.91
7,1835,he/him/his,-3,3,3.74
8,1792,she/her,1,15,6.577999999999999
9,941,he/him/his,0,5,4.662
10,1161,he/him/his,5,8,5.650000000000001
11,776,he/him/his,16,15,1.496
12,553,he/him/his,5,11,8.416
13,955,she/her,1,-5,-0.8739999999999999
14,913,she/her,2,12,0.9740000000000018
15,1694,he/him/his,-1,4,0.28000000000000014
16,2342,she/her,4,9,-0.9360000000000003
17,1385,he/him/his,1,4,6.505999999999999
18,525,she/her,4,6,3.43
19,527,she/her,2,2,-3.0620000000000007
20,6572,he/him/his,1,2,1.1500000000000001
21,5953,she/her,6,5,3.4800000000000004
22,2407,he/him/his,0,4,1.062
23,634,he/him/his,6,8,0.6940000000000001
24,3293,she/her,2,2,3.7859999999999996
25,958,he/him/his,5,-1,-2.0020000000000002
26,965,he/him/his,6,4,5.599999999999999
27,974,he/him/his,0,-1,2.484
28,1775,he/him/his,1,9,3.6080000000000005
29,1852,he/him/his,5,5,1.8840000000000001
30,4943,he/him/his,4,0,-0.3419999999999999
31,1327,she/her,9,-1,2.75
32,1321,he/him/his,2,3,5.572000000000001
33,908,he/him/his,0,6,5.529999999999999
34,988,she/her,7,10,-0.5560000000000002
35,1139,she/her,0,3,-0.6099999999999999
36,927,she/her,0,5,0.514
37,537,she/her,4,10,-0.10599999999999982
38,2234,he/him/his,0,4,3.698
39,686,she/her,0,13,0.050000000000000044
40,523,she/her,5,8,2.2640000000000002
41,5857,he/him/his,3,0,2.576000000000001
42,924,he/him/his,6,3,2.6660000000000004
43,1347,he/him/his,0,5,0.8360000000000003
44,2082,he/him/his,1,-4,1.1419999999999995
45,514,he/him/his,4,4,0.5559999999999999
46,1773,he/him/his,2,2,2.1119999999999997
47,5836,they/them/their,4,5,1.7820000000000003
48,5872,he/him/his,-2,0,1.17
49,1783,she/her,-3,2,1.4939999999999998
50,732,she/her,1,4,-0.43800000000000006
51,5788,they/them/their,-2,1,-0.556
52,546,he/him/his,4,4,-1.24
53,4411,he/him/his,-2,3,0.558
54,1271,he/him/his,4,9,0.634
55,1489,they/them/their,4,6,0.472
56,598,he/him/his,-2,0,1.06
57,1006,he/him/his,1,2,-0.642
58,1162,he/him/his,4,5,1.6500000000000004
59,1328,he/him/his,5,6,-2.356
60,531,she/her,0,0,-0.0060000000000001025
61,569,she/her,6,6,1.198
62,3342,she/her,7,5,0.08399999999999999
63,3593,she/her,2,0,4.318
64,1337,she/her,-2,1,0.614
65,8937,she/her,3,-4,0.9219999999999999
66,540,she/her,4,1,-2.168
67,5875,he/him/his,-3,3,-2.2940000000000005
68,1106,she/her,1,1,1.3460000000000003
69,8525,she/her,1,1,0.542
70,1014,he/him/his,0,2,0.384
71,4659,she/her,3,1,1.2800000000000002
72,1426,he/him/his,6,6,0.846
73,1633,she/her,2,3,-0.05600000000000004
74,682,they/them/their,4,4,0.6940000000000001
75,819,he/him/his,-2,1,0.2079999999999999
76,879,he/him/his,1,2,-0.23999999999999996
77,1145,he/him/his,0,4,2.314
78,1421,she/her,-1,1,1.028
79,5944,she/her,-1,0,-1.266
80,791,he/him/his,2,5,-0.49800000000000005
81,1060,she/her,-1,3,-0.3979999999999999
82,6745,she/her,3,3,-1.2320000000000002
83,910,she/her,4,3,2.824
84,4296,she/her,-1,4,0.752
85,1255,he/him/his,-2,1,0.3619999999999999
86,5901,he/him/his,1,0,2.274
87,610,she/her,0,1,1.808
88,497,he/him/his,5,9,1.846
89,2019,he/him/his,2,3,1.4700000000000002
90,5897,he/him/his,-1,0,-0.96
91,5945,they/them/their,2,3,0.806
92,677,she/her,-1,1,0.9060000000000001
93,917,she/her,-1,0,2.6639999999999997
94,1027,he/him/his,0,3,0.18399999999999997
95,7812,he/him/his,2,3,-1.5059999999999998
96,689,she/her,0,2,0.18800000000000003
97,1119,he/him/his,1,2,0.82
98,1461,he/him/his,2,5,0.0
99,509,he/him/his,8,7,1.586
100,545,he/him/his,6,7,-1.2880000000000003
101,1842,he/him/his,1,2,0.34599999999999975
102,6055,she/her,0,-3,2.7680000000000002
103,895,she/her,3,2,0.8840000000000001
104,972,he/him/his,0,0,0.726
105,3484,she/her,0,-1,0.8359999999999999
106,5390,she/her,1,2,1.1999999999999997
107,2532,they/them/their,1,1,0.8240000000000001
108,3761,she/her,0,0,1.242
109,8996,he/him/his,0,0,1.654
110,1581,he/him/his,3,8,-0.25200000000000006
111,512,she/her,3,5,-0.8980000000000001
112,1967,they/them/their,0,8,-0.8300000000000001
113,692,he/him/his,-1,6,0.602
114,765,she/her,2,2,-0.88
115,536,he/him/his,-1,-3,0.18200000000000008
116,542,he/him/his,2,-1,-0.7560000000000001
117,2079,he/him/his,0,3,1.0139999999999998
118,2165,she/her,1,1,1.082
119,6310,she/her,4,5,0.8440000000000001
120,7744,she/her,1,1,0.2859999999999999
121,1808,he/him/his,2,-2,2.8099999999999996
122,3056,they/them/their,1,5,0.086
123,973,he/him/his,-1,-2,1.226
124,4332,she/her,-7,-4,2.222
125,2315,he/him/his,-4,1,-0.028000000000000025
126,740,she/her,2,3,0.2900000000000002
127,3161,he/him/his,1,4,0.776
128,957,he/him/his,0,0,1.472
129,508,he/him/his,-2,0,0.942
130,511,he/him/his,0,0,0.594
131,1856,he/him/his,0,-1,-0.4780000000000003
132,6107,he/him/his,0,-1,-1.05
133,3410,they/them/their,3,2,-0.504
134,1057,he/him/his,2,4,0.12599999999999983
135,3843,he/him/his,2,1,0.434
136,1084,she/her,1,1,-0.8380000000000002
137,1537,he/him/his,5,6,-0.9159999999999999
138,604,she/her,0,1,0.42
139,737,she/her,2,1,-0.43400000000000005
140,2965,she/her,3,1,0.8860000000000001
141,7703,she/her,-3,2,1.4020000000000001
142,1181,he/him/his,1,-1,4.32
143,8276,he/him/his,-2,0,0.674
144,1992,she/her,1,2,-0.5820000000000001
145,624,she/her,1,2,2.014
146,859,she/her,0,0,-0.9239999999999999
147,892,she/her,1,0,1.652
148,3158,he/him/his,1,2,0.974
149,6993,he/him/his,3,-1,0.8220000000000001
150,928,he/him/his,0,0,-1.584
151,3722,they/them/their,2,3,-0.768
152,3915,she/her,0,2,-1.6079999999999999
153,4428,he/him/his,1,1,0.908
154,1353,she/her,2,4,-0.166
155,1665,they/them/their,1,0,0.08000000000000007
156,1687,she/her,1,0,-0.15599999999999997
157,549,he/him/his,1,1,0.64
158,2098,she/her,0,1,0.5920000000000001
159,6129,she/her,0,-2,1.5100000000000002
160,794,he/him/his,0,0,0.3739999999999999
161,1183,she/her,2,2,-0.962
162,7271,he/him/his,0,0,0.7140000000000001
163,1109,she/her,3,3,0.8640000000000001
164,1120,she/her,-1,1,-0.546
165,1350,he/him/his,1,1,0.6739999999999999
166,1994,she/her,-1,0,0.0
167,6106,he/him/his,0,1,-1.1600000000000001
168,635,he/him/his,0,1,0.49
169,2222,he/him/his,2,-2,0.704
170,6346,they/them/their,1,-1,-0.226
171,3301,he/him/his,1,-1,2.984
172,7415,they/them/their,0,1,-0.32199999999999995
173,1111,she/her,1,0,0.9719999999999999
174,7883,he/him/his,-3,-4,1.204
175,4706,he/him/his,3,2,1.348
176,1387,she/her,-1,3,0.03599999999999992
177,513,she/her,0,2,0.32
178,1928,she/her,2,3,0.218
179,6039,he/him/his,0,0,1.3479999999999999
180,2105,she/her,-1,0,-1.754
181,623,he/him/his,0,0,-0.376
182,680,she/her,0,-1,0.10599999999999998
183,2366,he/him/his,0,2,1.532
184,731,he/him/his,1,2,-0.486
185,2696,she/her,1,0,0.33
186,6636,he/him/his,-3,1,-0.12800000000000003
187,857,she/her,0,0,-0.486
188,168,she/her,5,3,1.366
189,3113,they/them/their,1,0,0.354
190,4006,she/her,3,3,-0.20600000000000002
191,1135,he/him/his,1,3,1.152
192,1160,he/him/his,0,2,-0.648
193,1182,he/him/his,1,1,-0.3640000000000001
194,1237,she/her,2,4,-0.5900000000000001
195,5611,they/them/their,0,1,-0.518
196,507,he/him/his,1,2,1.308
197,5829,they/them/their,1,1,-0.15400000000000014
198,1807,she/her,-1,1,0.7639999999999999
199,606,he/him/his,0,1,0.47
200,2300,he/him/his,2,4,1.03
201,2325,she/her,3,5,1.416
202,2598,she/her,2,2,2.556
203,2896,he/him/his,0,-1,-0.09800000000000003
204,4119,they/them/their,0,0,-0.46
205,4754,they/them/their,4,4,0.734
206,1330,he/him/his,0,-1,1.1360000000000001
207,5997,he/him/his,-1,0,0.8899999999999999
208,568,he/him/his,0,0,0.368
209,2330,she/her,0,1,0.22000000000000003
210,683,he/him/his,4,3,-0.05999999999999996
211,2630,he/him/his,0,2,0.12999999999999998
212,792,he/him/his,1,1,0.9740000000000001
213,817,he/him/his,0,1,0.684
214,841,she/her,0,0,1.316
215,850,she/her,1,1,-0.486
216,874,she/her,2,2,-0.736
217,4921,he/him/his,5,5,-0.374
218,6068,she/her,0,0,0.328
219,638,he/him/his,0,0,1.614
220,6159,she/her,2,1,0.12399999999999997
221,2361,she/her,-2,-1,1.076
222,799,he/him/his,-1,0,-0.30200000000000005
223,888,he/him/his,1,0,0.504
224,912,he/him/his,0,0,1.5859999999999999
225,3469,he/him/his,-2,-2,-0.244
226,979,she/her,0,0,-0.238
227,7968,he/him/his,0,0,0.456
228,1173,he/him/his,1,4,-0.586
229,1221,he/him/his,1,1,-0.814
230,1314,she/her,3,3,-0.208
231,526,he/him/his,0,4,-0.06999999999999999
232,550,he/him/his,3,3,0.19800000000000006
233,551,he/him/his,0,0,-0.01799999999999996
234,600,he/him/his,0,0,-0.258
235,1986,she/her,0,0,-1.694
236,2244,they/them/their,0,1,-0.14400000000000002
237,781,she/her,0,0,-0.306
238,877,she/her,1,2,1.1179999999999999
239,906,he/him/his,-1,1,-0.22200000000000006
240,1005,he/him/his,0,1,1.766
241,1011,he/him/his,-1,0,0.718
242,1048,he/him/his,-1,-1,-0.6900000000000001
243,4024,she/her,1,0,-0.09600000000000002
244,4029,he/him/his,1,-1,-0.03999999999999998
