,character,gender,power_score,agency_score
0,0,he/him/his,24,140
1,5864,she/her,11,21
2,499,he/him/his,11,19
3,605,he/him/his,3,18
4,1482,he/him/his,7,11
5,1538,they/them/their,5,5
6,519,he/him/his,11,18
7,1835,he/him/his,-3,3
8,1792,she/her,1,15
9,941,he/him/his,0,5
10,1161,he/him/his,5,8
11,776,he/him/his,16,15
12,553,he/him/his,5,11
13,955,she/her,1,-5
14,913,she/her,2,12
15,1694,he/him/his,-1,4
16,2342,she/her,4,9
17,1385,he/him/his,1,4
18,525,she/her,4,6
19,527,she/her,2,2
20,6572,he/him/his,1,2
21,5953,she/her,6,5
22,2407,he/him/his,0,4
23,634,he/him/his,6,8
24,3293,she/her,2,2
25,958,he/him/his,5,-1
26,965,he/him/his,6,4
27,974,he/him/his,0,-1
28,1775,he/him/his,1,9
29,1852,he/him/his,5,5
30,4943,he/him/his,4,0
31,1327,she/her,9,-1
32,1321,he/him/his,2,3
33,908,he/him/his,0,6
34,988,she/her,7,10
35,1139,she/her,0,3
36,927,she/her,0,5
37,537,she/her,4,10
38,2234,he/him/his,0,4
39,686,she/her,0,13
40,523,she/her,5,8
41,5857,he/him/his,3,0
42,924,he/him/his,6,3
43,1347,he/him/his,0,5
44,2082,he/him/his,1,-4
45,514,he/him/his,4,4
46,1773,he/him/his,2,2
47,5836,they/them/their,4,5
48,5872,he/him/his,-2,0
49,1783,she/her,-3,2
50,732,she/her,1,4
51,5788,they/them/their,-2,1
52,546,he/him/his,4,4
53,4411,he/him/his,-2,3
54,1271,he/him/his,4,9
55,1489,they/them/their,4,6
56,598,he/him/his,-2,0
57,1006,he/him/his,1,2
58,1162,he/him/his,4,5
59,1328,he/him/his,5,6
60,531,she/her,0,0
61,569,she/her,6,6
62,3342,she/her,7,5
63,3593,she/her,2,0
64,1337,she/her,-2,1
65,8937,she/her,3,-4
66,540,she/her,4,1
67,5875,he/him/his,-3,3
68,1106,she/her,1,1
69,8525,she/her,1,1
70,1014,he/him/his,0,2
71,4659,she/her,3,1
72,1426,he/him/his,6,6
73,1633,she/her,2,3
74,682,they/them/their,4,4
75,819,he/him/his,-2,1
76,879,he/him/his,1,2
77,1145,he/him/his,0,4
78,1421,she/her,-1,1
79,5944,she/her,-1,0
80,791,he/him/his,2,5
81,1060,she/her,-1,3
82,6745,she/her,3,3
83,910,she/her,4,3
