,character,gender,power_score,agency_score,dom_score
0,0,he/him/his,80,192,82.4739999999999
1,456,he/him/his,16,17,10.317999999999998
2,549,he/him/his,15,21,0.6280000000000001
3,5013,he/him/his,-3,-1,5.433999999999999
4,488,she/her,5,10,3.5779999999999994
5,5496,he/him/his,5,7,4.112000000000001
6,1048,he/him/his,10,12,4.934
7,872,he/him/his,4,5,6.554
8,4979,she/her,2,3,0.17400000000000004
9,835,she/her,9,9,4.596000000000002
10,475,he/him/his,13,10,2.174
11,815,he/him/his,8,7,7.279999999999999
12,561,he/him/his,9,7,0.2620000000000002
13,1395,they/them/their,3,2,1.596
14,543,she/her,6,7,3.1920000000000006
15,860,he/him/his,0,4,9.406
16,1030,she/her,-2,3,-1.616
17,484,she/her,3,4,1.274
18,1126,he/him/his,4,10,3.16
19,996,she/her,2,11,2.62
20,673,he/him/his,3,5,1.8819999999999995
21,501,he/him/his,2,6,5.095999999999999
22,7161,she/her,0,4,-2.924000000000001
23,1020,he/him/his,6,10,6.790000000000001
24,5026,she/her,0,3,-1.6159999999999994
25,5012,she/her,-1,2,-2.982
26,2198,she/her,-1,0,-1.9060000000000001
27,1554,he/him/his,0,12,0.7120000000000001
28,878,she/her,3,4,0.414
29,1380,she/her,1,4,-0.6019999999999996
30,472,he/him/his,-1,0,2.0719999999999996
31,981,he/him/his,-1,2,1.346
32,1143,he/him/his,1,2,4.018
33,1438,he/him/his,1,0,2.4459999999999997
34,5022,he/him/his,3,4,0.9700000000000001
35,617,he/him/his,4,6,3.9680000000000004
36,1238,he/him/his,2,9,3.9720000000000004
37,857,he/him/his,1,0,0.9920000000000002
38,1129,he/him/his,6,11,0.626
39,833,he/him/his,-3,5,4.676
40,1189,she/her,-4,0,2.146
41,1399,they/them/their,2,5,1.216
42,1520,she/her,5,4,0.08999999999999997
43,598,he/him/his,5,4,5.635999999999999
44,1330,he/him/his,-2,2,1.5139999999999998
45,2366,she/her,1,2,-2.649999999999999
46,895,he/him/his,2,1,2.4540000000000006
47,779,she/her,3,2,3.618
48,817,she/her,3,1,0.8960000000000001
49,600,he/him/his,4,7,-2.116
50,1270,he/him/his,-1,1,0.33399999999999996
51,5344,she/her,3,4,-2.6599999999999997
52,3213,she/her,5,4,2.554
53,629,she/her,5,1,0.16
54,767,she/her,4,1,4.268
55,1181,he/him/his,8,6,2.0079999999999996
56,2524,she/her,3,4,0.5920000000000001
57,1574,he/him/his,1,1,1.726
58,512,she/her,8,14,0.408
59,3041,she/her,-2,8,-0.8480000000000001
60,995,he/him/his,6,7,-0.2180000000000002
61,1530,he/him/his,2,1,0.5339999999999998
62,5609,she/her,1,3,2.784
63,6107,he/him/his,1,1,2.272
64,3630,she/her,1,0,-0.236
65,649,she/her,4,7,1.7919999999999998
66,826,he/him/his,0,1,2.084
67,5486,he/him/his,1,0,-1.17
68,4197,he/him/his,1,2,-0.268
69,5080,she/her,-1,4,-0.21000000000000013
70,796,she/her,3,2,0.13199999999999998
71,592,she/her,0,2,0.27999999999999986
72,856,he/him/his,2,1,1.198
73,911,he/him/his,0,2,1.106
74,1049,he/him/his,8,7,0.15200000000000005
75,5610,he/him/his,0,3,1.092
76,2658,she/her,-2,-1,2.226
77,3258,he/him/his,-2,-2,5.648
78,7733,he/him/his,1,2,0.334
79,783,he/him/his,1,0,1.028
80,917,she/her,0,1,1.2279999999999998
81,1003,he/him/his,2,-2,-0.752
82,1037,he/him/his,1,2,0.5499999999999999
83,1038,he/him/his,1,2,1.432
84,5414,she/her,0,2,0.822
85,1652,she/her,1,3,2.3760000000000003
86,3050,she/her,2,2,2.2900000000000005
87,1000,she/her,3,4,1.1600000000000001
88,5185,he/him/his,1,0,0.668
89,5627,she/her,-2,4,0.07800000000000018
90,6092,he/him/his,-1,-1,-1.2959999999999996
91,6323,she/her,5,2,0.1960000000000001
92,7045,he/him/his,2,2,0.512
93,471,she/her,0,0,-0.532
94,764,she/her,-2,2,0.43
95,798,she/her,1,2,-1.574
96,5560,he/him/his,5,5,0.6219999999999999
97,7565,she/her,4,5,1.446
98,4898,he/him/his,1,2,-0.04200000000000001
99,865,he/him/his,0,0,3.9600000000000004
100,3060,she/her,5,4,0.5779999999999998
101,4032,she/her,4,5,1.1360000000000001
102,1501,she/her,0,0,1.7680000000000002
103,694,she/her,0,0,0.498
104,1012,he/him/his,1,0,0.8900000000000001
105,1207,he/him/his,2,2,0.45
106,5428,she/her,0,2,0.8600000000000001
107,692,he/him/his,-3,0,-0.772
108,2466,he/him/his,-1,0,3.068
109,2667,she/her,1,-1,0.32200000000000006
110,948,she/her,3,3,-1.7679999999999998
111,5004,he/him/his,-1,1,-0.804
112,5372,he/him/his,1,1,-1.7020000000000004
113,597,she/her,0,1,0.48400000000000004
114,1791,he/him/his,-4,1,-0.0020000000000000018
115,1818,they/them/their,2,2,2.3099999999999996
116,758,she/her,0,0,1.1020000000000003
117,882,he/him/his,3,5,-0.14800000000000002
118,3040,he/him/his,2,0,-0.22800000000000004
119,1092,he/him/his,1,0,-0.25
120,496,he/him/his,0,0,0.4
121,6453,she/her,-1,1,2.736
122,2920,he/him/his,0,0,-0.43600000000000005
123,1503,she/her,2,2,0.478
